Station_ID,P_DD,P_DW,P_DR,P_WD,P_WW,P_WR,P_RD,P_RW,P_RR,Transition_Entropy_bits,N_DD,N_DW,N_DR,N_WD,N_WW,N_WR,N_RD,N_RW,N_RR
353201,0.859801128103739,0.036169099261499096,0.10402977263476187,0.5959104186952289,0.08763388510223953,0.31645569620253167,0.5417043059319482,0.0948509485094851,0.3634447455585667,0.8251743624704424,14786,622,1789,612,90,325,1799,315,1207
354201,0.8587862425167273,0.03333724615565207,0.10787651132762062,0.5800203873598369,0.08766564729867482,0.33231396534148827,0.520986954055587,0.09273964832671583,0.38627339761769713,0.8304135227022807,14632,568,1838,569,86,326,1837,327,1362
356201,0.849894419306184,0.03619909502262444,0.11390648567119155,0.5820754716981132,0.08962264150943396,0.3283018867924528,0.4787615148413511,0.09339815762538382,0.4278403275332651,0.870398478978551,14087,600,1888,617,95,348,1871,365,1672
357201,0.8490553788223073,0.030838148412646888,0.12010647276504577,0.5249237029501526,0.09257375381485249,0.38250254323499494,0.38382978723404254,0.08872340425531915,0.5274468085106383,0.8857988082636016,13078,475,1850,516,91,376,1804,417,2479
381201,0.8667689335833191,0.029998295551389127,0.10323277086529174,0.6807228915662651,0.06385542168674699,0.25542168674698795,0.5823240589198037,0.08150572831423895,0.33617021276595743,0.7733568399401152,15256,528,1817,565,53,212,1779,249,1027
403201,0.8779721848362494,0.028375953342305967,0.0936518618214446,0.6527093596059114,0.08004926108374384,0.2672413793103448,0.5673905549810411,0.08307480179248534,0.34953464322647365,0.741237003206219,15656,506,1670,530,65,217,1646,241,1014
405201,0.8634655532359081,0.02755741127348643,0.10897703549060543,0.6216216216216216,0.07862407862407862,0.29975429975429974,0.536969696969697,0.08666666666666667,0.37636363636363634,0.7976842240747194,14476,462,1827,506,64,244,1772,286,1242
407501,0.8567275747508306,0.029485049833887042,0.11378737541528239,0.5764576457645765,0.0858085808580858,0.33773377337733773,0.5002645502645503,0.08835978835978836,0.4113756613756614,0.8348606145252202,14441,497,1918,524,78,307,1891,334,1555
431201,0.869813859609778,0.0315653734021081,0.09862076698811392,0.6907216494845361,0.08476517754868271,0.22451317296678122,0.6091424521615876,0.08362863217576187,0.3072289156626506,0.7600639568568893,15514,563,1759,603,74,196,1719,236,867
432201,0.8525412849390208,0.031569119449145124,0.11588959561183404,0.630965005302227,0.088016967126193,0.28101802757158006,0.5575757575757576,0.09206349206349207,0.3503607503607504,0.8340083559571233,14610,541,1986,595,83,265,1932,319,1214
