relative_path,sheet,rows,columns,missing_cells,missing_pct,duplicate_rows,date_range,column_names
example_output\FINAL_ACCEPTANCE_GATES.csv,,8,6,3,6.25,0,,gate | status | criterion | evidence | limitation | acceptable
example_output\INTERPRETATION_SCOPE.csv,,15,3,0,0.0,0,,category | item | detail
example_output\paper1_manuscript\figures\Paper1_FIGURE_INDEX.csv,,6,4,0,0.0,0,,figure | file | slug | caption
example_output\paper1_manuscript\Paper1_CAPTIONS.csv,,6,4,0,0.0,0,,figure | file | slug | caption
example_output\paper1_manuscript\Paper1_Table1.csv,,13,5,0,0.0,0,,Station | Longitude (°E) | Latitude (°N) | Record | Mean annual rainfall (mm)
example_output\paper1_manuscript\Paper1_Table2.csv,,2,9,0,0.0,0,,Simulation | wet_day_pct |bias| (%) | PRCPTOT |bias| (%) | SDII |bias| (%) | q95 |bias| (%) | Rx1day |bias| (%) | Rx5day |bias| (%) | CDD |bias| (%) | CWD |bias| (%)
example_output\paper1_manuscript\Paper1_Table3.csv,,2,9,0,0.0,0,,Simulation | wet_day_pct |bias| (%) | PRCPTOT |bias| (%) | SDII |bias| (%) | q95 |bias| (%) | Rx1day |bias| (%) | Rx5day |bias| (%) | CDD |bias| (%) | CWD |bias| (%)
example_output\paper1_manuscript\Paper1_Table4.csv,,11,10,0,0.0,0,,Index | Type | SSP2-4.5 median (%) | SSP2-4.5 IQR (%) | SSP2-4.5 agreement | SSP2-4.5 robust | SSP5-8.5 median (%) | SSP5-8.5 IQR (%) | SSP5-8.5 agreement | SSP5-8.5 robust
example_output\paper1_manuscript\Paper1_Table5A.csv,,2,19,0,0.0,0,,Scenario | Horizon | Usable | Rx1day median (%) | Rx1day IQR (%) | Rx1day agreement | Rx1day robust | Rx5day median (%) | Rx5day IQR (%) | Rx5day agreement | Rx5day robust | R20mm median (%) | R20mm IQR (%) | R20mm agreement | R20mm robust | R50mm median (%) | R50mm IQR (%) | R50mm agreement | R50mm robust
example_output\paper1_manuscript\Paper1_Table5B.csv,,2,19,0,0.0,0,,Scenario | Horizon | Usable | R95p median (%) | R95p IQR (%) | R95p agreement | R95p robust | R99p median (%) | R99p IQR (%) | R99p agreement | R99p robust | CDD median (%) | CDD IQR (%) | CDD agreement | CDD robust | CWD median (%) | CWD IQR (%) | CWD agreement | CWD robust
example_output\station_homogeneity.csv,,13,6,0,0.0,0,,station | wet_pct_calibration | wet_pct_validation | ratio_val_over_cal | homogeneous | note
example_output\paper1_manuscript\Paper1_MAIN_Tables.xlsx,Notes,8,2,0,0.0,0,,item | note
example_output\paper1_manuscript\Paper1_MAIN_Tables.xlsx,Table1_stations,13,5,0,0.0,0,,Station | Longitude (°E) | Latitude (°N) | Record | Mean annual rainfall (mm)
example_output\paper1_manuscript\Paper1_MAIN_Tables.xlsx,Table2_calibration,2,9,0,0.0,0,,Simulation | wet_day_pct |bias| (%) | PRCPTOT |bias| (%) | SDII |bias| (%) | q95 |bias| (%) | Rx1day |bias| (%) | Rx5day |bias| (%) | CDD |bias| (%) | CWD |bias| (%)
example_output\paper1_manuscript\Paper1_MAIN_Tables.xlsx,Table3_validation,2,9,0,0.0,0,,Simulation | wet_day_pct |bias| (%) | PRCPTOT |bias| (%) | SDII |bias| (%) | q95 |bias| (%) | Rx1day |bias| (%) | Rx5day |bias| (%) | CDD |bias| (%) | CWD |bias| (%)
example_output\paper1_manuscript\Paper1_MAIN_Tables.xlsx,Table4_near_future_change,11,10,0,0.0,0,,Index | Type | SSP2-4.5 median (%) | SSP2-4.5 IQR (%) | SSP2-4.5 agreement | SSP2-4.5 robust | SSP5-8.5 median (%) | SSP5-8.5 IQR (%) | SSP5-8.5 agreement | SSP5-8.5 robust
