model,scenario,window,index,delta_abs_Bias-corrected,delta_abs_Raw,delta_pct_Bias-corrected,delta_pct_Raw,sign_preserved,abs_pct_difference
ACCESS-ESM1-5,ssp245,Long-term,CDD,-2.196153846153834,2.9000000000000092,-3.503282409963783,12.842786578095765,False,16.34606898805955
ACCESS-ESM1-5,ssp245,Long-term,CWD,-0.3999999999999986,0.16538461538461924,-3.6073534512660292,1.499825601674259,False,5.107179052940288
ACCESS-ESM1-5,ssp245,Long-term,PRCPTOT,-211.9836153846153,-54.59639923076929,-20.001183035131056,-12.430921822402267,True,7.57026121272879
ACCESS-ESM1-5,ssp245,Long-term,R10mm,-7.492307692307691,-2.8692307692307697,-21.765363128491618,-43.54932866316404,True,21.783965534672422
ACCESS-ESM1-5,ssp245,Long-term,R20mm,-5.66923076923077,-0.592307692307692,-36.34122287968442,-34.841628959276,True,1.4995939204084223
ACCESS-ESM1-5,ssp245,Long-term,R50mm,-0.8423076923076922,0.0884615384615384,-40.10989010989011,44.23076923076919,False,84.3406593406593
ACCESS-ESM1-5,ssp245,Long-term,R95p,-148.10015384615383,-4.3536076923076905,-40.781764408399724,-10.378910585647432,True,30.40285382275229
ACCESS-ESM1-5,ssp245,Long-term,R99p,-63.161615384615374,-0.5198961538461511,-44.54940509987252,-2.3516298379834732,True,42.19777526188905
ACCESS-ESM1-5,ssp245,Long-term,Rx1day,-8.434769230769227,-3.416467307692308,-13.084308423682817,-11.311030923319215,True,1.7732775003636014
ACCESS-ESM1-5,ssp245,Long-term,Rx5day,-37.9301538461539,-4.795755999999997,-21.319610620027685,-6.462656249748945,True,14.85695437027874
ACCESS-ESM1-5,ssp245,Long-term,SDII,-2.148896034857618,-0.2958079212353,-17.741437742784022,-9.022499571772016,True,8.718938171012006
ACCESS-ESM1-5,ssp245,Mid-term,CDD,-4.26153846153845,-0.6307692307692356,-6.797963065218708,-2.7933912451030705,True,4.004571820115638
ACCESS-ESM1-5,ssp245,Mid-term,CWD,0.7615384615384588,1.4269230769230763,6.867845993756478,12.940355772584578,True,6.0725097788281
ACCESS-ESM1-5,ssp245,Mid-term,PRCPTOT,54.0314615384616,72.88508769230765,5.098003210887994,16.59502897420738,True,11.497025763319387
ACCESS-ESM1-5,ssp245,Mid-term,R10mm,0.02692307692307594,0.8461538461538458,0.07821229050279045,12.842965557501454,True,12.764753266998664
ACCESS-ESM1-5,ssp245,Mid-term,R20mm,-0.342307692307692,0.6653846153846157,-2.1942800788954613,39.1402714932127,False,41.33455157210816
ACCESS-ESM1-5,ssp245,Mid-term,R50mm,0.6461538461538456,0.27692307692307694,30.769230769230738,138.46153846153845,True,107.69230769230771
ACCESS-ESM1-5,ssp245,Mid-term,R95p,36.07569230769229,33.05174230769231,9.934023337278479,78.7946692389192,True,68.86064590164072
ACCESS-ESM1-5,ssp245,Mid-term,R99p,37.63130769230773,25.681315384615385,26.54226559301884,116.16348205375873,True,89.62121646073989
ACCESS-ESM1-5,ssp245,Mid-term,Rx1day,10.991884615384606,12.514923846153845,17.050995057526933,41.43364413530633,True,24.382649077779398
ACCESS-ESM1-5,ssp245,Mid-term,Rx5day,18.976461538461507,32.59797403846153,10.666204323528051,43.92831925744708,True,33.26211493391903
ACCESS-ESM1-5,ssp245,Mid-term,SDII,0.1624838810259419,0.38916045388945486,1.3414784208574695,11.86986478896632,True,10.52838636810885
ACCESS-ESM1-5,ssp245,Near-term,CDD,0.5038461538461618,0.5923076923076884,0.8037302902018658,2.6230625106455285,True,1.8193322204436626
ACCESS-ESM1-5,ssp245,Near-term,CWD,0.24230769230769056,1.207692307692307,2.185223725286144,10.95221485873735,True,8.766991133451205
ACCESS-ESM1-5,ssp245,Near-term,PRCPTOT,6.490807692307726,57.182597692307525,0.6124239010837506,13.01976708226476,True,12.407343181181009
ACCESS-ESM1-5,ssp245,Near-term,R10mm,-1.2384615384615358,0.9692307692307685,-3.5977653631284845,14.711033274956204,False,18.30879863808469
ACCESS-ESM1-5,ssp245,Near-term,R20mm,-1.0576923076923084,0.8653846153846154,-6.7800788954635145,50.90497737556562,False,57.68505627102914
ACCESS-ESM1-5,ssp245,Near-term,R50mm,0.31538461538461515,0.5923076923076923,15.018315018315006,296.15384615384613,True,281.13553113553115
ACCESS-ESM1-5,ssp245,Near-term,R95p,19.00088461538462,41.78741923076923,5.232199831073479,99.62034212853591,True,94.38814229746244
ACCESS-ESM1-5,ssp245,Near-term,R99p,26.61723076923076,24.422673076923086,18.77377247169141,110.47030509097344,True,91.69653261928204
ACCESS-ESM1-5,ssp245,Near-term,Rx1day,15.292653846153854,18.70878461538462,23.722498395068513,61.93989939428762,True,38.21740099921911
ACCESS-ESM1-5,ssp245,Near-term,Rx5day,4.904692307692301,24.93545115384613,2.7568074370372697,33.602470442556566,True,30.845663005519295
ACCESS-ESM1-5,ssp245,Near-term,SDII,0.08215172085289169,0.412580393382346,0.6782504213009638,12.584201285308666,True,11.905950864007702
ACCESS-ESM1-5,ssp585,Long-term,CDD,-1.7653846153845905,18.642307692307693,-2.816123688569812,82.55833759155169,False,85.37446128012151
ACCESS-ESM1-5,ssp585,Long-term,CWD,-2.78846153846154,-3.5538461538461537,-25.147415886229638,-32.22881060341821,True,7.081394717188573
ACCESS-ESM1-5,ssp585,Long-term,PRCPTOT,-562.4413461538461,-218.4210030769232,-53.06774436570446,-49.731748830968804,True,3.335995534735659
ACCESS-ESM1-5,ssp585,Long-term,R10mm,-21.934615384615384,-5.115384615384616,-63.72067039106146,-77.64156450671337,True,13.920894115651905
ACCESS-ESM1-5,ssp585,Long-term,R20mm,-11.98846153846154,-1.446153846153846,-76.8491124260355,-85.06787330316742,True,8.218760877131913
ACCESS-ESM1-5,ssp585,Long-term,R50mm,-1.7384615384615385,-0.20000000000000004,-82.78388278388277,-100.0,True,17.216117216117226
ACCESS-ESM1-5,ssp585,Long-term,R95p,-296.25126923076925,-36.225923076923074,-81.57756189780211,-86.36185046306504,True,4.784288565262926
ACCESS-ESM1-5,ssp585,Long-term,R99p,-117.40265384615384,-20.841269230769225,-82.80691293507303,-94.27065428729296,True,11.463741352219927
ACCESS-ESM1-5,ssp585,Long-term,Rx1day,-25.19984615384616,-15.779944615384613,-39.090880886638146,-52.24327512545153,True,13.152394238813386
ACCESS-ESM1-5,ssp585,Long-term,Rx5day,-95.1852307692308,-41.00276153846154,-53.50128726101253,-55.254427688461284,True,1.7531404274487556
