model,variant,experiment,start,end,rows,missing_cells,negative_cells
ACCESS-ESM1-5,raw,historical,1981-01-01,2014-12-31,12418,0,0
ACCESS-ESM1-5,bc,historical,1981-01-01,2014-12-31,12418,0,0
ACCESS-ESM1-5,raw,ssp245,2015-01-01,2100-12-31,31411,0,7
ACCESS-ESM1-5,bc,ssp245,2015-01-01,2100-12-31,31411,0,0
ACCESS-ESM1-5,raw,ssp585,2015-01-01,2100-12-31,31411,0,7
ACCESS-ESM1-5,bc,ssp585,2015-01-01,2100-12-31,31411,0,0
CanESM5,raw,historical,1981-01-01,2014-12-31,12410,0,0
CanESM5,bc,historical,1981-01-01,2014-12-31,12410,0,0
CanESM5,raw,ssp245,2015-01-01,2100-12-31,31390,0,0
CanESM5,bc,ssp245,2015-01-01,2100-12-31,31390,0,0
CanESM5,raw,ssp585,2015-01-01,2100-12-31,31390,0,0
CanESM5,bc,ssp585,2015-01-01,2100-12-31,31390,0,0
CESM2,raw,historical,1981-01-01,2014-12-31,12410,0,0
CESM2,bc,historical,1981-01-01,2014-12-31,12410,0,0
CESM2,raw,ssp245,2015-01-01,2100-12-31,31390,0,0
CESM2,bc,ssp245,2015-01-01,2100-12-31,31390,0,0
CESM2,raw,ssp585,2015-01-01,2100-12-31,31390,0,0
CESM2,bc,ssp585,2015-01-01,2100-12-31,31390,0,0
EC-Earth3,raw,historical,1981-01-01,2014-12-31,12418,0,6064
EC-Earth3,bc,historical,1981-01-01,2014-12-31,12418,0,0
EC-Earth3,raw,ssp245,2015-01-01,2100-12-31,31411,0,14349
EC-Earth3,bc,ssp245,2015-01-01,2100-12-31,31411,0,0
EC-Earth3,raw,ssp585,2015-01-01,2100-12-31,31411,0,14192
EC-Earth3,bc,ssp585,2015-01-01,2100-12-31,31411,0,0
FGOALS-g3,raw,historical,1981-01-01,2014-12-31,12410,0,0
FGOALS-g3,bc,historical,1981-01-01,2014-12-31,12410,0,0
FGOALS-g3,raw,ssp245,2015-01-01,2100-12-31,31390,0,0
FGOALS-g3,bc,ssp245,2015-01-01,2100-12-31,31390,0,0
FGOALS-g3,raw,ssp585,2015-01-01,2100-12-31,31390,0,0
FGOALS-g3,bc,ssp585,2015-01-01,2100-12-31,31390,0,0
MIROC6,raw,historical,1981-01-01,2014-12-31,12418,0,0
MIROC6,bc,historical,1981-01-01,2014-12-31,12418,0,0
MIROC6,raw,ssp245,2015-01-01,2100-12-31,31411,0,0
MIROC6,bc,ssp245,2015-01-01,2100-12-31,31411,0,0
MIROC6,raw,ssp585,2015-01-01,2100-12-31,31411,0,0
MIROC6,bc,ssp585,2015-01-01,2100-12-31,31411,0,0
MRI-ESM2-0,raw,historical,1981-01-01,2014-12-31,12418,0,0
MRI-ESM2-0,bc,historical,1981-01-01,2014-12-31,12418,0,0
MRI-ESM2-0,raw,ssp245,2015-01-01,2100-12-31,31411,0,0
MRI-ESM2-0,bc,ssp245,2015-01-01,2100-12-31,31411,0,0
MRI-ESM2-0,raw,ssp585,2015-01-01,2100-12-31,31411,0,0
MRI-ESM2-0,bc,ssp585,2015-01-01,2100-12-31,31411,0,0
