model,station,index,bc_hist_mean,obs_mean,bias_abs,bias_pct
ACCESS-ESM1-5,351001,CDD,63.45,57.05,6.400000000000006,11.21822962313761
ACCESS-ESM1-5,351001,CWD,8.35,8.6,-0.25,-2.906976744186047
ACCESS-ESM1-5,351001,PRCPTOT,1086.7469999999998,984.85,101.89699999999982,10.346448697771216
ACCESS-ESM1-5,351001,R10mm,34.8,28.45,6.349999999999998,22.319859402460448
ACCESS-ESM1-5,351001,R20mm,17.65,15.15,2.4999999999999982,16.50165016501649
ACCESS-ESM1-5,351001,R50mm,3.0,2.95,0.04999999999999982,1.694915254237282
ACCESS-ESM1-5,351001,R95p,288.5935,267.175,21.418499999999995,8.016655749976605
ACCESS-ESM1-5,351001,R99p,92.115,96.975,-4.859999999999999,-5.0116009280742455
ACCESS-ESM1-5,351001,Rx1day,78.9725,102.19500000000001,-23.22250000000001,-22.723714467439706
ACCESS-ESM1-5,351001,Rx5day,212.067,170.39000000000001,41.67699999999999,24.45976876577263
ACCESS-ESM1-5,351001,SDII,14.136938067066959,12.152706418698024,1.9842316483689348,16.32748772171454
ACCESS-ESM1-5,351002,CDD,76.75,59.8,16.950000000000003,28.344481605351177
ACCESS-ESM1-5,351002,CWD,8.25,9.75,-1.5,-15.384615384615385
ACCESS-ESM1-5,351002,PRCPTOT,819.5,1046.465,-226.96499999999992,-21.688733020215672
ACCESS-ESM1-5,351002,R10mm,28.45,32.1,-3.650000000000002,-11.370716510903433
ACCESS-ESM1-5,351002,R20mm,12.45,16.1,-3.650000000000002,-22.67080745341616
ACCESS-ESM1-5,351002,R50mm,1.1,3.1,-2.0,-64.51612903225806
ACCESS-ESM1-5,351002,R95p,116.30199999999999,292.915,-176.61300000000003,-60.29496611645017
ACCESS-ESM1-5,351002,R99p,27.75,96.6,-68.85,-71.27329192546583
ACCESS-ESM1-5,351002,Rx1day,53.408,81.535,-28.126999999999995,-34.496841847059535
ACCESS-ESM1-5,351002,Rx5day,147.716,157.66500000000002,-9.949000000000012,-6.310214695715606
ACCESS-ESM1-5,351002,SDII,10.994812242831845,13.168351679857171,-2.173539437025326,-16.505782119641122
ACCESS-ESM1-5,351003,CDD,70.8,44.7,26.099999999999994,58.389261744966426
ACCESS-ESM1-5,351003,CWD,8.2,50.6,-42.400000000000006,-83.79446640316208
ACCESS-ESM1-5,351003,PRCPTOT,1012.3855,1411.8899999999999,-399.5044999999999,-28.29572417114647
ACCESS-ESM1-5,351003,R10mm,32.75,40.6,-7.850000000000001,-19.33497536945813
ACCESS-ESM1-5,351003,R20mm,16.75,16.45,0.3000000000000007,1.8237082066869346
ACCESS-ESM1-5,351003,R50mm,2.8,2.95,-0.15000000000000036,-5.084745762711876
ACCESS-ESM1-5,351003,R95p,285.744,310.125,-24.380999999999972,-7.861668681983062
ACCESS-ESM1-5,351003,R99p,89.1015,90.52000000000001,-1.4185000000000088,-1.567057003977031
ACCESS-ESM1-5,351003,Rx1day,72.2655,76.995,-4.729500000000002,-6.142606662770311
ACCESS-ESM1-5,351003,Rx5day,195.494,134.19,61.304,45.684477233773016
ACCESS-ESM1-5,351003,SDII,14.082413282811308,11.782532762553084,2.299880520258224,19.519406961189535
ACCESS-ESM1-5,351004,CDD,83.15,61.3,21.85000000000001,35.644371941272446
ACCESS-ESM1-5,351004,CWD,7.65,7.65,0.0,0.0
ACCESS-ESM1-5,351004,PRCPTOT,1023.8534999999999,1080.7050000000002,-56.851500000000215,-5.26059377906091
ACCESS-ESM1-5,351004,R10mm,33.0,31.85,1.1499999999999986,3.610675039246463
ACCESS-ESM1-5,351004,R20mm,19.2,16.7,2.5,14.970059880239521
ACCESS-ESM1-5,351004,R50mm,3.3,2.65,0.6499999999999999,24.52830188679245
ACCESS-ESM1-5,351004,R95p,313.062,289.88,23.182000000000016,7.997102249206574
ACCESS-ESM1-5,351004,R99p,75.0935,119.07000000000001,-43.9765,-36.93331653649114
ACCESS-ESM1-5,351004,Rx1day,82.1315,98.32000000000001,-16.188500000000005,-16.46511391375102
ACCESS-ESM1-5,351004,Rx5day,214.007,158.125,55.882000000000005,35.340395256917
ACCESS-ESM1-5,351004,SDII,18.44014118869063,13.454353710188059,4.985787478502573,37.05705666655083
ACCESS-ESM1-5,351005,CDD,78.65,54.25,24.400000000000006,44.97695852534563
ACCESS-ESM1-5,351005,CWD,7.95,18.4,-10.45,-56.79347826086957
ACCESS-ESM1-5,351005,PRCPTOT,972.193,1107.915,-135.72199999999998,-12.25021775136179
ACCESS-ESM1-5,351005,R10mm,31.45,33.55,-2.099999999999998,-6.259314456035761
ACCESS-ESM1-5,351005,R20mm,16.45,14.8,1.6499999999999986,11.148648648648638
ACCESS-ESM1-5,351005,R50mm,2.5,2.45,0.04999999999999982,2.0408163265306047
ACCESS-ESM1-5,351005,R95p,280.991,250.195,30.795999999999992,12.308799136673393
ACCESS-ESM1-5,351005,R99p,70.24300000000001,87.85499999999999,-17.61199999999998,-20.04666780490579
ACCESS-ESM1-5,351005,Rx1day,72.422,76.25,-3.828000000000003,-5.020327868852463
ACCESS-ESM1-5,351005,Rx5day,187.1545,138.75,48.40450000000001,34.886126126126136
ACCESS-ESM1-5,351005,SDII,14.615038341746267,11.970070850572295,2.644967491173972,22.09650656368099
ACCESS-ESM1-5,351006,CDD,75.75,44.45,31.299999999999997,70.41619797525308
ACCESS-ESM1-5,351006,CWD,8.6,46.55,-37.949999999999996,-81.52524167561761
ACCESS-ESM1-5,351006,PRCPTOT,1050.916,1099.6,-48.68399999999997,-4.427428155692977
ACCESS-ESM1-5,351006,R10mm,34.0,28.85,5.149999999999999,17.850953206239165
ACCESS-ESM1-5,351006,R20mm,17.7,9.25,8.45,91.35135135135134
ACCESS-ESM1-5,351006,R50mm,2.55,1.4,1.15,82.14285714285714
ACCESS-ESM1-5,351006,R95p,653.7415,351.10499999999996,302.6365,86.19544011050827
ACCESS-ESM1-5,351006,R99p,339.5745,174.83,164.7445,94.23125321741118
ACCESS-ESM1-5,351006,Rx1day,73.1905,57.404999999999994,15.785500000000006,27.498475742531152
ACCESS-ESM1-5,351006,Rx5day,202.523,129.66500000000002,72.85799999999998,56.189411174950806
ACCESS-ESM1-5,351006,SDII,14.045695687088957,9.307368680142666,4.738327006946291,50.90941564456927
ACCESS-ESM1-5,351007,CDD,50.6,39.2,11.399999999999999,29.081632653061217
ACCESS-ESM1-5,351007,CWD,11.25,49.1,-37.85,-77.08757637474541
ACCESS-ESM1-5,351007,PRCPTOT,996.424,1196.15,-199.7260000000001,-16.697404171717604
ACCESS-ESM1-5,351007,R10mm,33.5,30.95,2.5500000000000007,8.239095315024235
ACCESS-ESM1-5,351007,R20mm,12.7,9.7,3.0,30.927835051546396
