model,scenario,station,index,future_mean,window,obs_baseline,model_baseline,delta_obs_abs,delta_obs_pct,delta_model_abs,delta_model_pct
ACCESS-ESM1-5,ssp245,351001,CDD,65.05,Near-term,57.05,63.45,8.0,14.022787028921998,1.5999999999999943,2.5216706067769805
ACCESS-ESM1-5,ssp245,351001,CWD,8.9,Near-term,8.6,8.35,0.3000000000000007,3.4883720930232642,0.5500000000000007,6.586826347305398
ACCESS-ESM1-5,ssp245,351001,PRCPTOT,1118.67,Near-term,984.85,1086.7469999999998,133.82000000000005,13.587856018683054,31.92300000000023,2.9374822290744977
ACCESS-ESM1-5,ssp245,351001,R10mm,34.65,Near-term,28.45,34.8,6.199999999999999,21.792618629173987,-0.14999999999999858,-0.43103448275861667
ACCESS-ESM1-5,ssp245,351001,R20mm,17.05,Near-term,15.15,17.65,1.9000000000000004,12.541254125412543,-0.5999999999999979,-3.3994334277620277
ACCESS-ESM1-5,ssp245,351001,R50mm,3.3,Near-term,2.95,3.0,0.34999999999999964,11.864406779661005,0.2999999999999998,9.999999999999995
ACCESS-ESM1-5,ssp245,351001,R95p,328.015,Near-term,267.175,288.5935,60.839999999999975,22.771591653410674,39.42149999999998,13.659871064317102
ACCESS-ESM1-5,ssp245,351001,R99p,141.7425,Near-term,96.975,92.115,44.76750000000001,46.16395978344936,49.62750000000001,53.875590294740284
ACCESS-ESM1-5,ssp245,351001,Rx1day,97.475,Near-term,102.19500000000001,78.9725,-4.720000000000013,-4.618621263271209,18.502499999999998,23.42904175504131
ACCESS-ESM1-5,ssp245,351001,Rx5day,222.97600000000003,Near-term,170.39000000000001,212.067,52.58600000000001,30.862139796936443,10.90900000000002,5.144128978105985
ACCESS-ESM1-5,ssp245,351001,SDII,14.651858771497109,Near-term,12.152706418698024,14.136938067066959,2.4991523527990847,20.56457439763307,0.5149207044301498,3.642377875515318
ACCESS-ESM1-5,ssp245,351002,CDD,70.75,Near-term,59.8,76.75,10.950000000000003,18.311036789297663,-6.0,-7.817589576547231
ACCESS-ESM1-5,ssp245,351002,CWD,8.85,Near-term,9.75,8.25,-0.9000000000000004,-9.230769230769234,0.5999999999999996,7.272727272727268
ACCESS-ESM1-5,ssp245,351002,PRCPTOT,829.32,Near-term,1046.465,819.5,-217.14499999999987,-20.75033565384412,9.82000000000005,1.1982916412446676
ACCESS-ESM1-5,ssp245,351002,R10mm,27.55,Near-term,32.1,28.45,-4.550000000000001,-14.174454828660437,-0.8999999999999986,-3.1634446397188
ACCESS-ESM1-5,ssp245,351002,R20mm,11.6,Near-term,16.1,12.45,-4.500000000000002,-27.95031055900622,-0.8499999999999996,-6.827309236947789
ACCESS-ESM1-5,ssp245,351002,R50mm,1.4,Near-term,3.1,1.1,-1.7000000000000002,-54.83870967741936,0.2999999999999998,27.272727272727256
ACCESS-ESM1-5,ssp245,351002,R95p,152.5795,Near-term,292.915,116.30199999999999,-140.33550000000002,-47.909973883208444,36.2775,31.19249883922891
ACCESS-ESM1-5,ssp245,351002,R99p,47.8055,Near-term,96.6,27.75,-48.79449999999999,-50.51190476190475,20.055500000000002,72.27207207207208
ACCESS-ESM1-5,ssp245,351002,Rx1day,65.635,Near-term,81.535,53.408,-15.899999999999991,-19.500827865333896,12.227000000000004,22.89357399640504
ACCESS-ESM1-5,ssp245,351002,Rx5day,155.276,Near-term,157.66500000000002,147.716,-2.38900000000001,-1.5152380046300762,7.560000000000002,5.117928998889763
ACCESS-ESM1-5,ssp245,351002,SDII,11.361234060060658,Near-term,13.168351679857171,10.994812242831845,-1.8071176197965126,-13.723187713468732,0.3664218172288134,3.332679168466065
ACCESS-ESM1-5,ssp245,351003,CDD,68.65,Near-term,44.7,70.8,23.950000000000003,53.57941834451902,-2.1499999999999915,-3.036723163841796
ACCESS-ESM1-5,ssp245,351003,CWD,8.95,Near-term,50.6,8.2,-41.650000000000006,-82.31225296442689,0.75,9.146341463414634
ACCESS-ESM1-5,ssp245,351003,PRCPTOT,1017.0135,Near-term,1411.8899999999999,1012.3855,-394.87649999999985,-27.96793659562713,4.628000000000043,0.4571381158659466
ACCESS-ESM1-5,ssp245,351003,R10mm,31.25,Near-term,40.6,32.75,-9.350000000000001,-23.029556650246306,-1.5,-4.580152671755725
ACCESS-ESM1-5,ssp245,351003,R20mm,15.7,Near-term,16.45,16.75,-0.75,-4.5592705167173255,-1.0500000000000007,-6.268656716417914
ACCESS-ESM1-5,ssp245,351003,R50mm,2.95,Near-term,2.95,2.8,0.0,0.0,0.15000000000000036,5.35714285714287
ACCESS-ESM1-5,ssp245,351003,R95p,331.605,Near-term,310.125,285.744,21.480000000000018,6.926239419588882,45.86099999999999,16.049680833193342
ACCESS-ESM1-5,ssp245,351003,R99p,133.685,Near-term,90.52000000000001,89.1015,43.16499999999999,47.685594343791415,44.5835,50.03675583463803
ACCESS-ESM1-5,ssp245,351003,Rx1day,90.53,Near-term,76.995,72.2655,13.534999999999997,17.579063575556848,18.264499999999998,25.27416263638942
ACCESS-ESM1-5,ssp245,351003,Rx5day,199.822,Near-term,134.19,195.494,65.632,48.90975482524779,4.328000000000003,2.213878686813919
ACCESS-ESM1-5,ssp245,351003,SDII,13.968373040456893,Near-term,11.782532762553084,14.082413282811308,2.185840277903809,18.551531508155747,-0.1140402423544149,-0.809806103997885
ACCESS-ESM1-5,ssp245,351004,CDD,85.85,Near-term,61.3,83.15,24.549999999999997,40.04893964110929,2.6999999999999886,3.2471437161755725
ACCESS-ESM1-5,ssp245,351004,CWD,7.6,Near-term,7.65,7.65,-0.05000000000000071,-0.6535947712418393,-0.05000000000000071,-0.6535947712418393
ACCESS-ESM1-5,ssp245,351004,PRCPTOT,1017.4604999999999,Near-term,1080.7050000000002,1023.8534999999999,-63.244500000000244,-5.852152067400469,-6.393000000000029,-0.6244057377349425
