Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,p_MK_BH,Significant_MK_BH,Trend_MK_BH
1981-2014,Observed,Historical,465001,PRCPTOT,mm,mm year-1,1981,2014,34,-233.0,4550.333333333333,4985.41319133799,-3.43927085099751,0.0005832833475494,Decreasing,True,-3.285771858004229,0.0010170334722941,Decreasing,True,-0.4153297682709447,-24.21481481481481,-35.3421052631579,-12.877777777777762,1.0956149420565504,31.032800571503238,33,0.0478074710282752,0.6846792631549182,OK,OK,True,0.006071355029169022,True,Decreasing
1981-2014,Observed,Historical,465002,PRCPTOT,mm,mm year-1,1981,2014,34,-151.0,4550.333333333333,4173.565606585879,-2.2236664984897696,0.0261708908378838,Decreasing,True,-2.321868590910769,0.0202400125193274,Decreasing,True,-0.2691622103386809,-22.75000000000003,-35.43846153846154,-1.25,0.9171999721454576,37.0693425998142,33,-0.0414000139272712,0.640614808960284,OK,FACTOR_LT_ONE,True,0.04398831241881938,True,Decreasing
1981-2014,Observed,Historical,465003,PRCPTOT,mm,mm year-1,1981,2014,34,-133.0,4550.333333333333,2464.387203877393,-1.956826518670997,0.0503678681310844,No significant trend,False,-2.659006865430796,0.0078371365972349,Decreasing,True,-0.2370766488413547,-13.505000000000006,-22.033333333333303,0.075,0.5415838848166566,62.77882513345108,33,-0.2292080575916716,0.3869854977877797,OK,FACTOR_LT_ONE,False,0.07581689623942178,False,No significant trend
1981-2014,Observed,Historical,465004,PRCPTOT,mm,mm year-1,1981,2014,34,-99.0,4550.333333333333,4042.5194267606103,-1.4527954456799828,0.1462805568443442,No significant trend,False,-1.5413455676128496,0.1232327041798002,No significant trend,False,-0.1764705882352941,-30.79583333333333,-51.49523809523808,8.266666666666671,0.888400723777147,38.27101789769457,33,-0.0557996381114265,0.609341037226806,OK,FACTOR_LT_ONE,True,0.18349227744509844,False,No significant trend
1981-2014,Observed,Historical,465005,PRCPTOT,mm,mm year-1,1981,2014,34,-207.0,4550.333333333333,4183.521134168914,-3.0538353245926166,0.0022593606435674,Decreasing,True,-3.184903196607744,0.001448024374207,Decreasing,True,-0.3689839572192513,-21.4,-34.76153846153847,-9.831249999999995,0.9193878399023326,36.98112866449468,33,-0.0403060800488336,0.5435547284060673,OK,FACTOR_LT_ONE,True,0.0104222120009722,True,Decreasing
1981-2014,Observed,Historical,465006,PRCPTOT,mm,mm year-1,1981,2014,34,-173.0,4550.333333333333,4320.655407205324,-2.549804251601602,0.0107783417878089,Decreasing,True,-2.616698175465014,0.0088784809237098,Decreasing,True,-0.3083778966131907,-30.242857142857115,-48.10952380952381,-10.961111111111096,0.949525032716722,35.80737613912222,33,-0.0252374836416389,0.5427175157291848,OK,FACTOR_LT_ONE,True,0.02335307387358595,True,Decreasing
1981-2014,Observed,Historical,465007,PRCPTOT,mm,mm year-1,1981,2014,34,-39.0,4550.333333333333,864.4733600493104,-0.5633288462840749,0.5732109789122802,No significant trend,False,-1.2924322589076052,0.1962074911660335,No significant trend,False,-0.0695187165775401,-2.685185185185185,-12.77368421052633,9.257142857142853,0.1899802271004271,178.9659930347749,33,-0.4050098864497864,-0.0231505030315089,OK,FACTOR_LT_ONE,True,0.6257188548431761,False,No significant trend
1981-2014,Observed,Historical,465008,PRCPTOT,mm,mm year-1,1981,2014,34,-175.0,4550.333333333333,4186.506680955334,-2.5794531382481325,0.0098956883912632,Decreasing,True,-2.689201556680499,0.0071623159010163,Decreasing,True,-0.3119429590017825,-19.56250000000003,-30.1,-4.736363636363628,0.9200439559641052,36.95475610659463,33,-0.0399780220179473,0.5857535475165021,OK,FACTOR_LT_ONE,True,0.02177051446077904,True,Decreasing
1981-2014,Observed,Historical,465009,PRCPTOT,mm,mm year-1,1981,2014,34,-187.0,4550.333333333333,4175.6414693482975,-2.757346458127314,0.005827257313377,Decreasing,True,-2.878401307027819,0.0039969632331273,Decreasing,True,-0.3333333333333333,-16.48750000000001,-26.565217391304348,-5.617647058823529,0.9176561722983586,37.05091408565772,33,-0.0411719138508206,0.5333791513208116,OK,FACTOR_LT_ONE,True,0.016024957611786753,True,Decreasing
1981-2014,Observed,Historical,465010,PRCPTOT,mm,mm year-1,1981,2014,34,-161.0,4550.333333333333,3430.9943344616217,-2.3719109317224207,0.0176963560701568,Decreasing,True,-2.731555205787642,0.0063036179222589,Decreasing,True,-0.2869875222816399,-11.284615384615387,-21.071428571428573,-2.071428571428572,0.7540094501051107,45.09227304148551,33,-0.1229952749474446,0.4842465503975099,OK,FACTOR_LT_ONE,True,0.0332970910267424,True,Decreasing
1981-2014,Observed,Historical,465011,PRCPTOT,mm,mm year-1,1981,2014,34,-175.0,4550.333333333333,3702.688084208077,-2.5794531382481325,0.0098956883912632,Decreasing,True,-2.859503839717645,0.0042430428157154,Decreasing,True,-0.3119429590017825,-11.810000000000036,-23.096000000000004,-2.84166666666664,0.8137179878854465,41.783517761913416,33,-0.0931410060572767,0.4907847051282423,OK,FACTOR_LT_ONE,True,0.02177051446077904,True,Decreasing
1981-2014,Observed,Historical,465012,PRCPTOT,mm,mm year-1,1981,2014,34,-171.0,4550.333333333333,3363.7052246526296,-2.520155364955072,0.0117303045456345,Decreasing,True,-2.9311629092588696,0.0033769563925412,Decreasing,True,-0.3048128342245989,-11.433333333333303,-19.906666666666663,-2.487500000000012,0.7392217181128041,45.9943196566252,33,-0.1303891409435979,0.4140323923628528,OK,FACTOR_LT_ONE,True,0.024955820921677446,True,Decreasing
1981-2014,Observed,Historical,465201,PRCPTOT,mm,mm year-1,1981,2014,34,-39.0,4550.333333333333,776.895469877409,-0.5633288462840749,0.5732109789122802,No significant trend,False,-1.3633341143628568,0.1727772352115507,No significant trend,False,-0.0695187165775401,-1.80625000000002,-8.86428571428572,5.14,0.1707337491489434,199.14047556197767,33,-0.4146331254255282,-0.2232467610612398,OK,FACTOR_LT_ONE,True,0.6257188548431761,False,No significant trend
