Scenario,Index,N_models,Median_relative_change_pct,IQR_low_pct,IQR_high_pct,Min_pct,Max_pct,Positive_models,Negative_models,Zero_models
SSP2-4.5,PRCPTOT,7,-2.5307,-6.546419,8.022022,-12.298157,16.755424,3,4,0
SSP2-4.5,SDII,7,0.394939,-3.308434,6.320654,-8.421728,16.905232,4,3,0
SSP2-4.5,Rx1day,7,4.79441,-0.686397,10.507571,-6.837766,37.409356,5,2,0
SSP2-4.5,Rx5day,7,7.628782,1.784071,10.294786,-6.108636,46.114989,5,2,0
SSP2-4.5,CDD,7,-8.319185,-10.930683,-0.874042,-16.516517,5.115512,2,5,0
SSP2-4.5,CWD,7,-8.982925,-14.1609,-4.207791,-33.843212,6.467662,1,6,0
SSP2-4.5,R10mm,7,-4.933051,-10.927125,14.794062,-19.517544,28.229289,3,4,0
SSP2-4.5,R20mm,7,13.00813,2.764862,36.246012,-15.602837,96.825397,6,1,0
SSP2-4.5,R50mm,7,33.333333,11.111111,116.666667,-33.333333,300.0,5,1,1
SSP2-4.5,R95p,7,9.572397,-0.22704,33.970048,-15.205853,77.767224,5,2,0
SSP2-4.5,R99p,7,59.039369,36.835575,85.176231,-13.014735,194.089078,6,1,0
SSP5-8.5,PRCPTOT,7,-9.027723,-14.999826,1.162567,-21.54758,17.441458,2,5,0
SSP5-8.5,SDII,7,-2.133742,-10.678147,1.541344,-12.969078,18.803704,2,5,0
SSP5-8.5,Rx1day,7,0.885372,-9.179275,7.660754,-10.184402,33.682112,4,3,0
SSP5-8.5,Rx5day,7,-0.674788,-6.537341,17.107304,-16.393004,40.001375,3,4,0
SSP5-8.5,CDD,7,-1.058201,-7.985894,1.723906,-18.773946,18.829009,2,5,0
SSP5-8.5,CWD,7,-7.21393,-28.20653,7.040519,-32.479627,14.285714,3,4,0
SSP5-8.5,R10mm,7,-9.576837,-26.469097,-0.992159,-32.757379,31.370239,2,5,0
SSP5-8.5,R20mm,7,2.702703,-19.182111,24.234614,-38.697318,95.983936,4,3,0
SSP5-8.5,R50mm,7,-11.111111,-27.777778,126.666667,-33.333333,350.0,3,4,0
SSP5-8.5,R95p,7,-2.501877,-22.692661,21.233853,-36.317379,87.879381,3,4,0
SSP5-8.5,R99p,7,20.145846,-14.480406,115.625503,-30.049422,241.574524,4,3,0
