CODE,latitude,longitude,elev
328001,18.71,99.56,298.2448044
328002,18.13,99.51,248.2165327
328003,18.78,99.97,297.1394305
328004,18.32,99.32,284.0186558
328005,17.61,99.22,165.6330375
328006,18.19,99.4,225.0963592
328007,17.88,99.34,199.5991143
328008,19.15,99.62,419.060235
328009,17.45,99.11,164.6279907
328010,18.63,99.91,321.878297
328011,18.34,99.25,357.263161
328012,18.49,99.65,405.7665444
328013,18.43,99.72,397.576376
328014,18.27,99.76,324.9315175
328015,18.48,99.55,408.268105
328201,18.28,99.5,240.6100004
328301,18.33,99.3,301.7738165
303001,20.2,100.42,355.4110153
303002,19.55,99.75,407.6421362
303003,19.28,99.52,550.8598191
303004,20.42,99.9,389.2072706
303005,20.1,99.87,436.1590219
303006,19.67,99.55,461.2385218
303007,19.67,100.2,367.1692696
303008,20.22,100.08,365.1223387
303009,19.53,99.73,404.9011061
303010,20.12,99.87,446.3738108
303011,20.23,99.93,387.6736107
303012,19.8,99.68,447.2668847
303013,20.22,99.77,649.0098793
303014,20.4,99.87,481.8168512
303015,19.92,99.92,386.2179253
303016,19.52,100,382.3382608
303017,19.98,100.03,391.7825091
303201,19.96,99.88,389.2813896
303301,19.87,99.78,413.3114118
376001,17,99.1,120.6079666
376002,16.95,98.53,185.2916118
376003,17.18,99.07,130.0452291
376004,17.17,98.28,1.34133E+38
376007,16.92,99.12,134.4514114
376008,17.27,98.87,240.6952788
376009,17.33,98.82,301.0948293
376010,17.35,98.65,292.1443499
376011,16.77,99.03,264.9362832
376012,16.38,98.7,365.6161583
376201,16.88,99.12,110.3450935
376202,16.66,98.55,247.0641006
376203,17.23,99.05,160.1430634
376301,16.75,98.93,875.9565571
376401,16.02,98.87,575.1621559
331002,18.33,100.72,263.2990891
331003,19.18,100.92,254.3517357
331004,18.58,100.75,193.3956487
331005,19.28,100.88,265.3051506
331006,18.7,101,271.8022644
331007,18.5,100.52,415.8796613
331008,19.18,100.98,506.67439
331009,19.35,100.75,780.5218796
331011,19.15,101.16,780.0252299
331201,18.78,100.78,202.0213432
331301,18.87,100.75,287.3264001
331401,19.11,100.8,226.7168224
331402,19.41,100.89,342.8700907
351001,17.23,100.1,54.56509252
351002,17.42,100.13,62.0220253
351003,17.67,100.68,371.7726888
351004,17.65,100.38,115.7572174
351005,17.6,100.05,81.47113901
351006,17.92,100.88,348.7933643
351007,18.02,101.07,427.8517157
351008,17.47,100.37,82.43461104
351009,17.75,100.28,95.26717838
351010,17.9,100.82,214.6917323
351011,17.56,100.11,65.37116383
351012,17.75,100.92,415.0702381
351201,17.62,100.1,67.04877385
378001,16.77,100.45,58.93052751
378002,16.95,100.2,56.48543605
378004,17.03,100.83,213.3691645
378005,17.18,100.63,316.9922775
378006,16.92,100.35,46.80677319
378007,16.53,100.32,37.97488644
378008,16.87,100.75,374.2630727
378009,16.85,100.35,45.52861315
378010,17.33,100.47,214.2942399
378201,16.78,100.27,47.64185227
379003,16.13,100.88,156.9608704
379007,16.75,101.02,701.9245681
379008,16.55,100.97,1235.180733
379009,16.32,100.82,117.2441084
379024,16.77,101.03,736.7387592
379030,16.65,101.02,924.0800433
380006,16.47,99.65,67.79906299
386001,16.4,100.35,35.15070233
386002,15.98,100.42,31.75753231
386005,16.35,100.6,57.70316789
386006,16.17,100.45,31.99314391
386010,16.49,100.49,42.38229466
400201,15.8,100.17,24.81018962
424004,13.33,99.87,4.938358939
438002,13.38,99.98,4.945263388
465001,13.07,99.97,5.738149195
465002,12.75,99.98,1.70141E+38
465003,13.22,99.85,2.645468866
465004,13.02,99.95,10.54818312
465005,12.97,99.89,17.2817669
465006,13.22,99.98,1.09261727
465007,13.15,99.7,70.5484499
465008,12.8,99.98,6.579571032
465009,12.78,99.92,30.66388555
465010,12.67,99.9,56.03457757
465011,12.7,99.9,54.55171923
465012,12.72,99.88,63.1721175
465201,13.15,100.07,5.38905E+37
500001,12.37,99.95,9.127316385
500002,11.18,99.55,1.70141E+38
500003,12.02,99.9,1.70141E+38
500004,11.47,99.65,1.70141E+38
500005,11.6,99.68,4.998713833
500006,11.62,99.67,23.0072715
500007,11.9,99.78,21.27561878
500008,12.53,99.55,130.2602983
500009,12.22,99.87,14.44780313
500201,11.83,99.83,1.15031E+38
500202,12.59,99.96,1.70141E+38
500301,12.58,99.73,101.8465795
517008,10.92,99.38,49.96873474
