variant,model,station,metric,delta,ci_low,ci_high,p_value,improvement_direction,q_value,fdr_reject
primary,ACCESS-ESM1-5,500001,mRMSE,40.868648451753664,24.35902529103542,59.16946682383802,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500001,mPBIAS_abs,14.220699504579457,-8.648741656465717,27.467679250951914,0.223,lower,0.27493,False
primary,ACCESS-ESM1-5,500001,mNSE,-1.410145686375586,-2.447967355976989,-0.6248704176319472,0.0,higher,0.0,True
primary,ACCESS-ESM1-5,500002,mRMSE,38.70004030069597,23.132219389928512,55.720301024523955,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500002,mPBIAS_abs,-8.266220090150886,-16.16822514144363,11.06655030071914,0.249,lower,0.30081,False
primary,ACCESS-ESM1-5,500002,mNSE,-1.2237404738615676,-2.3166162427644985,-0.5339218642106663,0.0,higher,0.0,True
primary,ACCESS-ESM1-5,500003,mRMSE,67.57522152573696,42.057475630958116,91.90721795940367,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500003,mPBIAS_abs,35.66946634839826,-5.689204140978797,54.927769048449946,0.074,lower,0.11008,False
primary,ACCESS-ESM1-5,500003,mNSE,-2.560074901477682,-4.246360103429552,-1.2390667218715568,0.0,higher,0.0,True
primary,ACCESS-ESM1-5,500004,mRMSE,6.931591464784991,-3.1853252778111156,15.623945208792597,0.153,lower,0.21685,False
primary,ACCESS-ESM1-5,500004,mPBIAS_abs,-39.228755688915946,-48.713535947860855,-30.993292016544387,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500004,mNSE,-0.2932771449552331,-0.7045323227969772,0.1339796702860573,0.153,higher,0.21685,False
primary,ACCESS-ESM1-5,500005,mRMSE,-42.992201611029984,-55.24638387707018,-31.26079752698449,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500005,mPBIAS_abs,-38.904413190671356,-47.37736690604032,-32.06506252609465,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500005,mNSE,1.3482593240486387,0.72769695513798,2.2482040919144337,0.0,higher,0.0,True
primary,ACCESS-ESM1-5,500006,mRMSE,-45.21231621574768,-57.04249297568529,-34.49828532169602,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500006,mPBIAS_abs,-34.001846865183545,-39.546238477360234,-24.86996390592253,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500006,mNSE,1.5110195938537423,0.9886639538140432,2.2194316386671566,0.0,higher,0.0,True
primary,ACCESS-ESM1-5,500007,mRMSE,14.481241674363627,4.39579643622551,27.02456945119112,0.001,lower,0.00194,True
primary,ACCESS-ESM1-5,500007,mPBIAS_abs,15.929433704593542,-19.263494951924763,32.203503225204436,0.322,lower,0.37394,False
primary,ACCESS-ESM1-5,500007,mNSE,-0.5849178142464256,-1.2900007279266235,-0.13283095890339205,0.001,higher,0.00194,True
primary,ACCESS-ESM1-5,500008,mRMSE,-13.493328665556897,-22.942940693682036,-4.019288517429986,0.007,lower,0.01145,True
primary,ACCESS-ESM1-5,500008,mPBIAS_abs,11.797083063962818,-15.338226363412797,29.043429230886478,0.379,lower,0.42638,False
primary,ACCESS-ESM1-5,500008,mNSE,0.4480999602095709,0.10757290051395277,0.8708696513872073,0.007,higher,0.01145,True
primary,ACCESS-ESM1-5,500009,mRMSE,-12.240818744276138,-21.973826531559332,-3.2490188471760137,0.002,lower,0.00379,True
primary,ACCESS-ESM1-5,500009,mPBIAS_abs,8.967582799324461,-18.812642990398924,26.136695186086477,0.494,lower,0.53566,False
primary,ACCESS-ESM1-5,500009,mNSE,0.41401259415428365,0.0902851985315853,0.8356917911320964,0.002,higher,0.00379,True
primary,ACCESS-ESM1-5,500201,mRMSE,37.339397763001294,-7.416218704724978,87.90070464367305,0.209,lower,0.26493,False
primary,ACCESS-ESM1-5,500201,mPBIAS_abs,-34.433641243020595,-48.010513715621,-16.494937963935435,0.005,lower,0.00849,True
primary,ACCESS-ESM1-5,500201,mNSE,-1.6292550230078064,-4.681488226693619,0.2610032058726809,0.209,higher,0.26493,False
primary,ACCESS-ESM1-5,500202,mRMSE,64.4612583972842,31.054424069948716,100.0236101928056,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500202,mPBIAS_abs,18.03814013395602,-3.690808665820527,35.44780690281166,0.098,lower,0.14341,False
primary,ACCESS-ESM1-5,500202,mNSE,-2.5039280602838505,-5.697880762729064,-0.7193087419597194,0.0,higher,0.0,True
primary,ACCESS-ESM1-5,500301,mRMSE,54.959011320508516,28.89131657110925,79.57178203201549,0.0,lower,0.0,True
primary,ACCESS-ESM1-5,500301,mPBIAS_abs,23.52601234530178,-12.833314428132605,41.31737300065547,0.192,lower,0.24814,False
primary,ACCESS-ESM1-5,500301,mNSE,-1.7705105005313688,-3.749229420365697,-0.5641197557983882,0.0,higher,0.0,True
primary,CESM2,500001,mRMSE,21.631717546505328,13.582163432445622,29.99803031195847,0.0,lower,0.0,True
primary,CESM2,500001,mPBIAS_abs,-2.0541399070586035,-9.892036786911934,10.495252767145727,0.577,lower,0.60035,False
primary,CESM2,500001,mNSE,-0.6747025830152724,-1.065494891265239,-0.35141598844639815,0.0,higher,0.0,True
primary,CESM2,500002,mRMSE,3.4645331014917695,-7.7734460307786515,15.023424167556522,0.571,lower,0.59756,False
primary,CESM2,500002,mPBIAS_abs,-20.80148559935887,-32.685183666897245,10.016676718766293,0.174,lower,0.23684,False
primary,CESM2,500002,mNSE,-0.09547524011705184,-0.4180487429162877,0.23062983990202873,0.571,higher,0.59756,False
primary,CESM2,500003,mRMSE,22.530888748238514,7.59273016749996,36.20110746089817,0.003,lower,0.00524,True
primary,CESM2,500003,mPBIAS_abs,-11.79128577937557,-18.69887529966728,-5.020453565999259,0.006,lower,0.01009,True
primary,CESM2,500003,mNSE,-0.8084651568504535,-1.4309441278885129,-0.2205161156224032,0.003,higher,0.00524,True
primary,CESM2,500004,mRMSE,17.285911676928233,7.748066571317058,27.14260730686872,0.0,lower,0.0,True
primary,CESM2,500004,mPBIAS_abs,-11.917705719745111,-20.567187833956005,14.348273899221429,0.211,lower,0.26559,False
primary,CESM2,500004,mNSE,-0.653421940155526,-1.1130852555311856,-0.250318489178932,0.0,higher,0.0,True
primary,CESM2,500005,mRMSE,-22.02228075600804,-29.524612209346227,-14.50583733628793,0.0,lower,0.0,True
primary,CESM2,500005,mPBIAS_abs,-14.721573426326998,-21.85282481320435,2.3386141393233078,0.065,lower,0.09832,False
primary,CESM2,500005,mNSE,0.646126390184377,0.32466914718429135,1.1004280584025994,0.0,higher,0.0,True
primary,CESM2,500006,mRMSE,-23.452804971132746,-31.355593666457466,-15.638549189829224,0.0,lower,0.0,True
primary,CESM2,500006,mPBIAS_abs,-9.828245670691327,-18.894773521248208,9.614685623209272,0.313,lower,0.36584,False
primary,CESM2,500006,mNSE,0.7244002100299508,0.4134636975081452,1.1429413459493987,0.0,higher,0.0,True
primary,CESM2,500007,mRMSE,-16.704816824939762,-24.769492289817826,-7.291635045655035,0.0,lower,0.0,True
primary,CESM2,500007,mPBIAS_abs,-17.248056934387417,-23.46158566309331,1.7478518925678677,0.065,lower,0.09832,False
primary,CESM2,500007,mNSE,0.6701848435890337,0.28816657371197507,1.0692650967256216,0.0,higher,0.0,True
primary,CESM2,500008,mRMSE,-15.372792403016257,-24.09349669562708,-7.4529375941726554,0.0,lower,0.0,True
primary,CESM2,500008,mPBIAS_abs,-1.3986074672730038,-13.41058556107364,10.905846001488575,0.916,lower,0.92112,False
primary,CESM2,500008,mNSE,0.5022284462125108,0.2269305407761091,0.7991281951798799,0.0,higher,0.0,True
primary,CESM2,500009,mRMSE,-30.998371077286045,-41.24631524253635,-20.983216264884742,0.0,lower,0.0,True
primary,CESM2,500009,mPBIAS_abs,-13.755891552019431,-21.73857100338607,4.917137635352775,0.111,lower,0.16113,False
primary,CESM2,500009,mNSE,1.084764741916253,0.6487336697832828,1.5866796629137347,0.0,higher,0.0,True
primary,CESM2,500201,mRMSE,25.72903888488924,5.903338399630881,46.45210915136858,0.008,lower,0.01286,True
primary,CESM2,500201,mPBIAS_abs,-11.849761386910048,-25.37776193854385,16.482901996354883,0.281,lower,0.33497,False
primary,CESM2,500201,mNSE,-0.8662338856492099,-1.5798271245926008,-0.1925942568889239,0.008,higher,0.01286,True
