variant,station_set,period,metric,group,raw_mean,qdm_mean,delta_mean,n_improved,n_total,pct_improved
primary,all_stations,calibration,mRMSE,B3_error_based,99.8488,103.474,3.6252,25,60,41.7
primary,all_stations,calibration,mMAE,B3_error_based,70.4001,70.2674,-0.1327,29,60,48.3
primary,all_stations,calibration,mPBIAS,B1_systematic_bias,10.1699,-1.7919,-11.9619,59,60,98.3
primary,all_stations,calibration,mr,B4_temporal_correspondence,0.4721,0.4554,-0.0167,19,60,31.7
primary,all_stations,calibration,mNSE,B3_error_based,-0.3292,-0.4027,-0.0735,25,60,41.7
primary,all_stations,calibration,mKGE,B3_error_based,0.3486,0.4024,0.0538,34,60,56.7
primary,all_stations,calibration,md,B3_error_based,0.6562,0.6585,0.0023,27,60,45.0
primary,all_stations,calibration,PBIAS,B1_systematic_bias,10.1699,-1.7919,-11.9619,59,60,98.3
primary,all_stations,calibration,wetfreq_bias,B2_distributional_fidelity,0.139,0.0001,-0.1389,60,60,100.0
primary,all_stations,calibration,SDII_relbias_pct,B2_distributional_fidelity,-24.1108,0.0089,24.1197,60,60,100.0
primary,all_stations,calibration,PSS,B2_distributional_fidelity,0.7635,0.9993,0.2357,60,60,100.0
primary,all_stations,calibration,KS_D,B2_distributional_fidelity,0.2122,0.0009,-0.2113,60,60,100.0
primary,all_stations,calibration,q95_relbias_pct,B2_distributional_fidelity,-16.778,0.001,16.779,60,60,100.0
primary,all_stations,calibration,q99_relbias_pct,B2_distributional_fidelity,-11.5887,-0.0014,11.5873,60,60,100.0
primary,all_stations,calibration,Rx1day_relbias_pct,B2_distributional_fidelity,-2.8164,0.9928,3.8092,60,60,100.0
primary,all_stations,calibration,clim_r,B4_temporal_correspondence,0.6937,0.6874,-0.0062,26,60,43.3
primary,all_stations,calibration,monthly_anom_r,B4_temporal_correspondence,0.0382,0.0399,0.0017,31,60,51.7
primary,all_stations,calibration,annual_r,B4_temporal_correspondence,0.1158,0.1286,0.0128,34,60,56.7
primary,all_stations,calibration,n_days_above_obs_hist_max,B2_distributional_fidelity,1.2333,0.0,-1.2333,0,60,0.0
primary,all_stations,validation,mRMSE,B3_error_based,116.2026,124.7449,8.5423,22,60,36.7
primary,all_stations,validation,mMAE,B3_error_based,78.1503,81.0743,2.924,25,60,41.7
primary,all_stations,validation,mPBIAS,B1_systematic_bias,9.4469,-0.0867,-9.5336,36,60,60.0
primary,all_stations,validation,mr,B4_temporal_correspondence,0.3424,0.3282,-0.0142,21,60,35.0
primary,all_stations,validation,mNSE,B3_error_based,-0.7107,-0.9735,-0.2628,22,60,36.7
primary,all_stations,validation,mKGE,B3_error_based,0.2292,0.203,-0.0262,25,60,41.7
primary,all_stations,validation,md,B3_error_based,0.5607,0.555,-0.0057,29,60,48.3
primary,all_stations,validation,PBIAS,B1_systematic_bias,9.4469,-0.0867,-9.5336,36,60,60.0
primary,all_stations,validation,wetfreq_bias,B2_distributional_fidelity,0.147,0.0026,-0.1444,48,60,80.0
primary,all_stations,validation,SDII_relbias_pct,B2_distributional_fidelity,-25.6963,8.4848,34.1811,36,60,60.0
primary,all_stations,validation,PSS,B2_distributional_fidelity,0.7758,0.8593,0.0835,51,60,85.0
primary,all_stations,validation,KS_D,B2_distributional_fidelity,0.2006,0.1054,-0.0952,50,60,83.3
primary,all_stations,validation,q95_relbias_pct,B2_distributional_fidelity,-18.9339,7.0786,26.0125,38,60,63.3
primary,all_stations,validation,q99_relbias_pct,B2_distributional_fidelity,-29.2467,-11.2949,17.9519,44,60,73.3
primary,all_stations,validation,Rx1day_relbias_pct,B2_distributional_fidelity,-19.933,-4.7212,15.2118,45,60,75.0
primary,all_stations,validation,clim_r,B4_temporal_correspondence,0.6434,0.6293,-0.0141,28,60,46.7
primary,all_stations,validation,monthly_anom_r,B4_temporal_correspondence,0.0105,0.0112,0.0007,32,60,53.3
primary,all_stations,validation,annual_r,B4_temporal_correspondence,0.0245,0.0381,0.0136,37,60,61.7
primary,all_stations,validation,n_days_above_obs_hist_max,B2_distributional_fidelity,1.3167,0.65,-0.6667,16,60,26.7
sens_monthly,all_stations,calibration,mRMSE,B3_error_based,99.8488,81.7142,-18.1347,50,60,83.3
sens_monthly,all_stations,calibration,mMAE,B3_error_based,70.4001,53.0092,-17.3909,54,60,90.0
sens_monthly,all_stations,calibration,mPBIAS,B1_systematic_bias,10.1699,-3.0669,-13.2368,57,60,95.0
sens_monthly,all_stations,calibration,mr,B4_temporal_correspondence,0.4721,0.6256,0.1536,59,60,98.3
sens_monthly,all_stations,calibration,mNSE,B3_error_based,-0.3292,0.109,0.4382,50,60,83.3
sens_monthly,all_stations,calibration,mKGE,B3_error_based,0.3486,0.5969,0.2483,60,60,100.0
sens_monthly,all_stations,calibration,md,B3_error_based,0.6562,0.7741,0.1179,60,60,100.0
sens_monthly,all_stations,calibration,PBIAS,B1_systematic_bias,10.1699,-3.0669,-13.2368,57,60,95.0
sens_monthly,all_stations,calibration,wetfreq_bias,B2_distributional_fidelity,0.139,-0.0034,-0.1423,60,60,100.0
sens_monthly,all_stations,calibration,SDII_relbias_pct,B2_distributional_fidelity,-24.1108,0.2355,24.3463,60,60,100.0
sens_monthly,all_stations,calibration,PSS,B2_distributional_fidelity,0.7635,0.9934,0.2298,60,60,100.0
sens_monthly,all_stations,calibration,KS_D,B2_distributional_fidelity,0.2122,0.003,-0.2092,60,60,100.0
sens_monthly,all_stations,calibration,q95_relbias_pct,B2_distributional_fidelity,-16.778,-0.1379,16.6401,60,60,100.0
sens_monthly,all_stations,calibration,q99_relbias_pct,B2_distributional_fidelity,-11.5887,0.1248,11.7135,60,60,100.0
sens_monthly,all_stations,calibration,Rx1day_relbias_pct,B2_distributional_fidelity,-2.8164,-4.0008,-1.1844,58,60,96.7
sens_monthly,all_stations,calibration,clim_r,B4_temporal_correspondence,0.6937,0.9993,0.3057,60,60,100.0
sens_monthly,all_stations,calibration,monthly_anom_r,B4_temporal_correspondence,0.0382,0.0539,0.0157,41,60,68.3
