station,n_days,missing_pct,wet_freq,SDII,sd_daily,max_daily,p99_wet,lag1_acf,annual_mean,annual_sd,wetfreq_cal,wetfreq_val,wetfreq_rel_change,pettitt_annual_p,pettitt_zerofrac_p,pettitt_zerofrac_cp_year,MK_Z_annual,MK_p_annual,passed_qc,qc_notes,role
500001,12418,0.0,0.2223,12.0323,8.6538,170.0,74.1,0.2119,983.66,266.31,0.2225,0.222,0.0021,0.21216,0.06502,1989,1.1416,0.25362,True,passed,retained in the analysis network
500002,12418,0.0,0.3373,11.0904,10.0228,155.0,68.38,0.2155,1376.19,222.2,0.2215,0.5026,1.2693,0.05938,0.00048,2000,2.2533,0.02424,True,passed,retained in the analysis network
500003,12418,0.0,0.2293,13.0608,9.5825,181.3,78.03,0.1856,1100.02,217.45,0.2438,0.2085,0.1449,0.07434,0.00052,2004,-1.4528,0.14628,True,passed,retained in the analysis network
500004,12418,0.0,0.2634,11.415,9.1267,152.0,74.29,0.2061,1106.0,221.68,0.2208,0.3243,0.4686,1.0,0.13951,2009,0.5337,0.59356,True,passed,retained in the analysis network
500005,12418,0.0,0.4796,6.3592,6.6728,143.5,36.19,0.4117,1147.21,234.41,0.5714,0.3485,0.39,0.94705,0.00327,2006,-0.2372,0.81251,True,passed,retained in the analysis network
500006,12418,0.0,0.4977,6.4532,6.9584,201.1,36.56,0.3502,1203.06,161.27,0.5804,0.3794,0.3463,0.8302,0.00327,2006,0.5337,0.59356,True,passed,retained in the analysis network
500007,12418,0.0,0.4866,6.1683,6.5942,176.6,39.17,0.3543,1133.56,180.7,0.5303,0.4242,0.2001,0.33247,0.10486,2003,-0.8302,0.40644,True,passed,retained in the analysis network
500008,12418,0.0,0.6263,5.1116,4.0865,68.0,19.72,0.6554,1206.31,115.88,0.6235,0.6304,0.0109,0.94705,0.32175,1993,-0.2668,0.78959,True,passed,retained in the analysis network
500009,12418,0.0,0.6015,5.1776,4.2084,54.2,21.4,0.6259,1176.53,114.4,0.5932,0.6135,0.0344,0.26267,0.02245,1998,0.4596,0.6458,True,passed,retained in the analysis network
500201,12418,0.0,0.247,12.1293,10.744,296.9,87.07,0.2527,1108.24,271.72,0.2353,0.2636,0.1204,0.75592,0.07434,1998,0.6226,0.53353,True,passed,retained in the analysis network
500202,12418,0.0,0.2153,11.8283,9.9741,298.5,89.55,0.2603,944.14,223.4,0.2134,0.2181,0.0218,0.44061,0.58574,1985,-1.1563,0.24756,True,passed,retained in the analysis network
500301,12418,0.0,0.2533,11.3537,9.5407,226.0,74.33,0.2498,1064.85,237.64,0.2508,0.257,0.0247,0.96706,1.0,1985,-0.2965,0.76686,True,passed,retained in the analysis network
