model,station,group,period,usable,note,wet_threshold_model_mm,obs_wet_freq_cal,mod_wet_freq_cal_raw,mod_wet_freq_cal_adapted,n_obs_wet_cal,n_mod_wet_cal,n_wet_target,n_delta_clipped_high,n_delta_clipped_low,n_output_capped,output_cap_mm,max_output_mm,obs_cal_max_mm,output_exceeds_obs_cal_max
ACCESS-ESM1-5,500001,all,calibration,True,,2.1512,0.2225,0.529,0.2225,1625,1625,1625,0,0,0,,130.0,130.0,False
ACCESS-ESM1-5,500001,all,validation,True,,2.1512,0.2225,0.529,0.2225,1625,1625,1347,0,0,0,,178.71,130.0,True
ACCESS-ESM1-5,500002,all,calibration,True,,4.7621,0.2215,0.5984,0.2215,1618,1618,1618,0,0,0,,147.0,147.0,False
ACCESS-ESM1-5,500002,all,validation,True,,4.7621,0.2215,0.5984,0.2215,1618,1618,1206,0,0,0,,319.55,147.0,True
ACCESS-ESM1-5,500003,all,calibration,True,,1.992,0.2438,0.529,0.2439,1781,1782,1782,0,0,0,,181.3,181.3,False
ACCESS-ESM1-5,500003,all,validation,True,,1.992,0.2438,0.529,0.2439,1781,1782,1467,0,0,0,,252.48,181.3,True
ACCESS-ESM1-5,500004,all,calibration,True,,4.7794,0.2208,0.5984,0.2208,1613,1613,1613,0,0,0,,107.2,107.2,False
ACCESS-ESM1-5,500004,all,validation,True,,4.7794,0.2208,0.5984,0.2208,1613,1613,1203,0,0,0,,236.15,107.2,True
ACCESS-ESM1-5,500005,all,calibration,True,,1.08,0.5714,0.5984,0.5715,4174,4175,4175,0,0,0,,48.3,48.3,False
ACCESS-ESM1-5,500005,all,validation,True,,1.08,0.5714,0.5984,0.5715,4174,4175,3022,0,0,0,,104.54,48.3,True
ACCESS-ESM1-5,500006,all,calibration,True,,1.055,0.5804,0.5984,0.5807,4240,4242,4242,0,0,0,,46.1,46.1,False
ACCESS-ESM1-5,500006,all,validation,True,,1.055,0.5804,0.5984,0.5807,4240,4242,3062,0,0,0,,100.21,46.1,True
ACCESS-ESM1-5,500007,all,calibration,True,,0.997,0.5303,0.529,0.5306,3874,3876,3876,0,0,0,,146.5,146.5,False
ACCESS-ESM1-5,500007,all,validation,True,,0.997,0.5303,0.529,0.5306,3874,3876,2947,0,0,0,,201.43,146.5,True
ACCESS-ESM1-5,500008,all,calibration,True,,0.797,0.6235,0.529,0.6241,4555,4559,4559,0,0,0,,68.0,68.0,False
ACCESS-ESM1-5,500008,all,validation,True,,0.797,0.6235,0.529,0.6241,4555,4559,3417,0,0,0,,91.73,68.0,True
ACCESS-ESM1-5,500009,all,calibration,True,,0.854,0.5932,0.529,0.5933,4333,4334,4334,0,0,0,,48.8,48.8,False
ACCESS-ESM1-5,500009,all,validation,True,,0.854,0.5932,0.529,0.5933,4333,4334,3286,0,0,0,,68.21,48.8,True
ACCESS-ESM1-5,500201,all,calibration,True,,4.2725,0.2353,0.5984,0.2353,1719,1719,1719,0,0,0,,296.9,296.9,False
ACCESS-ESM1-5,500201,all,validation,True,,4.2725,0.2353,0.5984,0.2353,1719,1719,1290,0,0,0,,617.58,296.9,True
ACCESS-ESM1-5,500202,all,calibration,True,,2.238,0.2134,0.529,0.2136,1559,1560,1560,0,0,0,,298.5,298.5,False
ACCESS-ESM1-5,500202,all,validation,True,,2.238,0.2134,0.529,0.2136,1559,1560,1291,0,0,0,,410.92,298.5,True
ACCESS-ESM1-5,500301,all,calibration,True,,1.9413,0.2508,0.529,0.2508,1832,1832,1832,0,0,0,,188.0,188.0,False
ACCESS-ESM1-5,500301,all,validation,True,,1.9413,0.2508,0.529,0.2508,1832,1832,1508,0,0,0,,264.54,188.0,True
CESM2,500001,all,calibration,True,,3.0204,0.2225,0.4452,0.2225,1624,1624,1624,0,0,0,,130.0,130.0,False
CESM2,500001,all,validation,True,,3.0204,0.2225,0.4452,0.2225,1624,1624,1164,0,0,0,,158.77,130.0,True
CESM2,500002,all,calibration,True,,6.7193,0.2216,0.5096,0.2216,1618,1618,1618,0,0,0,,147.0,147.0,False
CESM2,500002,all,validation,True,,6.7193,0.2216,0.5096,0.2216,1618,1618,1230,0,0,0,,136.75,147.0,False
CESM2,500003,all,calibration,True,,3.76,0.2438,0.4656,0.2438,1780,1780,1780,0,0,0,,181.3,181.3,False
CESM2,500003,all,validation,True,,3.76,0.2438,0.4656,0.2438,1780,1780,1309,0,0,0,,282.57,181.3,True
CESM2,500004,all,calibration,True,,4.2609,0.221,0.4656,0.221,1613,1613,1613,0,0,0,,107.2,107.2,False
CESM2,500004,all,validation,True,,4.2609,0.221,0.4656,0.221,1613,1613,1206,0,0,0,,170.6,107.2,True
CESM2,500005,all,calibration,True,,0.4791,0.5716,0.4656,0.5716,4173,4173,4173,0,0,0,,48.3,48.3,False
CESM2,500005,all,validation,True,,0.4791,0.5716,0.4656,0.5716,4173,4173,2859,0,0,0,,76.84,48.3,True
CESM2,500006,all,calibration,True,,0.4496,0.5807,0.4656,0.5807,4239,4239,4239,0,0,0,,46.1,46.1,False
CESM2,500006,all,validation,True,,0.4496,0.5807,0.4656,0.5807,4239,4239,2896,0,0,0,,72.77,46.1,True
CESM2,500007,all,calibration,True,,0.639,0.5305,0.4656,0.5307,3873,3874,3874,0,0,0,,146.5,146.5,False
CESM2,500007,all,validation,True,,0.639,0.5305,0.4656,0.5307,3873,3874,2670,0,0,0,,224.2,146.5,True
CESM2,500008,all,calibration,True,,0.3926,0.6238,0.4452,0.6238,4554,4554,4554,0,0,0,,68.0,68.0,False
CESM2,500008,all,validation,True,,0.3926,0.6238,0.4452,0.6238,4554,4554,3063,0,0,0,,82.67,68.0,True
CESM2,500009,all,calibration,True,,0.412,0.5934,0.4656,0.5938,4332,4335,4335,0,0,0,,48.8,48.8,False
CESM2,500009,all,validation,True,,0.412,0.5934,0.4656,0.5938,4332,4335,2946,0,0,0,,76.44,48.8,True
CESM2,500201,all,calibration,True,,3.958,0.2353,0.4656,0.2355,1718,1719,1719,0,0,0,,296.9,296.9,False
CESM2,500201,all,validation,True,,3.958,0.2353,0.4656,0.2355,1718,1719,1269,0,0,0,,458.09,296.9,True
CESM2,500202,all,calibration,True,,3.1593,0.2134,0.4452,0.2134,1558,1558,1558,0,0,0,,298.5,298.5,False
CESM2,500202,all,validation,True,,3.1593,0.2134,0.4452,0.2134,1558,1558,1125,0,0,0,,365.4,298.5,True
CESM2,500301,all,calibration,True,,2.5815,0.251,0.4452,0.251,1832,1832,1832,0,0,0,,188.0,188.0,False
CESM2,500301,all,validation,True,,2.5815,0.251,0.4452,0.251,1832,1832,1319,0,0,0,,239.94,188.0,True
CanESM5,500001,all,calibration,True,,4.1762,0.2225,0.3612,0.2225,1624,1624,1624,0,0,0,,130.0,130.0,False
CanESM5,500001,all,validation,True,,4.1762,0.2225,0.3612,0.2225,1624,1624,822,0,0,0,,118.75,130.0,False
CanESM5,500002,all,calibration,True,,6.2118,0.2216,0.5923,0.2216,1618,1618,1618,0,0,0,,147.0,147.0,False
CanESM5,500002,all,validation,True,,6.2118,0.2216,0.5923,0.2216,1618,1618,908,0,0,0,,169.92,147.0,True
CanESM5,500003,all,calibration,True,,3.3957,0.2438,0.3612,0.2438,1780,1780,1780,0,0,0,,181.3,181.3,False
CanESM5,500003,all,validation,True,,3.3957,0.2438,0.3612,0.2438,1780,1780,919,0,0,0,,176.89,181.3,False
CanESM5,500004,all,calibration,True,,6.24,0.221,0.5923,0.2211,1613,1614,1614,0,0,0,,107.2,107.2,False
CanESM5,500004,all,validation,True,,6.24,0.221,0.5923,0.2211,1613,1614,905,0,0,0,,124.88,107.2,True
CanESM5,500005,all,calibration,True,,1.0686,0.5716,0.5923,0.5716,4173,4173,4173,0,0,0,,48.3,48.3,False
CanESM5,500005,all,validation,True,,1.0686,0.5716,0.5923,0.5716,4173,4173,2623,0,0,0,,55.86,48.3,True
CanESM5,500006,all,calibration,True,,1.041,0.5807,0.5923,0.5811,4239,4242,4242,0,0,0,,46.1,46.1,False
CanESM5,500006,all,validation,True,,1.041,0.5807,0.5923,0.5811,4239,4242,2651,0,0,0,,52.79,46.1,True
CanESM5,500007,all,calibration,True,,1.2415,0.5305,0.5923,0.5305,3873,3873,3873,0,0,0,,146.5,146.5,False
CanESM5,500007,all,validation,True,,1.2415,0.5305,0.5923,0.5305,3873,3873,2348,0,0,0,,160.37,146.5,True
CanESM5,500008,all,calibration,True,,0.8936,0.6238,0.5923,0.6238,4554,4554,4554,0,0,0,,68.0,68.0,False
CanESM5,500008,all,validation,True,,0.8936,0.6238,0.5923,0.6238,4554,4554,2944,0,0,0,,72.71,68.0,True
CanESM5,500009,all,calibration,True,,0.344,0.5934,0.3612,0.5936,4332,4333,4333,0,0,0,,48.8,48.8,False
CanESM5,500009,all,validation,True,,0.344,0.5934,0.3612,0.5936,4332,4333,2634,0,0,0,,53.28,48.8,True
