method,model,station,family,grouping,group,period,usable,note,fallback_used,applied_grouping,applied_group,wet_threshold_obs_mm,wet_threshold_model_mm,n_obs_wet_cal,n_mod_wet_cal,n_input,n_wet_target,n_delta_clipped_low,n_delta_clipped_high,n_output_capped,output_cap_mm,max_output_mm,obs_dist,obs_aic,obs_ks_d,obs_ks_p,obs_n_params,mod_dist,mod_aic,mod_ks_d,mod_ks_p,mod_n_params
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,1.841,1966,1964,7305,1964,0,0,0,,129.9828411405292,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,validation,True,,False,annual,all,0.1,1.841,1966,1964,5113,1587,0,0,0,,178.1311122384008,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,3.816249281314168,1821,1821,7305,1821,0,0,0,,147.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,validation,True,,False,annual,all,0.1,3.816249281314168,1821,1821,5113,1366,0,0,0,,319.5756558124915,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,1.6603065023956187,2239,2239,7305,2239,0,0,0,,181.3,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,validation,True,,False,annual,all,0.1,1.6603065023956187,2239,2239,5113,1781,0,0,0,,252.11527880275992,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,4.542356878850104,1652,1652,7305,1652,0,0,0,,107.2,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,validation,True,,False,annual,all,0.1,4.542356878850104,1652,1652,5113,1243,0,0,0,,236.23264241010025,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,0.266,6293,6290,7305,6290,0,0,0,,48.2997138314781,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,validation,True,,False,annual,all,0.1,0.266,6293,6290,5113,4497,0,0,0,,104.42182869421066,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,0.257,6321,6318,7305,6318,0,0,0,,46.09935897435959,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,validation,True,,False,annual,all,0.1,0.257,6321,6318,5113,4510,0,0,0,,100.27869728055923,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,0.35,6110,6106,7305,6106,0,0,0,,146.49076318374185,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,validation,True,,False,annual,all,0.1,0.35,6110,6106,5113,4388,0,0,0,,200.41154110160386,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,0.25,6458,6455,7305,6455,0,0,0,,67.99532920217564,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,validation,True,,False,annual,all,0.1,0.25,6458,6455,5113,4581,0,0,0,,90.87723165454882,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,0.276,6359,6358,7305,6358,0,0,0,,48.79965397923841,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,validation,True,,False,annual,all,0.1,0.276,6359,6358,5113,4531,0,0,0,,68.14497261555515,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500201,nonparametric,annual,all,calibration,True,,False,annual,all,0.1,2.240018891170431,2481,2481,7305,2481,0,0,0,,296.9,,,,,,,,,,
