scenario,period,method,metric,group,raw_mean,corrected_mean,delta_mean,n_improved,n_total,pct_improved
0.1 mm,validation,QDM_NP_annual,PBIAS,B1_systematic_bias,19.990949741096326,13.68774355696341,-6.303206184132916,36,60,60.0
0.1 mm,validation,QDM_NP_annual,KS_D,B2_distributional_fidelity,0.246919289487301,0.1243367936240643,-0.12258249586323672,49,60,81.66666666666667
0.1 mm,validation,QDM_NP_annual,q99_relbias_pct,B2_distributional_fidelity,50.424658948133086,23.26168751942073,-27.162971428712346,42,60,70.0
0.1 mm,validation,QDM_NP_annual,mRMSE,B3_error_based,116.20256271663513,124.57083006797885,8.368267351343702,23,60,38.333333333333336
0.1 mm,validation,QDM_NP_annual,mKGE,B3_error_based,0.22917119312902437,0.2030208628566303,-0.02615033027239407,26,60,43.333333333333336
0.1 mm,validation,QDM_NP_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.6292864516070504,-0.014143316428558865,28,60,46.666666666666664
0.1 mm,validation,QDM_NP_monthly,PBIAS,B1_systematic_bias,19.990949741096326,13.78447339954162,-6.206476341554705,39,60,65.0
0.1 mm,validation,QDM_NP_monthly,KS_D,B2_distributional_fidelity,0.246919289487301,0.12210649269562492,-0.12481279679167606,49,60,81.66666666666667
0.1 mm,validation,QDM_NP_monthly,q99_relbias_pct,B2_distributional_fidelity,50.424658948133086,26.58294298375413,-23.841715964378952,44,60,73.33333333333333
0.1 mm,validation,QDM_NP_monthly,mRMSE,B3_error_based,116.20256271663513,109.01215600042488,-7.190406716210248,38,60,63.33333333333333
0.1 mm,validation,QDM_NP_monthly,mKGE,B3_error_based,0.22917119312902437,0.3321961347831026,0.10302494165407827,41,60,68.33333333333333
0.1 mm,validation,QDM_NP_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.8812527712148737,0.23782300317926425,59,60,98.33333333333333
0.1 mm,validation,QDM_P_annual,PBIAS,B1_systematic_bias,19.990949741096326,27.68574581480925,7.6947960737129195,21,60,35.0
0.1 mm,validation,QDM_P_annual,KS_D,B2_distributional_fidelity,0.246919289487301,0.16603542916093572,-0.08088386032636528,40,60,66.66666666666666
0.1 mm,validation,QDM_P_annual,q99_relbias_pct,B2_distributional_fidelity,50.424658948133086,56.14311597608026,5.718457027947179,30,60,50.0
0.1 mm,validation,QDM_P_annual,mRMSE,B3_error_based,116.20256271663513,116.96536291258288,0.7628001959477468,33,60,55.00000000000001
0.1 mm,validation,QDM_P_annual,mKGE,B3_error_based,0.22917119312902437,0.10486167662450549,-0.12430951650451888,16,60,26.666666666666668
0.1 mm,validation,QDM_P_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.642967563565564,-0.00046220447004543624,32,60,53.333333333333336
0.1 mm,validation,QDM_P_monthly,PBIAS,B1_systematic_bias,19.990949741096326,19.833644937523577,-0.15730480357274282,34,60,56.666666666666664
0.1 mm,validation,QDM_P_monthly,KS_D,B2_distributional_fidelity,0.246919289487301,0.13264298626031668,-0.11427630322698432,45,60,75.0
0.1 mm,validation,QDM_P_monthly,q99_relbias_pct,B2_distributional_fidelity,50.424658948133086,49.359844755798704,-1.0648141923343755,45,60,75.0
0.1 mm,validation,QDM_P_monthly,mRMSE,B3_error_based,116.20256271663513,116.85338720084937,0.6508244842142449,34,60,56.666666666666664
0.1 mm,validation,QDM_P_monthly,mKGE,B3_error_based,0.22917119312902437,0.21732052275567074,-0.011850670373353642,34,60,56.666666666666664
0.1 mm,validation,QDM_P_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.7093045391233498,0.06587477108774041,45,60,75.0
0.5 mm,validation,QDM_NP_annual,PBIAS,B1_systematic_bias,19.990949741096326,13.655364082647795,-6.33558565844853,37,60,61.66666666666667
0.5 mm,validation,QDM_NP_annual,KS_D,B2_distributional_fidelity,0.23378569776945296,0.10730019575769677,-0.12648550201175612,53,60,88.33333333333333
0.5 mm,validation,QDM_NP_annual,q99_relbias_pct,B2_distributional_fidelity,52.17031209748972,24.38327064723772,-27.787041450252005,45,60,75.0
0.5 mm,validation,QDM_NP_annual,mRMSE,B3_error_based,116.20256271663513,124.66955190592395,8.466989189288816,22,60,36.666666666666664
0.5 mm,validation,QDM_NP_annual,mKGE,B3_error_based,0.22917119312902437,0.2026510116038248,-0.026520181525199586,24,60,40.0
0.5 mm,validation,QDM_NP_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.629465785940604,-0.013963982095005377,28,60,46.666666666666664
0.5 mm,validation,QDM_NP_monthly,PBIAS,B1_systematic_bias,19.990949741096326,13.963857959575655,-6.027091781520673,37,60,61.66666666666667
0.5 mm,validation,QDM_NP_monthly,KS_D,B2_distributional_fidelity,0.23378569776945296,0.10275506432107401,-0.1310306334483789,52,60,86.66666666666667
0.5 mm,validation,QDM_NP_monthly,q99_relbias_pct,B2_distributional_fidelity,52.17031209748972,27.38787724241182,-24.782434855077906,45,60,75.0
0.5 mm,validation,QDM_NP_monthly,mRMSE,B3_error_based,116.20256271663513,109.25593808856885,-6.9466246280662896,38,60,63.33333333333333
0.5 mm,validation,QDM_NP_monthly,mKGE,B3_error_based,0.22917119312902437,0.3304376271579844,0.10126643402896011,40,60,66.66666666666666
0.5 mm,validation,QDM_NP_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.8801492639993297,0.23671949596372033,59,60,98.33333333333333
0.5 mm,validation,QDM_P_annual,PBIAS,B1_systematic_bias,19.990949741096326,17.538357490829807,-2.452592250266515,34,60,56.666666666666664
0.5 mm,validation,QDM_P_annual,KS_D,B2_distributional_fidelity,0.23378569776945296,0.13797324797197316,-0.09581244979747972,44,60,73.33333333333333
0.5 mm,validation,QDM_P_annual,q99_relbias_pct,B2_distributional_fidelity,52.17031209748972,42.05917824295518,-10.111133854534549,33,60,55.00000000000001
0.5 mm,validation,QDM_P_annual,mRMSE,B3_error_based,116.20256271663513,114.53198790612527,-1.6705748105098779,35,60,58.333333333333336
0.5 mm,validation,QDM_P_annual,mKGE,B3_error_based,0.22917119312902437,0.2255296248795184,-0.003641568249505939,28,60,46.666666666666664
0.5 mm,validation,QDM_P_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.6462712533718821,0.002841485336272856,35,60,58.333333333333336
0.5 mm,validation,QDM_P_monthly,PBIAS,B1_systematic_bias,19.990949741096326,16.214984923169144,-3.775964817927182,33,60,55.00000000000001
0.5 mm,validation,QDM_P_monthly,KS_D,B2_distributional_fidelity,0.23378569776945296,0.10961872489046769,-0.12416697287898523,53,60,88.33333333333333
0.5 mm,validation,QDM_P_monthly,q99_relbias_pct,B2_distributional_fidelity,52.17031209748972,45.87103880633726,-6.299273291152469,37,60,61.66666666666667
