model,station,comparison,metric,median_delta,ci_low,ci_high,p_two_sided,p_fdr
ACCESS-ESM1-5,500001,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-1.3805090091097796,-5.593151431178422,1.7894191351187092,0.4567716141929036,0.637355740734284
ACCESS-ESM1-5,500001,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.009835159835430929,-0.017252212492812957,0.05424461788985092,0.543728135932034,0.7956997111200498
ACCESS-ESM1-5,500002,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-1.3564390383589426,-7.133679594139551,3.8232128057247325,0.6146926536731634,0.8017730265302131
ACCESS-ESM1-5,500002,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.009495415133517648,-0.030362812782509872,0.059431763785803664,0.6326836581709145,0.889120657062773
ACCESS-ESM1-5,500003,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-3.979929272644867,-15.223708178318333,4.813470579100056,0.5007496251874063,0.6676661669165417
ACCESS-ESM1-5,500003,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.019500410145327385,-0.05489555581346821,0.12539967267562604,0.6756621689155422,0.889120657062773
ACCESS-ESM1-5,500004,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-17.088664737619737,-24.3783686236083,-10.2277320748046,0.0009995002498750624,0.006663334999167083
ACCESS-ESM1-5,500004,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.08711154450068231,-0.013419506611628915,0.2229849442127328,0.10294852573713144,0.31620553359683795
ACCESS-ESM1-5,500005,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-0.797496483067718,-6.967294906357952,5.761523240537446,0.8235882058970515,0.8669349535758437
ACCESS-ESM1-5,500005,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.0010832712040585446,-0.053786611259118426,0.06116961041970298,0.9645177411294353,0.9945027486256871
ACCESS-ESM1-5,500006,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-5.640146740019169,-11.829292788325821,0.8442069119956795,0.08995502248875563,0.19704433497536947
ACCESS-ESM1-5,500006,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.004946086205716349,-0.06668686001784123,0.07537111326766481,0.8935532233883059,0.9911407932397438
ACCESS-ESM1-5,500007,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-10.383261858695356,-23.326171888501875,1.0797211236414899,0.07196401799100449,0.16607081074847188
ACCESS-ESM1-5,500007,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.10740123431520643,-0.04460983108471408,0.2911125243694513,0.17391304347826086,0.34782608695652173
ACCESS-ESM1-5,500008,QDM_P_monthly minus QDM_NP_monthly,mRMSE,1.3342274394492577,-1.9307466594450748,4.059838269819376,0.3988005997001499,0.5711429999286071
ACCESS-ESM1-5,500008,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.020784439589845827,-0.054912024682176784,0.015205659586884633,0.26186906546726635,0.4677661169415292
ACCESS-ESM1-5,500009,QDM_P_monthly minus QDM_NP_monthly,mRMSE,1.8601640072976409,-1.0490725979620485,4.030571214165279,0.1969015492253873,0.33754551295780677
ACCESS-ESM1-5,500009,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.02473387885185463,-0.049012147005284466,0.0082786001853676,0.12493753123438281,0.3259239945244769
ACCESS-ESM1-5,500201,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-27.77807194693665,-46.63985907405546,-6.5094448492728345,0.0029985007496251873,0.012850717498393659
ACCESS-ESM1-5,500201,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.23139081762832558,0.04574581787375381,0.4445107965048163,0.001999000499750125,0.0239880059970015
ACCESS-ESM1-5,500202,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-14.094315340961998,-24.60868580769527,-5.906628950276626,0.0009995002498750624,0.006663334999167083
ACCESS-ESM1-5,500202,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.15828192143063924,0.04762353380851583,0.3035273521399538,0.0029985007496251873,0.025701434996787318
ACCESS-ESM1-5,500301,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-24.86408223603805,-41.304498900620786,-7.262826392827701,0.004997501249375313,0.01999000499750125
ACCESS-ESM1-5,500301,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.22641845913990355,-0.0661198374756715,0.52921120747513,0.15592203898050974,0.3341186549582352
CanESM5,500001,QDM_P_monthly minus QDM_NP_monthly,mRMSE,6.113383936322741,-3.2745058695549116,15.202359553575848,0.39980009995002497,0.5711429999286071
CanESM5,500001,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.059325184821069965,-0.13994182583587386,-0.0033205992703169616,0.04397801099450275,0.21989005497251377
CanESM5,500002,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.9323599960984339,-3.454423013029976,5.7397253870143645,0.6626686656671664,0.8114310191842855
CanESM5,500002,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.0024848774676874963,-0.04036578572920697,0.03520641871403479,0.9085457271364318,0.9911407932397438
CanESM5,500003,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-11.651022592771525,-25.3545440791421,1.3162495807154364,0.09795102448775612,0.20265729204363336
CanESM5,500003,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.019881379559889556,-0.12157274445129723,0.2235211128505012,0.8375812093953023,0.9866764730842126
CanESM5,500004,QDM_P_monthly minus QDM_NP_monthly,mRMSE,3.257559538733311,-1.8240383960193245,8.202953670938175,0.20689655172413793,0.3448275862068966
CanESM5,500004,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.08774772123482438,-0.12389437236431587,-0.05826053721826906,0.0009995002498750624,0.014992503748125937
CanESM5,500005,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.09164265144699613,-1.3934761476875235,2.4468296769318147,0.9315342328835582,0.9395302348825587
CanESM5,500005,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.0001138946589557821,-0.02160770499250319,0.018028859044860325,0.9945027486256871,0.9945027486256871
CanESM5,500006,QDM_P_monthly minus QDM_NP_monthly,mRMSE,1.8158713201890535,-0.4910540028261657,4.465328175068478,0.10794602698650675,0.20892779416743243
CanESM5,500006,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.03580693829241427,-0.062365076289069635,-0.011032178070963157,0.0029985007496251873,0.025701434996787318
CanESM5,500007,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-0.21517842460095693,-4.829343230552533,3.4854808429877178,0.9395302348825587,0.9395302348825587
CanESM5,500007,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.034793636227666846,-0.06465454345923265,0.003900823992128465,0.07496251874062969,0.2751565393773701
CanESM5,500008,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.8604261651694145,-3.0403572047081577,6.045778647067184,0.7006496751624188,0.8151479815647732
CanESM5,500008,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.021987445669853944,-0.008392172302101205,0.04499109375898087,0.13393303348325838,0.3341186549582352
CanESM5,500009,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.7367646777900916,-2.811517390629599,4.495958390895538,0.7066466766616691,0.8151479815647732
CanESM5,500009,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.041879066290931466,-0.006883492410425589,0.07653678289556914,0.07796101949025487,0.2751565393773701
CanESM5,500201,QDM_P_monthly minus QDM_NP_monthly,mRMSE,3.2135437479985924,-3.352282673246128,13.231790278456197,0.7306346826586707,0.8151479815647732
CanESM5,500201,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.045040864207468834,-0.09465759576725918,0.0005092936449435072,0.05297351324337831,0.22702934247162135
CanESM5,500202,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-6.868771954033747,-12.676524050307751,-2.7057819555335767,0.0009995002498750624,0.006663334999167083
CanESM5,500202,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.07054827533214059,-0.11766981370434063,0.02329899287103724,0.10994502748625687,0.31620553359683795
CanESM5,500301,QDM_P_monthly minus QDM_NP_monthly,mRMSE,0.4376340430155139,-4.468128679389749,6.699843742733062,0.8855572213893054,0.9160936772992814
CanESM5,500301,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.09638140247756422,-0.1404210109395309,-0.02624866621722371,0.0009995002498750624,0.014992503748125937
CESM2,500001,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-10.235833065491228,-19.998292154189464,-1.0221079038100704,0.02798600699650175,0.08837686419947921
CESM2,500001,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.06760157141144779,-0.040845112757389695,0.2149004962262393,0.2658670664667666,0.4677661169415292
CESM2,500002,QDM_P_monthly minus QDM_NP_monthly,mRMSE,37.049472116762715,4.733242630596041,74.23029481301725,0.0009995002498750624,0.006663334999167083
CESM2,500002,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.31522673001641266,-0.705758234073727,-0.034105304279412295,0.004997501249375313,0.037481259370314844
CESM2,500003,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-12.592416867789176,-24.535907673940407,-2.3941956306529995,0.01199400299850075,0.04233177528882617
CESM2,500003,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.11608045114093463,0.007246752867299914,0.249819724083629,0.03398300849575212,0.18536186452228431
CESM2,500004,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-2.7551225268632322,-16.329618953542877,9.821393434824707,0.6846576711644178,0.8151479815647732
CESM2,500004,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.02673339187724666,-0.0901763432623815,0.15843090134504495,0.6546726636681659,0.889120657062773
CESM2,500005,QDM_P_monthly minus QDM_NP_monthly,mRMSE,1.6465352979206713,-0.7282120000834797,3.7912639761416824,0.1619190404797601,0.29439825541774567
