date,model,member_id,sst_c,monthly_climatology_c,anomaly_c,anomaly_detrended_c,nino34_3month_c,episode_sign,episode_phase
1981-01-01,CESM2,r11i1p1f1,25.851725,26.911275,-1.059550,-0.641633,,0,NO_PERSISTENT_EPISODE
1981-02-01,CESM2,r11i1p1f1,26.039705,27.202891,-1.163186,-0.747323,-0.793921,-1,LA_NINA
1981-03-01,CESM2,r11i1p1f1,26.197168,27.603786,-1.406618,-0.992808,-1.077530,-1,LA_NINA
1981-04-01,CESM2,r11i1p1f1,26.192394,28.096611,-1.904216,-1.492460,-1.357190,-1,LA_NINA
1981-05-01,CESM2,r11i1p1f1,26.366964,28.362968,-1.996003,-1.586301,-1.439344,-1,LA_NINA
1981-06-01,CESM2,r11i1p1f1,26.486183,28.133102,-1.646919,-1.239270,-1.223954,-1,LA_NINA
1981-07-01,CESM2,r11i1p1f1,26.335323,27.587210,-1.251887,-0.846292,-0.914523,-1,LA_NINA
1981-08-01,CESM2,r11i1p1f1,25.808630,26.870180,-1.061550,-0.658008,-0.758526,-1,LA_NINA
1981-09-01,CESM2,r11i1p1f1,25.169956,26.342723,-1.172767,-0.771279,-0.914970,-1,LA_NINA
1981-10-01,CESM2,r11i1p1f1,24.551373,26.266431,-1.715058,-1.315624,-1.239000,-1,LA_NINA
1981-11-01,CESM2,r11i1p1f1,24.510136,26.537612,-2.027476,-1.630096,-1.616512,-1,LA_NINA
1981-12-01,CESM2,r11i1p1f1,24.485748,26.784891,-2.299143,-1.903816,-1.843553,-1,LA_NINA
1982-01-01,CESM2,r11i1p1f1,24.521254,26.911275,-2.390022,-1.996748,-1.945619,-1,LA_NINA
1982-02-01,CESM2,r11i1p1f1,24.875380,27.202891,-2.327512,-1.936292,-1.933873,-1,LA_NINA
1982-03-01,CESM2,r11i1p1f1,25.346041,27.603786,-2.257745,-1.868579,-1.776207,-1,LA_NINA
1982-04-01,CESM2,r11i1p1f1,26.185749,28.096611,-1.910862,-1.523749,-1.555262,-1,LA_NINA
1982-05-01,CESM2,r11i1p1f1,26.704451,28.362968,-1.658517,-1.273458,-1.262099,-1,LA_NINA
1982-06-01,CESM2,r11i1p1f1,26.761007,28.133102,-1.372095,-0.989090,-0.926386,-1,LA_NINA
1982-07-01,CESM2,r11i1p1f1,26.689648,27.587210,-0.897562,-0.516611,-0.592112,-1,LA_NINA
1982-08-01,CESM2,r11i1p1f1,26.220648,26.870180,-0.649532,-0.270634,-0.346079,0,NO_PERSISTENT_EPISODE
1982-09-01,CESM2,r11i1p1f1,25.714888,26.342723,-0.627835,-0.250991,-0.246259,0,NO_PERSISTENT_EPISODE
1982-10-01,CESM2,r11i1p1f1,25.674488,26.266431,-0.591943,-0.217152,-0.257343,0,NO_PERSISTENT_EPISODE
1982-11-01,CESM2,r11i1p1f1,25.860991,26.537612,-0.676621,-0.303885,-0.213966,0,NO_PERSISTENT_EPISODE
1982-12-01,CESM2,r11i1p1f1,26.293346,26.784891,-0.491544,-0.120861,-0.252443,0,NO_PERSISTENT_EPISODE
1983-01-01,CESM2,r11i1p1f1,26.210062,26.911275,-0.701213,-0.332584,-0.329720,0,NO_PERSISTENT_EPISODE
1983-02-01,CESM2,r11i1p1f1,26.300600,27.202891,-0.902291,-0.535715,-0.356915,0,NO_PERSISTENT_EPISODE
1983-03-01,CESM2,r11i1p1f1,27.036818,27.603786,-0.566969,-0.202446,-0.249011,0,NO_PERSISTENT_EPISODE
1983-04-01,CESM2,r11i1p1f1,27.725269,28.096611,-0.371341,-0.008873,-0.074269,0,NO_PERSISTENT_EPISODE
1983-05-01,CESM2,r11i1p1f1,27.991064,28.362968,-0.371904,-0.011489,0.001208,0,NO_PERSISTENT_EPISODE
1983-06-01,CESM2,r11i1p1f1,27.798725,28.133102,-0.334377,0.023984,-0.011913,0,NO_PERSISTENT_EPISODE
1983-07-01,CESM2,r11i1p1f1,27.182669,27.587210,-0.404541,-0.048234,0.082474,0,NO_PERSISTENT_EPISODE
1983-08-01,CESM2,r11i1p1f1,26.787596,26.870180,-0.082584,0.271670,0.309338,0,NO_PERSISTENT_EPISODE
