date,model,member_id,sst_c,monthly_climatology_c,anomaly_c,anomaly_detrended_c,nino34_3month_c,episode_sign,episode_phase
1981-01-01,CanESM5,r1i1p1f1,26.564213,26.696933,-0.132720,0.479941,,0,NO_PERSISTENT_EPISODE
1981-02-01,CanESM5,r1i1p1f1,26.505442,26.760113,-0.254671,0.354979,0.326342,0,NO_PERSISTENT_EPISODE
1981-03-01,CanESM5,r1i1p1f1,26.440357,26.902889,-0.462532,0.144108,0.185638,0,NO_PERSISTENT_EPISODE
1981-04-01,CanESM5,r1i1p1f1,26.839256,27.385059,-0.545803,0.057826,0.158922,0,NO_PERSISTENT_EPISODE
1981-05-01,CanESM5,r1i1p1f1,27.209044,27.534831,-0.325787,0.274831,0.278107,0,NO_PERSISTENT_EPISODE
1981-06-01,CanESM5,r1i1p1f1,27.171780,27.267725,-0.095945,0.501663,0.464436,0,NO_PERSISTENT_EPISODE
1981-07-01,CanESM5,r1i1p1f1,26.939999,26.917781,0.022218,0.616815,0.658024,1,EL_NINO
1981-08-01,CanESM5,r1i1p1f1,26.750315,26.486305,0.264009,0.855596,0.846272,1,EL_NINO
1981-09-01,CanESM5,r1i1p1f1,26.790766,26.312935,0.477831,1.066406,1.052925,1,EL_NINO
1981-10-01,CanESM5,r1i1p1f1,27.079899,26.428691,0.651208,1.236773,1.209477,1,EL_NINO
1981-11-01,CanESM5,r1i1p1f1,27.320093,26.577397,0.742697,1.325251,1.312962,1,EL_NINO
1981-12-01,CanESM5,r1i1p1f1,27.448654,26.651337,0.797318,1.376861,1.368917,1,EL_NINO
1982-01-01,CanESM5,r1i1p1f1,27.525038,26.696933,0.828105,1.404638,1.423189,1,EL_NINO
1982-02-01,CanESM5,r1i1p1f1,27.674656,26.760113,0.914543,1.488066,1.436869,1,EL_NINO
1982-03-01,CanESM5,r1i1p1f1,27.750280,26.902889,0.847391,1.417903,1.577932,1,EL_NINO
1982-04-01,CanESM5,r1i1p1f1,28.645386,27.385059,1.260327,1.827828,1.628232,1,EL_NINO
1982-05-01,CanESM5,r1i1p1f1,28.609304,27.534831,1.074473,1.638964,1.641298,1,EL_NINO
1982-06-01,CanESM5,r1i1p1f1,28.163345,27.267725,0.895621,1.457101,1.449896,1,EL_NINO
1982-07-01,CanESM5,r1i1p1f1,27.612934,26.917781,0.695153,1.253623,1.273570,1,EL_NINO
1982-08-01,CanESM5,r1i1p1f1,27.040833,26.486305,0.554527,1.109986,1.156579,1,EL_NINO
1982-09-01,CanESM5,r1i1p1f1,26.866615,26.312935,0.553680,1.106129,1.028244,1,EL_NINO
1982-10-01,CanESM5,r1i1p1f1,26.747869,26.428691,0.319178,0.868616,0.911057,1,EL_NINO
1982-11-01,CanESM5,r1i1p1f1,26.789394,26.577397,0.211998,0.758425,0.732330,1,EL_NINO
1982-12-01,CanESM5,r1i1p1f1,26.677870,26.651337,0.026533,0.569950,0.561825,1,EL_NINO
1983-01-01,CanESM5,r1i1p1f1,26.513628,26.696933,-0.183305,0.357101,0.473996,0,NO_PERSISTENT_EPISODE
1983-02-01,CanESM5,r1i1p1f1,26.717655,26.760113,-0.042458,0.494938,0.371862,0,NO_PERSISTENT_EPISODE
1983-03-01,CanESM5,r1i1p1f1,26.632051,26.902889,-0.270838,0.263547,0.129442,0,NO_PERSISTENT_EPISODE
1983-04-01,CanESM5,r1i1p1f1,26.483526,27.385059,-0.901533,-0.370159,-0.097066,0,NO_PERSISTENT_EPISODE
1983-05-01,CanESM5,r1i1p1f1,26.821880,27.534831,-0.712951,-0.184587,-0.288126,0,NO_PERSISTENT_EPISODE
1983-06-01,CanESM5,r1i1p1f1,26.432741,27.267725,-0.834984,-0.309631,-0.290011,0,NO_PERSISTENT_EPISODE
1983-07-01,CanESM5,r1i1p1f1,26.019625,26.917781,-0.898156,-0.375814,-0.378559,0,NO_PERSISTENT_EPISODE
1983-08-01,CanESM5,r1i1p1f1,25.516743,26.486305,-0.969563,-0.450231,-0.441910,0,NO_PERSISTENT_EPISODE
1983-09-01,CanESM5,r1i1p1f1,25.296930,26.312935,-1.016005,-0.499684,-0.547652,-1,LA_NINA
1983-10-01,CanESM5,r1i1p1f1,25.222340,26.428691,-1.206352,-0.693041,-0.707396,-1,LA_NINA
1983-11-01,CanESM5,r1i1p1f1,25.137634,26.577397,-1.439762,-0.929463,-0.855603,-1,LA_NINA
