date,model,member_id,sst_c,monthly_climatology_c,anomaly_c,anomaly_detrended_c,nino34_3month_c,episode_sign,episode_phase
1981-01-01,EC-Earth3,r1i1p1f1,27.437889,27.249395,0.188494,0.454685,,0,NO_PERSISTENT_EPISODE
1981-02-01,EC-Earth3,r1i1p1f1,27.438009,27.168795,0.269215,0.534098,0.418673,0,NO_PERSISTENT_EPISODE
1981-03-01,EC-Earth3,r1i1p1f1,27.181803,27.178143,0.003660,0.267235,0.183414,0,NO_PERSISTENT_EPISODE
1981-04-01,EC-Earth3,r1i1p1f1,26.999191,27.512548,-0.513357,-0.251090,0.028312,0,NO_PERSISTENT_EPISODE
1981-05-01,EC-Earth3,r1i1p1f1,27.711830,27.904000,-0.192170,0.068789,0.010316,0,NO_PERSISTENT_EPISODE
1981-06-01,EC-Earth3,r1i1p1f1,27.816799,27.863200,-0.046401,0.213250,0.233470,0,NO_PERSISTENT_EPISODE
1981-07-01,EC-Earth3,r1i1p1f1,27.673981,27.513952,0.160029,0.418372,0.411472,0,NO_PERSISTENT_EPISODE
1981-08-01,EC-Earth3,r1i1p1f1,27.319683,26.973923,0.345760,0.602795,0.453417,0,NO_PERSISTENT_EPISODE
1981-09-01,EC-Earth3,r1i1p1f1,26.859066,26.775707,0.083359,0.339085,0.457145,0,NO_PERSISTENT_EPISODE
1981-10-01,EC-Earth3,r1i1p1f1,27.116457,26.941320,0.175137,0.429555,0.482298,0,NO_PERSISTENT_EPISODE
1981-11-01,EC-Earth3,r1i1p1f1,27.585123,27.159979,0.425144,0.678254,0.602087,1,EL_NINO
1981-12-01,EC-Earth3,r1i1p1f1,27.721220,27.274572,0.446648,0.698451,0.805539,1,EL_NINO
1982-01-01,EC-Earth3,r1i1p1f1,28.038813,27.249395,0.789417,1.039912,0.922283,1,EL_NINO
1982-02-01,EC-Earth3,r1i1p1f1,27.948095,27.168795,0.779301,1.028487,0.970981,1,EL_NINO
1982-03-01,EC-Earth3,r1i1p1f1,27.774809,27.178143,0.596666,0.844545,0.772952,1,EL_NINO
1982-04-01,EC-Earth3,r1i1p1f1,27.711803,27.512548,0.199255,0.445826,0.633634,1,EL_NINO
1982-05-01,EC-Earth3,r1i1p1f1,28.269270,27.904000,0.365270,0.610532,0.385690,0,NO_PERSISTENT_EPISODE
1982-06-01,EC-Earth3,r1i1p1f1,27.719959,27.863200,-0.143241,0.100713,0.288457,0,NO_PERSISTENT_EPISODE
1982-07-01,EC-Earth3,r1i1p1f1,27.425430,27.513952,-0.088521,0.154125,0.079831,0,NO_PERSISTENT_EPISODE
