date,model,member_id,sst_c,monthly_climatology_c,anomaly_c,anomaly_detrended_c,nino34_3month_c,episode_sign,episode_phase
1981-01-01,FGOALS-g3,r1i1p1f1,26.722704,26.950704,-0.228000,0.109841,,0,NO_PERSISTENT_EPISODE
1981-02-01,FGOALS-g3,r1i1p1f1,26.613644,26.991518,-0.377874,-0.041693,0.004647,0,NO_PERSISTENT_EPISODE
1981-03-01,FGOALS-g3,r1i1p1f1,26.804529,27.193257,-0.388727,-0.054206,-0.059353,0,NO_PERSISTENT_EPISODE
1981-04-01,FGOALS-g3,r1i1p1f1,27.088306,27.503328,-0.415021,-0.082160,-0.006922,0,NO_PERSISTENT_EPISODE
1981-05-01,FGOALS-g3,r1i1p1f1,27.430655,27.646255,-0.215601,0.115600,-0.007473,0,NO_PERSISTENT_EPISODE
1981-06-01,FGOALS-g3,r1i1p1f1,27.000046,27.385446,-0.385400,-0.055860,-0.023010,0,NO_PERSISTENT_EPISODE
1981-07-01,FGOALS-g3,r1i1p1f1,26.435499,26.892150,-0.456651,-0.128770,-0.078695,0,NO_PERSISTENT_EPISODE
1981-08-01,FGOALS-g3,r1i1p1f1,26.090174,26.467848,-0.377674,-0.051454,-0.128399,0,NO_PERSISTENT_EPISODE
1981-09-01,FGOALS-g3,r1i1p1f1,25.932446,26.461978,-0.529533,-0.204973,-0.123797,0,NO_PERSISTENT_EPISODE
1981-10-01,FGOALS-g3,r1i1p1f1,26.328138,26.766004,-0.437865,-0.114965,-0.144035,0,NO_PERSISTENT_EPISODE
1981-11-01,FGOALS-g3,r1i1p1f1,26.528946,26.962354,-0.433408,-0.112168,-0.045554,0,NO_PERSISTENT_EPISODE
1981-12-01,FGOALS-g3,r1i1p1f1,26.735342,26.964451,-0.229109,0.090471,-0.027372,0,NO_PERSISTENT_EPISODE
1982-01-01,FGOALS-g3,r1i1p1f1,26.572367,26.950704,-0.378337,-0.060418,-0.022395,0,NO_PERSISTENT_EPISODE
1982-02-01,FGOALS-g3,r1i1p1f1,26.578022,26.991518,-0.413496,-0.097237,0.018987,0,NO_PERSISTENT_EPISODE
1982-03-01,FGOALS-g3,r1i1p1f1,27.093273,27.193257,-0.099983,0.214616,0.174365,0,NO_PERSISTENT_EPISODE
