date,model,member_id,sst_c,monthly_climatology_c,anomaly_c,anomaly_detrended_c,nino34_3month_c,episode_sign,episode_phase
1981-01-01,MIROC6,r1i1p1f1,25.158401,25.813533,-0.655132,-0.432247,,0,NO_PERSISTENT_EPISODE
1981-02-01,MIROC6,r1i1p1f1,25.415342,26.162357,-0.747014,-0.525225,-0.450618,0,NO_PERSISTENT_EPISODE
1981-03-01,MIROC6,r1i1p1f1,26.036842,26.651920,-0.615077,-0.394383,-0.480259,0,NO_PERSISTENT_EPISODE
1981-04-01,MIROC6,r1i1p1f1,26.459908,27.200674,-0.740767,-0.521168,-0.467324,0,NO_PERSISTENT_EPISODE
1981-05-01,MIROC6,r1i1p1f1,26.775572,27.480497,-0.704926,-0.486422,-0.483793,0,NO_PERSISTENT_EPISODE
1981-06-01,MIROC6,r1i1p1f1,26.629475,27.290673,-0.661198,-0.443790,-0.387321,0,NO_PERSISTENT_EPISODE
1981-07-01,MIROC6,r1i1p1f1,26.364737,26.812800,-0.448063,-0.231750,-0.294895,0,NO_PERSISTENT_EPISODE
1981-08-01,MIROC6,r1i1p1f1,25.590431,26.014794,-0.424363,-0.209145,-0.154682,0,NO_PERSISTENT_EPISODE
1981-09-01,MIROC6,r1i1p1f1,25.424469,25.661742,-0.237273,-0.023150,-0.223099,0,NO_PERSISTENT_EPISODE
1981-10-01,MIROC6,r1i1p1f1,24.979481,25.629511,-0.650030,-0.437003,-0.344718,0,NO_PERSISTENT_EPISODE
1981-11-01,MIROC6,r1i1p1f1,24.780298,25.566230,-0.785932,-0.574000,-0.424392,0,NO_PERSISTENT_EPISODE
1981-12-01,MIROC6,r1i1p1f1,25.121065,25.594075,-0.473010,-0.262173,-0.199597,0,NO_PERSISTENT_EPISODE
1982-01-01,MIROC6,r1i1p1f1,25.841173,25.813533,0.027640,0.237382,0.079385,0,NO_PERSISTENT_EPISODE
1982-02-01,MIROC6,r1i1p1f1,26.216656,26.162357,0.054299,0.262946,0.269626,0,NO_PERSISTENT_EPISODE
1982-03-01,MIROC6,r1i1p1f1,26.752918,26.651920,0.100998,0.308549,0.380292,0,NO_PERSISTENT_EPISODE
1982-04-01,MIROC6,r1i1p1f1,27.563599,27.200674,0.362924,0.569380,0.550644,1,EL_NINO
1982-05-01,MIROC6,r1i1p1f1,28.049139,27.480497,0.568642,0.774002,0.673248,1,EL_NINO
1982-06-01,MIROC6,r1i1p1f1,27.762770,27.290673,0.472097,0.676362,0.755436,1,EL_NINO
1982-07-01,MIROC6,r1i1p1f1,27.425575,26.812800,0.612775,0.815945,0.859056,1,EL_NINO
1982-08-01,MIROC6,r1i1p1f1,26.897581,26.014794,0.882787,1.084862,0.997058,1,EL_NINO
1982-09-01,MIROC6,r1i1p1f1,26.551130,25.661742,0.889389,1.090368,1.208236,1,EL_NINO
1982-10-01,MIROC6,r1i1p1f1,26.879107,25.629511,1.249596,1.449480,1.302961,1,EL_NINO
1982-11-01,MIROC6,r1i1p1f1,26.736477,25.566230,1.170247,1.369036,1.330849,1,EL_NINO
1982-12-01,MIROC6,r1i1p1f1,26.570414,25.594075,0.976338,1.174032,1.205618,1,EL_NINO
1983-01-01,MIROC6,r1i1p1f1,26.690720,25.813533,0.877186,1.073785,1.039966,1,EL_NINO
1983-02-01,MIROC6,r1i1p1f1,26.838934,26.162357,0.676577,0.872081,0.974171,1,EL_NINO
1983-03-01,MIROC6,r1i1p1f1,27.434160,26.651920,0.782240,0.976648,0.944718,1,EL_NINO
1983-04-01,MIROC6,r1i1p1f1,27.992786,27.200674,0.792112,0.985425,1.085216,1,EL_NINO
1983-05-01,MIROC6,r1i1p1f1,28.581854,27.480497,1.101356,1.293574,1.264299,1,EL_NINO
1983-06-01,MIROC6,r1i1p1f1,28.613449,27.290673,1.322776,1.513898,1.484258,1,EL_NINO
1983-07-01,MIROC6,r1i1p1f1,28.268074,26.812800,1.455274,1.645301,1.633894,1,EL_NINO
1983-08-01,MIROC6,r1i1p1f1,27.568344,26.014794,1.553550,1.742482,1.721607,1,EL_NINO
1983-09-01,MIROC6,r1i1p1f1,27.250944,25.661742,1.589202,1.777039,1.947380,1,EL_NINO
1983-10-01,MIROC6,r1i1p1f1,27.765388,25.629511,2.135877,2.322619,2.156365,1,EL_NINO
1983-11-01,MIROC6,r1i1p1f1,27.750023,25.566230,2.183793,2.369439,2.308902,1,EL_NINO
1983-12-01,MIROC6,r1i1p1f1,27.644173,25.594075,2.050097,2.234648,2.232619,1,EL_NINO
1984-01-01,MIROC6,r1i1p1f1,27.723846,25.813533,1.910313,2.093769,2.111213,1,EL_NINO
1984-02-01,MIROC6,r1i1p1f1,27.985218,26.162357,1.822862,2.005222,2.048370,1,EL_NINO
1984-03-01,MIROC6,r1i1p1f1,28.516775,26.651920,1.864855,2.046120,1.968474,1,EL_NINO
1984-04-01,MIROC6,r1i1p1f1,28.874586,27.200674,1.673912,1.854081,1.942290,1,EL_NINO
1984-05-01,MIROC6,r1i1p1f1,29.228090,27.480497,1.747593,1.926667,1.914301,1,EL_NINO
1984-06-01,MIROC6,r1i1p1f1,29.074848,27.290673,1.784175,1.962154,2.061642,1,EL_NINO
1984-07-01,MIROC6,r1i1p1f1,28.932020,26.812800,2.119220,2.296104,2.312498,1,EL_NINO
1984-08-01,MIROC6,r1i1p1f1,28.518240,26.014794,2.503446,2.679234,2.436669,1,EL_NINO
1984-09-01,MIROC6,r1i1p1f1,27.821716,25.661742,2.159975,2.334668,2.452949,1,EL_NINO
1984-10-01,MIROC6,r1i1p1f1,27.800858,25.629511,2.171347,2.344945,2.273269,1,EL_NINO
1984-11-01,MIROC6,r1i1p1f1,27.533922,25.566230,1.967692,2.140195,2.093488,1,EL_NINO
1984-12-01,MIROC6,r1i1p1f1,27.217991,25.594075,1.623916,1.795323,1.769742,1,EL_NINO
1985-01-01,MIROC6,r1i1p1f1,27.016930,25.813533,1.203396,1.373709,1.297147,1,EL_NINO
1985-02-01,MIROC6,r1i1p1f1,26.715549,26.162357,0.553193,0.722410,0.871355,1,EL_NINO
1985-03-01,MIROC6,r1i1p1f1,27.001745,26.651920,0.349825,0.517947,0.433814,0,NO_PERSISTENT_EPISODE
1985-04-01,MIROC6,r1i1p1f1,27.094732,27.200674,-0.105942,0.061084,0.087990,0,NO_PERSISTENT_EPISODE
1985-05-01,MIROC6,r1i1p1f1,26.999504,27.480497,-0.480993,-0.315062,-0.423354,0,NO_PERSISTENT_EPISODE
1985-06-01,MIROC6,r1i1p1f1,26.109753,27.290673,-1.180920,-1.016084,-1.017921,-1,LA_NINA
1985-07-01,MIROC6,r1i1p1f1,24.926441,26.812800,-1.886359,-1.722618,-1.655148,-1,LA_NINA
1985-08-01,MIROC6,r1i1p1f1,23.625406,26.014794,-2.389388,-2.226742,-2.154059,-1,LA_NINA
1985-09-01,MIROC6,r1i1p1f1,22.987373,25.661742,-2.674368,-2.512818,-2.144363,-1,LA_NINA
1985-10-01,MIROC6,r1i1p1f1,23.775528,25.629511,-1.853983,-1.693528,-2.003457,-1,LA_NINA
1985-11-01,MIROC6,r1i1p1f1,23.602846,25.566230,-1.963384,-1.804024,-1.747802,-1,LA_NINA
1985-12-01,MIROC6,r1i1p1f1,23.689957,25.594075,-1.904119,-1.745854,-1.756782,-1,LA_NINA
1986-01-01,MIROC6,r1i1p1f1,23.935896,25.813533,-1.877637,-1.720468,-1.723686,-1,LA_NINA
1986-02-01,MIROC6,r1i1p1f1,24.301548,26.162357,-1.860808,-1.704735,-1.680685,-1,LA_NINA
1986-03-01,MIROC6,r1i1p1f1,24.880089,26.651920,-1.771831,-1.616852,-1.521927,-1,LA_NINA
1986-04-01,MIROC6,r1i1p1f1,25.802597,27.200674,-1.398077,-1.244194,-1.366192,-1,LA_NINA
1986-05-01,MIROC6,r1i1p1f1,26.090179,27.480497,-1.390318,-1.237530,-1.121472,-1,LA_NINA
1986-06-01,MIROC6,r1i1p1f1,26.256287,27.290673,-1.034386,-0.882693,-0.929266,-1,LA_NINA
1986-07-01,MIROC6,r1i1p1f1,25.994627,26.812800,-0.818173,-0.667575,-0.638526,-1,LA_NINA
1986-08-01,MIROC6,r1i1p1f1,25.499983,26.014794,-0.514811,-0.365309,-0.438619,0,NO_PERSISTENT_EPISODE
1986-09-01,MIROC6,r1i1p1f1,25.230362,25.661742,-0.431380,-0.282972,-0.435758,0,NO_PERSISTENT_EPISODE
1986-10-01,MIROC6,r1i1p1f1,24.823206,25.629511,-0.806305,-0.658993,-0.362820,0,NO_PERSISTENT_EPISODE
1986-11-01,MIROC6,r1i1p1f1,25.273520,25.566230,-0.292711,-0.146494,-0.303440,0,NO_PERSISTENT_EPISODE
1986-12-01,MIROC6,r1i1p1f1,25.344122,25.594075,-0.249953,-0.104832,-0.228710,0,NO_PERSISTENT_EPISODE
1987-01-01,MIROC6,r1i1p1f1,25.234703,25.813533,-0.578830,-0.434804,-0.428301,0,NO_PERSISTENT_EPISODE
1987-02-01,MIROC6,r1i1p1f1,25.274158,26.162357,-0.888198,-0.745267,-0.561388,0,NO_PERSISTENT_EPISODE
1987-03-01,MIROC6,r1i1p1f1,26.005991,26.651920,-0.645929,-0.504093,-0.517214,0,NO_PERSISTENT_EPISODE
1987-04-01,MIROC6,r1i1p1f1,26.757652,27.200674,-0.443022,-0.302282,-0.242853,0,NO_PERSISTENT_EPISODE
1987-05-01,MIROC6,r1i1p1f1,27.418669,27.480497,-0.061829,0.077816,-0.009797,0,NO_PERSISTENT_EPISODE
1987-06-01,MIROC6,r1i1p1f1,27.347197,27.290673,0.056524,0.195073,0.244096,0,NO_PERSISTENT_EPISODE
1987-07-01,MIROC6,r1i1p1f1,27.134743,26.812800,0.321943,0.459398,0.537955,1,EL_NINO
1987-08-01,MIROC6,r1i1p1f1,26.837828,26.014794,0.823033,0.959393,0.784721,1,EL_NINO
1987-09-01,MIROC6,r1i1p1f1,26.461849,25.661742,0.800108,0.935372,0.924279,1,EL_NINO
1987-10-01,MIROC6,r1i1p1f1,26.373415,25.629511,0.743904,0.878073,0.916469,1,EL_NINO
1987-11-01,MIROC6,r1i1p1f1,26.369120,25.566230,0.802890,0.935963,0.830460,1,EL_NINO
1987-12-01,MIROC6,r1i1p1f1,26.139441,25.594075,0.545365,0.677344,0.699962,1,EL_NINO
1988-01-01,MIROC6,r1i1p1f1,26.169230,25.813533,0.355696,0.486579,0.506246,1,EL_NINO
1988-02-01,MIROC6,r1i1p1f1,26.387384,26.162357,0.225028,0.354816,0.398946,0,NO_PERSISTENT_EPISODE
1988-03-01,MIROC6,r1i1p1f1,26.878670,26.651920,0.226750,0.355443,0.345454,0,NO_PERSISTENT_EPISODE
1988-04-01,MIROC6,r1i1p1f1,27.399179,27.200674,0.198505,0.326102,0.363332,0,NO_PERSISTENT_EPISODE
1988-05-01,MIROC6,r1i1p1f1,27.762447,27.480497,0.281950,0.408452,0.416296,0,NO_PERSISTENT_EPISODE
1988-06-01,MIROC6,r1i1p1f1,27.679600,27.290673,0.388927,0.514334,0.463807,0,NO_PERSISTENT_EPISODE
1988-07-01,MIROC6,r1i1p1f1,27.157124,26.812800,0.344324,0.468635,0.376796,0,NO_PERSISTENT_EPISODE
1988-08-01,MIROC6,r1i1p1f1,26.038996,26.014794,0.024201,0.147418,0.143219,0,NO_PERSISTENT_EPISODE
1988-09-01,MIROC6,r1i1p1f1,25.353226,25.661742,-0.308516,-0.186395,-0.117294,0,NO_PERSISTENT_EPISODE
1988-10-01,MIROC6,r1i1p1f1,25.195581,25.629511,-0.433930,-0.312904,-0.433402,0,NO_PERSISTENT_EPISODE
1988-11-01,MIROC6,r1i1p1f1,24.645393,25.566230,-0.920837,-0.800906,-0.660881,0,NO_PERSISTENT_EPISODE
1988-12-01,MIROC6,r1i1p1f1,24.606407,25.594075,-0.987668,-0.868833,-0.790028,0,NO_PERSISTENT_EPISODE
1989-01-01,MIROC6,r1i1p1f1,24.995449,25.813533,-0.818084,-0.700344,-0.686214,0,NO_PERSISTENT_EPISODE
1989-02-01,MIROC6,r1i1p1f1,25.556246,26.162357,-0.606111,-0.489466,-0.539163,0,NO_PERSISTENT_EPISODE
1989-03-01,MIROC6,r1i1p1f1,26.108690,26.651920,-0.543230,-0.427680,-0.495558,0,NO_PERSISTENT_EPISODE
1989-04-01,MIROC6,r1i1p1f1,26.516693,27.200674,-0.683981,-0.569527,-0.466684,0,NO_PERSISTENT_EPISODE
1989-05-01,MIROC6,r1i1p1f1,26.964293,27.480497,-0.516205,-0.402846,-0.505538,-1,LA_NINA
1989-06-01,MIROC6,r1i1p1f1,26.634169,27.290673,-0.656504,-0.544241,-0.568162,-1,LA_NINA
1989-07-01,MIROC6,r1i1p1f1,25.944231,26.812800,-0.868569,-0.757400,-0.787921,-1,LA_NINA
1989-08-01,MIROC6,r1i1p1f1,24.842600,26.014794,-1.172194,-1.062121,-0.961658,-1,LA_NINA
1989-09-01,MIROC6,r1i1p1f1,24.487310,25.661742,-1.174431,-1.065453,-1.361754,-1,LA_NINA
1989-10-01,MIROC6,r1i1p1f1,23.563940,25.629511,-2.065571,-1.957688,-1.511526,-1,LA_NINA
1989-11-01,MIROC6,r1i1p1f1,23.948006,25.566230,-1.618224,-1.511437,-1.528542,-1,LA_NINA
1989-12-01,MIROC6,r1i1p1f1,24.371883,25.594075,-1.222192,-1.116500,-1.187984,-1,LA_NINA
1990-01-01,MIROC6,r1i1p1f1,24.772921,25.813533,-1.040613,-0.936016,-0.956314,-1,LA_NINA
1990-02-01,MIROC6,r1i1p1f1,25.242428,26.162357,-0.919929,-0.816427,-0.780156,-1,LA_NINA
1990-03-01,MIROC6,r1i1p1f1,25.961489,26.651920,-0.690431,-0.588025,-0.657368,-1,LA_NINA
1990-04-01,MIROC6,r1i1p1f1,26.531710,27.200674,-0.668965,-0.567654,-0.523301,-1,LA_NINA
1990-05-01,MIROC6,r1i1p1f1,26.966057,27.480497,-0.514441,-0.414225,-0.417614,0,NO_PERSISTENT_EPISODE
1990-06-01,MIROC6,r1i1p1f1,26.920589,27.290673,-0.370084,-0.270963,-0.235316,0,NO_PERSISTENT_EPISODE
1990-07-01,MIROC6,r1i1p1f1,26.694014,26.812800,-0.118786,-0.020761,-0.121987,0,NO_PERSISTENT_EPISODE
1990-08-01,MIROC6,r1i1p1f1,25.843628,26.014794,-0.171166,-0.074236,-0.133519,0,NO_PERSISTENT_EPISODE
1990-09-01,MIROC6,r1i1p1f1,25.260347,25.661742,-0.401394,-0.305559,-0.351345,0,NO_PERSISTENT_EPISODE
1990-10-01,MIROC6,r1i1p1f1,24.860531,25.629511,-0.768980,-0.674240,-0.424922,0,NO_PERSISTENT_EPISODE
1990-11-01,MIROC6,r1i1p1f1,25.177620,25.566230,-0.388610,-0.294966,-0.495613,0,NO_PERSISTENT_EPISODE
1990-12-01,MIROC6,r1i1p1f1,24.983892,25.594075,-0.610183,-0.517634,-0.490763,0,NO_PERSISTENT_EPISODE
1991-01-01,MIROC6,r1i1p1f1,25.062389,25.813533,-0.751144,-0.659690,-0.645317,0,NO_PERSISTENT_EPISODE
1991-02-01,MIROC6,r1i1p1f1,25.313370,26.162357,-0.848987,-0.758628,-0.674482,0,NO_PERSISTENT_EPISODE
1991-03-01,MIROC6,r1i1p1f1,25.957527,26.651920,-0.694393,-0.605129,-0.577157,0,NO_PERSISTENT_EPISODE
1991-04-01,MIROC6,r1i1p1f1,26.744793,27.200674,-0.455881,-0.367713,-0.468055,0,NO_PERSISTENT_EPISODE
1991-05-01,MIROC6,r1i1p1f1,26.962101,27.480497,-0.518397,-0.431324,-0.349528,0,NO_PERSISTENT_EPISODE
1991-06-01,MIROC6,r1i1p1f1,26.955149,27.290673,-0.335524,-0.249547,-0.330453,0,NO_PERSISTENT_EPISODE
1991-07-01,MIROC6,r1i1p1f1,26.417429,26.812800,-0.395371,-0.310489,-0.274603,0,NO_PERSISTENT_EPISODE
1991-08-01,MIROC6,r1i1p1f1,25.667233,26.014794,-0.347562,-0.263775,-0.395654,0,NO_PERSISTENT_EPISODE
1991-09-01,MIROC6,r1i1p1f1,24.966352,25.661742,-0.695389,-0.612697,-0.600958,0,NO_PERSISTENT_EPISODE
1991-10-01,MIROC6,r1i1p1f1,24.621513,25.629511,-1.007998,-0.926401,-0.738387,0,NO_PERSISTENT_EPISODE
1991-11-01,MIROC6,r1i1p1f1,24.809668,25.566230,-0.756562,-0.676061,-0.747457,0,NO_PERSISTENT_EPISODE
1991-12-01,MIROC6,r1i1p1f1,24.874762,25.594075,-0.719314,-0.639908,-0.582246,0,NO_PERSISTENT_EPISODE
1992-01-01,MIROC6,r1i1p1f1,25.304453,25.813533,-0.509080,-0.430769,-0.455399,0,NO_PERSISTENT_EPISODE
1992-02-01,MIROC6,r1i1p1f1,25.789619,26.162357,-0.372737,-0.295522,-0.420003,0,NO_PERSISTENT_EPISODE
1992-03-01,MIROC6,r1i1p1f1,26.042082,26.651920,-0.609838,-0.533718,-0.372587,0,NO_PERSISTENT_EPISODE
1992-04-01,MIROC6,r1i1p1f1,26.837128,27.200674,-0.363547,-0.288522,-0.337877,0,NO_PERSISTENT_EPISODE
1992-05-01,MIROC6,r1i1p1f1,27.215176,27.480497,-0.265322,-0.191392,-0.126909,0,NO_PERSISTENT_EPISODE
1992-06-01,MIROC6,r1i1p1f1,27.317026,27.290673,0.026353,0.099188,0.100802,0,NO_PERSISTENT_EPISODE
1992-07-01,MIROC6,r1i1p1f1,27.135670,26.812800,0.322870,0.394609,0.480627,0,NO_PERSISTENT_EPISODE
1992-08-01,MIROC6,r1i1p1f1,26.892235,26.014794,0.877441,0.948085,0.833911,1,EL_NINO
1992-09-01,MIROC6,r1i1p1f1,26.751232,25.661742,1.089491,1.159039,1.039612,1,EL_NINO
1992-10-01,MIROC6,r1i1p1f1,26.572771,25.629511,0.943260,1.011714,1.125132,1,EL_NINO
1992-11-01,MIROC6,r1i1p1f1,26.703516,25.566230,1.137286,1.204644,1.115462,1,EL_NINO
1992-12-01,MIROC6,r1i1p1f1,26.657841,25.594075,1.063766,1.130029,1.073666,1,EL_NINO
1993-01-01,MIROC6,r1i1p1f1,26.634691,25.813533,0.821158,0.886326,0.912282,1,EL_NINO
1993-02-01,MIROC6,r1i1p1f1,26.818775,26.162357,0.656419,0.720491,0.801144,1,EL_NINO
1993-03-01,MIROC6,r1i1p1f1,27.385559,26.651920,0.733639,0.796616,0.793926,1,EL_NINO
