date,model,member_id,sst_c,monthly_climatology_c,anomaly_c,anomaly_detrended_c,nino34_3month_c,episode_sign,episode_phase
1981-01-01,MRI-ESM2-0,r1i1p1f1,28.054676,27.709341,0.345335,0.384261,,0,NO_PERSISTENT_EPISODE
1981-02-01,MRI-ESM2-0,r1i1p1f1,27.940079,27.596860,0.343219,0.381953,0.468735,0,NO_PERSISTENT_EPISODE
1981-03-01,MRI-ESM2-0,r1i1p1f1,28.123438,27.521989,0.601449,0.639992,0.562756,0,NO_PERSISTENT_EPISODE
1981-04-01,MRI-ESM2-0,r1i1p1f1,28.137686,27.509715,0.627971,0.666322,0.649510,0,NO_PERSISTENT_EPISODE
1981-05-01,MRI-ESM2-0,r1i1p1f1,28.140642,27.536586,0.604056,0.642217,0.438112,0,NO_PERSISTENT_EPISODE
1981-06-01,MRI-ESM2-0,r1i1p1f1,27.246191,27.278365,-0.032174,0.005796,0.198157,0,NO_PERSISTENT_EPISODE
1981-07-01,MRI-ESM2-0,r1i1p1f1,26.853640,26.944959,-0.091320,-0.053542,0.031375,0,NO_PERSISTENT_EPISODE
1981-08-01,MRI-ESM2-0,r1i1p1f1,26.689312,26.585027,0.104285,0.141872,0.040472,0,NO_PERSISTENT_EPISODE
1981-09-01,MRI-ESM2-0,r1i1p1f1,26.501978,26.506288,-0.004310,0.033086,0.070790,0,NO_PERSISTENT_EPISODE
1981-10-01,MRI-ESM2-0,r1i1p1f1,26.915279,26.915072,0.000208,0.037412,0.060425,0,NO_PERSISTENT_EPISODE
1981-11-01,MRI-ESM2-0,r1i1p1f1,27.449844,27.376080,0.073765,0.110778,0.151063,0,NO_PERSISTENT_EPISODE
1981-12-01,MRI-ESM2-0,r1i1p1f1,27.899246,27.631069,0.268178,0.304999,0.219431,0,NO_PERSISTENT_EPISODE
1982-01-01,MRI-ESM2-0,r1i1p1f1,27.915228,27.709341,0.205887,0.242517,0.261967,0,NO_PERSISTENT_EPISODE
1982-02-01,MRI-ESM2-0,r1i1p1f1,27.798805,27.596860,0.201945,0.238384,0.164485,0,NO_PERSISTENT_EPISODE
1982-03-01,MRI-ESM2-0,r1i1p1f1,27.498295,27.521989,-0.023694,0.012554,0.107385,0,NO_PERSISTENT_EPISODE
1982-04-01,MRI-ESM2-0,r1i1p1f1,27.544876,27.509715,0.035161,0.071217,0.029729,0,NO_PERSISTENT_EPISODE
1982-05-01,MRI-ESM2-0,r1i1p1f1,27.506136,27.536586,-0.030450,0.005415,-0.000944,0,NO_PERSISTENT_EPISODE
1982-06-01,MRI-ESM2-0,r1i1p1f1,27.163227,27.278365,-0.115138,-0.079464,0.029104,0,NO_PERSISTENT_EPISODE
