Station,Longitude (°E),Latitude (°N),Record,Mean annual rainfall (mm)
351001,100.1,17.23,1981–2014,988.0
351002,100.13,17.42,1981–2014,989.0
351003,100.68,17.67,1981–2014,1326.0
351004,100.38,17.65,1981–2014,1154.0
351005,100.05,17.6,1981–2014,1088.0
351006,100.88,17.92,1981–2014,1160.0
351007,101.07,18.02,1981–2014,1168.0
351008,100.37,17.47,1981–2014,1128.0
351009,100.28,17.75,1981–2014,1185.0
351010,100.82,17.9,1981–2014,1148.0
351011,100.11,17.56,1981–2014,1092.0
351012,100.92,17.75,1981–2014,954.0
351201,100.1,17.62,1981–2014,1059.0
