source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,PRCPTOT,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,EL_NINO,4,13,287.69625,261.2910769230769,26.40517307692312,10.105654348348338,True
RAW,RAINY,PRCPTOT,ACCESS-ESM1-5,grid_91a222defd5ca790,EL_NINO,4,13,497.89525000000003,362.0872307692308,135.80801923076922,37.50698939099672,True
RAW,RAINY,PRCPTOT,CESM2,grid_07764f63e0a851cb,EL_NINO,11,4,530.5129090909091,659.7027499999999,-129.18984090909078,-19.583038104523713,True
RAW,RAINY,PRCPTOT,CESM2,grid_75b745206e31761f,EL_NINO,11,4,577.8190909090908,674.46,-96.64090909090919,-14.32863462487163,True
RAW,RAINY,PRCPTOT,CESM2,grid_a881af875d124648,EL_NINO,11,4,585.9672727272728,686.56175,-100.5944772727272,-14.651919841547713,True
RAW,RAINY,PRCPTOT,CanESM5,grid_a0c557522bffc319,EL_NINO,5,10,947.7538000000001,1186.5283,-238.77449999999988,-20.123793086098313,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_9303f05137547d56,EL_NINO,6,10,339.24544999999995,319.77153,19.473919999999964,6.0899480325843784,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_9da29437bf4e821a,EL_NINO,6,10,300.27695,277.59027000000003,22.686679999999967,8.172721615926944,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_a66ff45ee66c4de6,EL_NINO,6,10,326.95188333333334,301.00084,25.95104333333336,8.621585020604382,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_dc4d6a079af8a48b,EL_NINO,6,10,214.44753333333333,194.10522,20.342313333333323,10.480044448744511,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_e28e705640008453,EL_NINO,6,10,304.77551666666665,289.89984999999996,14.875666666666689,5.1313123020473075,True
RAW,RAINY,PRCPTOT,FGOALS-g3,grid_55d8abe4f8a2fad6,EL_NINO,6,4,138.8153,134.0795,4.735800000000012,3.5320835772806523,True
RAW,RAINY,PRCPTOT,FGOALS-g3,grid_bec124c723ff4cc0,EL_NINO,6,4,164.04569999999998,198.14587500000002,-34.100175000000036,-17.20963154039923,True
RAW,RAINY,PRCPTOT,MIROC6,grid_646dc39f1698cf7c,EL_NINO,12,4,716.0011666666668,962.8254999999999,-246.82433333333313,-25.635417148105564,True
RAW,RAINY,PRCPTOT,MIROC6,grid_e76c7caef96c7398,EL_NINO,12,4,603.3626666666665,788.65125,-185.28858333333346,-23.49436247432987,True
RAW,RAINY,PRCPTOT,MRI-ESM2-0,grid_6cf183365c07226e,EL_NINO,7,3,525.9647142857142,599.2363333333333,-73.27161904761908,-12.227499397447376,True
RAW,RAINY,PRCPTOT,MRI-ESM2-0,grid_734a0a607f8697f4,EL_NINO,7,3,577.5395714285714,673.033,-95.49342857142858,-14.188521004382931,True
RAW,RAINY,PRCPTOT,MRI-ESM2-0,grid_f7737890dbe1030c,EL_NINO,7,3,656.1432857142858,664.4646666666666,-8.321380952380878,-1.2523436338798368,True
RAW,RAINY,PRCPTOT,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,LA_NINA,2,13,223.00250000000003,261.2910769230769,,,False
