check,pass,expected,actual
"Table2 OBSERVED ('RAINY', 'PRCPTOT', 'EL_NINO')",True,"-7.2 [-18.8, 4.4]","-7.2 [-18.8, 4.4]"
"Table2 RAW ('RAINY', 'PRCPTOT', 'EL_NINO')",True,"-12.2 [-23.8, 1.0]","-12.2 [-23.8, 1.0]"
"Table2 QDM ('RAINY', 'PRCPTOT', 'EL_NINO')",True,"-14.5 [-25.1, -1.4]","-14.5 [-25.1, -1.4]"
"Table2 q ('RAINY', 'PRCPTOT', 'EL_NINO')",True,0.471,0.471
"Table2 OBSERVED ('RAINY', 'PRCPTOT', 'LA_NINA')",True,"2.7 [-10.2, 17.3]","2.7 [-10.2, 17.3]"
"Table2 RAW ('RAINY', 'PRCPTOT', 'LA_NINA')",True,"-10.0 [-20.0, 3.0]","-10.0 [-20.0, 3.0]"
"Table2 QDM ('RAINY', 'PRCPTOT', 'LA_NINA')",True,"-15.0 [-26.3, -1.1]","-15.0 [-26.3, -1.1]"
"Table2 q ('RAINY', 'PRCPTOT', 'LA_NINA')",True,0.790,0.790
"Table2 OBSERVED ('RAINY', 'wet_day_frequency_pct', 'EL_NINO')",True,"-0.1 [-12.3, 2.8]","-0.1 [-12.3, 2.8]"
"Table2 RAW ('RAINY', 'wet_day_frequency_pct', 'EL_NINO')",True,"-4.4 [-10.8, 3.2]","-4.4 [-10.8, 3.2]"
"Table2 QDM ('RAINY', 'wet_day_frequency_pct', 'EL_NINO')",True,"-7.0 [-12.4, -1.7]","-7.0 [-12.4, -1.7]"
"Table2 q ('RAINY', 'wet_day_frequency_pct', 'EL_NINO')",True,0.980,0.980
"Table2 OBSERVED ('RAINY', 'wet_day_frequency_pct', 'LA_NINA')",True,"-2.4 [-9.6, 6.3]","-2.4 [-9.6, 6.3]"
"Table2 RAW ('RAINY', 'wet_day_frequency_pct', 'LA_NINA')",True,"-6.8 [-11.8, 0.3]","-6.8 [-11.8, 0.3]"
"Table2 QDM ('RAINY', 'wet_day_frequency_pct', 'LA_NINA')",True,"-4.7 [-8.2, -0.8]","-4.7 [-8.2, -0.8]"
"Table2 q ('RAINY', 'wet_day_frequency_pct', 'LA_NINA')",True,0.647,0.647
"Table2 OBSERVED ('RAINY', 'Rx1day', 'EL_NINO')",True,"-24.3 [-40.1, 3.0]","-24.3 [-40.1, 3.0]"
"Table2 RAW ('RAINY', 'Rx1day', 'EL_NINO')",True,"-12.7 [-32.3, 2.7]","-12.7 [-32.3, 2.7]"
"Table2 QDM ('RAINY', 'Rx1day', 'EL_NINO')",True,"-5.7 [-35.4, 9.7]","-5.7 [-35.4, 9.7]"
"Table2 q ('RAINY', 'Rx1day', 'EL_NINO')",True,0.433,0.433
"Table2 OBSERVED ('RAINY', 'Rx1day', 'LA_NINA')",True,"0.5 [-26.8, 35.8]","0.5 [-26.8, 35.8]"
"Table2 RAW ('RAINY', 'Rx1day', 'LA_NINA')",True,"-12.9 [-28.2, 4.6]","-12.9 [-28.2, 4.6]"
"Table2 QDM ('RAINY', 'Rx1day', 'LA_NINA')",True,"-28.3 [-41.9, 0.5]","-28.3 [-41.9, 0.5]"
"Table2 q ('RAINY', 'Rx1day', 'LA_NINA')",True,0.980,0.980
"Table2 OBSERVED ('RAINY', 'CDD', 'EL_NINO')",True,"17.9 [-6.7, 41.0]","17.9 [-6.7, 41.0]"
"Table2 RAW ('RAINY', 'CDD', 'EL_NINO')",True,"13.1 [-2.0, 41.0]","13.1 [-2.0, 41.0]"
"Table2 QDM ('RAINY', 'CDD', 'EL_NINO')",True,"11.9 [-4.1, 25.3]","11.9 [-4.1, 25.3]"
"Table2 q ('RAINY', 'CDD', 'EL_NINO')",True,0.433,0.433
"Table2 OBSERVED ('RAINY', 'CDD', 'LA_NINA')",True,"-5.8 [-19.0, 14.3]","-5.8 [-19.0, 14.3]"
"Table2 RAW ('RAINY', 'CDD', 'LA_NINA')",True,"16.2 [4.0, 45.6]","16.2 [4.0, 45.6]"
"Table2 QDM ('RAINY', 'CDD', 'LA_NINA')",True,"3.4 [-5.1, 21.9]","3.4 [-5.1, 21.9]"
"Table2 q ('RAINY', 'CDD', 'LA_NINA')",True,0.711,0.711
"Table2 OBSERVED ('HOT_DRY', 'PRCPTOT', 'EL_NINO')",True,"-28.7 [-55.5, 6.1]","-28.7 [-55.5, 6.1]"
"Table2 RAW ('HOT_DRY', 'PRCPTOT', 'EL_NINO')",True,"-10.4 [-27.8, 7.2]","-10.4 [-27.8, 7.2]"
"Table2 QDM ('HOT_DRY', 'PRCPTOT', 'EL_NINO')",True,"14.4 [-28.6, 42.9]","14.4 [-28.6, 42.9]"
"Table2 q ('HOT_DRY', 'PRCPTOT', 'EL_NINO')",True,0.433,0.433
"Table2 OBSERVED ('HOT_DRY', 'PRCPTOT', 'LA_NINA')",True,"13.3 [-15.6, 58.0]","13.3 [-15.6, 58.0]"
"Table2 RAW ('HOT_DRY', 'PRCPTOT', 'LA_NINA')",True,"-0.4 [-13.9, 29.4]","-0.4 [-13.9, 29.4]"
"Table2 QDM ('HOT_DRY', 'PRCPTOT', 'LA_NINA')",True,"20.3 [-16.6, 68.7]","20.3 [-16.6, 68.7]"
"Table2 q ('HOT_DRY', 'PRCPTOT', 'LA_NINA')",True,0.709,0.709
"Table2 OBSERVED ('HOT_DRY', 'wet_day_frequency_pct', 'EL_NINO')",True,"-10.4 [-34.7, 18.1]","-10.4 [-34.7, 18.1]"
"Table2 RAW ('HOT_DRY', 'wet_day_frequency_pct', 'EL_NINO')",True,"-4.8 [-14.0, 2.5]","-4.8 [-14.0, 2.5]"
"Table2 QDM ('HOT_DRY', 'wet_day_frequency_pct', 'EL_NINO')",True,"-1.7 [-17.6, 11.7]","-1.7 [-17.6, 11.7]"
"Table2 q ('HOT_DRY', 'wet_day_frequency_pct', 'EL_NINO')",True,0.711,0.711
"Table2 OBSERVED ('HOT_DRY', 'wet_day_frequency_pct', 'LA_NINA')",True,"33.0 [0.0, 53.1]","33.0 [0.0, 53.1]"
"Table2 RAW ('HOT_DRY', 'wet_day_frequency_pct', 'LA_NINA')",True,"4.7 [-6.3, 12.6]","4.7 [-6.3, 12.6]"
"Table2 QDM ('HOT_DRY', 'wet_day_frequency_pct', 'LA_NINA')",True,"11.5 [-2.2, 32.3]","11.5 [-2.2, 32.3]"
"Table2 q ('HOT_DRY', 'wet_day_frequency_pct', 'LA_NINA')",True,0.433,0.433
"Table2 OBSERVED ('HOT_DRY', 'Rx1day', 'EL_NINO')",True,"-27.2 [-48.2, 4.2]","-27.2 [-48.2, 4.2]"
