source_type,season_type,metric,phase,model,response_absolute,response_pct,n_grid_signatures,n_phase,n_neutral
RAW,RAINY,PRCPTOT,EL_NINO,ACCESS-ESM1-5,81.10659615384617,23.80632186967253,2,4,13
RAW,RAINY,PRCPTOT,EL_NINO,CESM2,-100.5944772727272,-14.651919841547713,3,11,4
RAW,RAINY,PRCPTOT,EL_NINO,CanESM5,-238.77449999999988,-20.123793086098313,1,5,10
RAW,RAINY,PRCPTOT,EL_NINO,EC-Earth3,20.342313333333323,8.172721615926944,5,6,10
RAW,RAINY,PRCPTOT,EL_NINO,FGOALS-g3,-14.682187500000012,-6.838773981559289,2,6,4
RAW,RAINY,PRCPTOT,EL_NINO,MIROC6,-216.0564583333333,-24.564889811217718,2,12,4
RAW,RAINY,PRCPTOT,EL_NINO,MRI-ESM2-0,-73.27161904761908,-12.227499397447376,3,7,3
RAW,RAINY,PRCPTOT,LA_NINA,CESM2,-64.91054999999994,-9.454437273850452,3,5,4
RAW,RAINY,PRCPTOT,LA_NINA,CanESM5,-245.3611571428571,-20.67891319093334,1,7,10
RAW,RAINY,PRCPTOT,LA_NINA,EC-Earth3,-0.7591549999999643,-0.23740543756348925,5,4,10
RAW,RAINY,PRCPTOT,LA_NINA,FGOALS-g3,-33.463804166666684,-18.994703112896403,2,6,4
RAW,RAINY,PRCPTOT,LA_NINA,MIROC6,29.756250000000136,3.702266726591989,2,12,4
RAW,RAINY,PRCPTOT,LA_NINA,MRI-ESM2-0,-63.27816666666661,-10.559801391660153,3,12,3
RAW,RAINY,wet_day_frequency_pct,EL_NINO,ACCESS-ESM1-5,0.07316053511705967,1.8039765640237135,2,4,13
RAW,RAINY,wet_day_frequency_pct,EL_NINO,CESM2,-2.717391304347835,-4.385964912280716,3,11,4
RAW,RAINY,wet_day_frequency_pct,EL_NINO,CanESM5,-5.108695652173907,-7.2642967542503785,1,5,10
RAW,RAINY,wet_day_frequency_pct,EL_NINO,EC-Earth3,1.4855072463768124,5.455755156353962,5,6,10
RAW,RAINY,wet_day_frequency_pct,EL_NINO,FGOALS-g3,0.22644927536232018,2.32588123049948,2,6,4
RAW,RAINY,wet_day_frequency_pct,EL_NINO,MIROC6,-5.004528985507246,-8.187824483919927,2,12,4
RAW,RAINY,wet_day_frequency_pct,EL_NINO,MRI-ESM2-0,-3.5714285714285765,-5.569007263922526,3,7,3
RAW,RAINY,wet_day_frequency_pct,LA_NINA,CESM2,2.2554347826086882,3.4800838574423363,3,5,4
RAW,RAINY,wet_day_frequency_pct,LA_NINA,CanESM5,-5.574534161490675,-7.926694634577158,1,7,10
RAW,RAINY,wet_day_frequency_pct,LA_NINA,EC-Earth3,-3.451086956521742,-12.07153502235469,5,4,10
RAW,RAINY,wet_day_frequency_pct,LA_NINA,FGOALS-g3,-3.0344202898550714,-19.566282457904638,2,6,4
RAW,RAINY,wet_day_frequency_pct,LA_NINA,MIROC6,-1.9248188405797038,-3.161621491339486,2,12,4
RAW,RAINY,wet_day_frequency_pct,LA_NINA,MRI-ESM2-0,-3.2608695652173836,-5.624999999999986,3,12,3
RAW,RAINY,Rx1day,EL_NINO,ACCESS-ESM1-5,-4.944576923076921,-9.137384282860813,2,4,13
RAW,RAINY,Rx1day,EL_NINO,CESM2,-15.86052272727273,-28.62690628836728,3,11,4
RAW,RAINY,Rx1day,EL_NINO,CanESM5,-17.7258,-28.33915278950196,1,5,10
RAW,RAINY,Rx1day,EL_NINO,EC-Earth3,4.021366666666669,15.657872506913511,5,6,10
RAW,RAINY,Rx1day,EL_NINO,FGOALS-g3,-1.431508333333337,-1.5972706315163023,2,6,4
RAW,RAINY,Rx1day,EL_NINO,MIROC6,-17.152333333333335,-25.312361136271228,2,12,4
RAW,RAINY,Rx1day,EL_NINO,MRI-ESM2-0,-4.237619047619049,-12.744207894277068,3,7,3
RAW,RAINY,Rx1day,LA_NINA,CESM2,-12.668249999999993,-24.215214492905975,3,5,4
RAW,RAINY,Rx1day,LA_NINA,CanESM5,-35.580799999999996,-56.884864297956156,1,7,10
RAW,RAINY,Rx1day,LA_NINA,EC-Earth3,-1.0794500000000014,-4.71721612361908,5,4,10
RAW,RAINY,Rx1day,LA_NINA,FGOALS-g3,-8.628133333333333,-20.9224346957534,2,6,4
RAW,RAINY,Rx1day,LA_NINA,MIROC6,-3.3329999999999913,-4.898356739444482,2,12,4
RAW,RAINY,Rx1day,LA_NINA,MRI-ESM2-0,1.7349166666666633,5.217585259738947,3,12,3
RAW,RAINY,CDD,EL_NINO,ACCESS-ESM1-5,3.346153846153846,20.673822595337157,2,4,13
RAW,RAINY,CDD,EL_NINO,CESM2,2.8181818181818183,40.25974025974026,3,11,4
RAW,RAINY,CDD,EL_NINO,CanESM5,3.3000000000000007,44.00000000000001,1,5,10
RAW,RAINY,CDD,EL_NINO,EC-Earth3,3.933333333333337,10.1113967437875,5,6,10
