station,year,month,monthly_total_mm,neighbour_median_mm,neighbour_fraction_wet,own_climatology_median_mm,max_zero_run_days,annual_total_mm,I1_exact_zero,I2_region_wet,I3_neighbours_wet,I4_month_normally_wet,I5_long_zero_run,I6_annual_deficit,n_indicators,classification
351001,1981,1,0.0,0.9,0.0,0.7000000000000001,63,1128.2,True,False,False,False,True,False,1,confirmed_zero
351002,1981,1,0.0,0.9,0.0,0.0,118,446.5,True,False,False,False,True,True,2,confirmed_zero
351003,1981,1,0.0,0.9,0.0,1.7,83,1298.5,True,False,False,False,True,False,1,confirmed_zero
351004,1981,1,0.0,0.9,0.0,0.0,81,1301.3,True,False,False,False,True,False,1,confirmed_zero
351005,1981,1,0.0,0.9,0.0,1.2,81,1240.8,True,False,False,False,True,False,1,confirmed_zero
351006,1981,1,1.0,0.4,0.0,6.35,10,1281.5,False,False,False,False,False,False,0,not_zero
351007,1981,1,1.1,0.4,0.0,7.35,10,1281.8,False,False,False,False,False,False,0,not_zero
351008,1981,1,1.0,0.4,0.0,7.8,10,1243.7,False,False,False,False,False,False,0,not_zero
351009,1981,1,2.1,0.4,0.0,9.7,7,1317.1,False,False,False,False,False,False,0,not_zero
351010,1981,1,1.5,0.4,0.0,8.05,7,1159.2,False,False,False,False,False,False,0,not_zero
351011,1981,1,0.8,0.5,0.0,5.2,30,1197.2,False,False,False,False,False,False,0,not_zero
351012,1981,1,1.2,0.4,0.0,2.1,22,1045.4,False,False,False,False,False,False,0,not_zero
351201,1981,1,0.0,0.9,0.0,3.3,31,1530.2,True,False,False,False,False,False,0,confirmed_zero
351001,1981,2,0.0,14.65,0.6666666666666666,0.6,63,1128.2,True,False,False,False,True,False,1,confirmed_zero
351002,1981,2,0.0,14.65,0.6666666666666666,0.05,118,446.5,True,False,False,False,True,True,2,confirmed_zero
351003,1981,2,0.0,14.65,0.6666666666666666,2.3499999999999996,83,1298.5,True,False,False,False,True,False,1,confirmed_zero
351004,1981,2,0.0,14.65,0.6666666666666666,1.1,81,1301.3,True,False,False,False,True,False,1,confirmed_zero
351005,1981,2,0.0,14.65,0.6666666666666666,2.1,81,1240.8,True,False,False,False,True,False,1,confirmed_zero
351006,1981,2,15.9,9.65,0.5833333333333334,8.4,6,1281.5,False,False,False,False,False,False,0,not_zero
351007,1981,2,17.6,9.65,0.5833333333333334,10.75,6,1281.8,False,False,False,False,False,False,0,not_zero
351008,1981,2,49.8,9.65,0.5833333333333334,13.3,11,1243.7,False,False,False,False,False,False,0,not_zero
351009,1981,2,16.3,9.65,0.5833333333333334,9.8,5,1317.1,False,False,False,False,False,False,0,not_zero
351010,1981,2,13.4,10.9,0.5833333333333334,10.05,6,1159.2,False,False,False,False,False,False,0,not_zero
351011,1981,2,91.19999999999999,9.65,0.5833333333333334,19.75,25,1197.2,False,False,False,False,False,False,0,not_zero
351012,1981,2,5.8999999999999995,14.65,0.5833333333333334,1.5,20,1045.4,False,False,False,False,False,False,0,not_zero
351201,1981,2,21.8,9.65,0.5833333333333334,2.3,16,1530.2,False,False,False,False,False,False,0,not_zero
351001,1981,3,1.3,18.05,0.6666666666666666,12.4,63,1128.2,False,False,False,False,True,False,1,not_zero
351002,1981,3,0.0,18.05,0.6666666666666666,6.4,118,446.5,True,False,False,False,True,True,2,uncertain
351003,1981,3,4.8,18.05,0.6666666666666666,28.25,83,1298.5,False,False,False,True,True,False,2,not_zero
351004,1981,3,2.2,18.05,0.6666666666666666,16.45,81,1301.3,False,False,False,False,True,False,1,not_zero
351005,1981,3,14.0,18.05,0.5833333333333334,13.25,81,1240.8,False,False,False,False,True,False,1,not_zero
351006,1981,3,19.1,15.5,0.5833333333333334,25.85,6,1281.5,False,False,False,True,False,False,1,not_zero
351007,1981,3,19.5,15.5,0.5833333333333334,28.0,6,1281.8,False,False,False,True,False,False,1,not_zero
351008,1981,3,19.9,15.5,0.5833333333333334,36.75,8,1243.7,False,False,False,True,False,False,1,not_zero
351009,1981,3,19.9,15.5,0.5833333333333334,28.75,6,1317.1,False,False,False,True,False,False,1,not_zero
351010,1981,3,17.0,16.55,0.5833333333333334,29.35,6,1159.2,False,False,False,True,False,False,1,not_zero
351011,1981,3,22.1,15.5,0.5833333333333334,36.7,25,1197.2,False,False,False,True,False,False,1,not_zero
351012,1981,3,22.700000000000003,15.5,0.5833333333333334,18.9,36,1045.4,False,False,False,False,False,False,0,not_zero
351201,1981,3,1.7,18.05,0.6666666666666666,27.35,25,1530.2,False,False,False,True,False,False,1,not_zero
351001,1981,4,33.5,65.05,1.0,25.549999999999997,9,1128.2,False,True,True,True,False,False,3,not_zero
351002,1981,4,21.5,65.05,1.0,42.300000000000004,118,446.5,False,True,True,True,True,True,5,not_zero
351003,1981,4,86.0,64.0,1.0,91.85,12,1298.5,False,True,True,True,False,False,3,not_zero
351004,1981,4,99.9,64.0,1.0,75.65,9,1301.3,False,True,True,True,False,False,3,not_zero
351005,1981,4,43.5,65.05,1.0,70.25,17,1240.8,False,True,True,True,False,False,3,not_zero
351006,1981,4,64.3,64.75,1.0,63.8,0,1281.5,False,True,True,True,False,False,3,not_zero
351007,1981,4,65.8,64.0,1.0,63.35,0,1281.8,False,True,True,True,False,False,3,not_zero
351008,1981,4,62.5,65.05,1.0,55.05,0,1243.7,False,True,True,True,False,False,3,not_zero
351009,1981,4,89.9,64.0,1.0,54.0,0,1317.1,False,True,True,True,False,False,3,not_zero
351010,1981,4,72.4,64.0,1.0,61.5,0,1159.2,False,True,True,True,False,False,3,not_zero
351011,1981,4,42.3,65.05,1.0,42.15,7,1197.2,False,True,True,True,False,False,3,not_zero
351012,1981,4,63.7,65.05,1.0,35.0,36,1045.4,False,True,True,True,False,False,3,not_zero
351201,1981,4,160.60000000000002,64.0,1.0,39.3,10,1530.2,False,True,True,True,False,False,3,not_zero
351001,1981,5,77.1,183.05,1.0,97.69999999999999,5,1128.2,False,True,True,True,False,False,3,not_zero
351002,1981,5,45.3,183.05,1.0,124.69999999999999,32,446.5,False,True,True,True,False,True,4,not_zero
351003,1981,5,191.0,179.8,1.0,170.14999999999998,10,1298.5,False,True,True,True,False,False,3,not_zero
351004,1981,5,336.3,179.8,1.0,145.6,4,1301.3,False,True,True,True,False,False,3,not_zero
351005,1981,5,273.0,179.8,1.0,173.60000000000002,8,1240.8,False,True,True,True,False,False,3,not_zero
351006,1981,5,214.6,179.8,1.0,160.95,0,1281.5,False,True,True,True,False,False,3,not_zero
351007,1981,5,209.0,179.8,1.0,166.0,0,1281.8,False,True,True,True,False,False,3,not_zero
351008,1981,5,166.6,183.05,1.0,130.95,0,1243.7,False,True,True,True,False,False,3,not_zero
351009,1981,5,184.2,179.8,1.0,156.35,0,1317.1,False,True,True,True,False,False,3,not_zero
