model,member_id,grid_label,station,grid_signature
ACCESS-ESM1-5,r1i1p1f1,gn,351001,grid_91a222defd5ca790
ACCESS-ESM1-5,r1i1p1f1,gn,351002,grid_91a222defd5ca790
ACCESS-ESM1-5,r1i1p1f1,gn,351003,grid_4c2bd7de50b3b1f5
ACCESS-ESM1-5,r1i1p1f1,gn,351004,grid_4c2bd7de50b3b1f5
ACCESS-ESM1-5,r1i1p1f1,gn,351005,grid_91a222defd5ca790
ACCESS-ESM1-5,r1i1p1f1,gn,351006,grid_4c2bd7de50b3b1f5
ACCESS-ESM1-5,r1i1p1f1,gn,351007,grid_4c2bd7de50b3b1f5
ACCESS-ESM1-5,r1i1p1f1,gn,351008,grid_4c2bd7de50b3b1f5
ACCESS-ESM1-5,r1i1p1f1,gn,351009,grid_91a222defd5ca790
ACCESS-ESM1-5,r1i1p1f1,gn,351010,grid_4c2bd7de50b3b1f5
ACCESS-ESM1-5,r1i1p1f1,gn,351011,grid_91a222defd5ca790
ACCESS-ESM1-5,r1i1p1f1,gn,351012,grid_4c2bd7de50b3b1f5
ACCESS-ESM1-5,r1i1p1f1,gn,351201,grid_91a222defd5ca790
CESM2,r11i1p1f1,gn,351001,grid_a881af875d124648
CESM2,r11i1p1f1,gn,351002,grid_a881af875d124648
CESM2,r11i1p1f1,gn,351003,grid_07764f63e0a851cb
CESM2,r11i1p1f1,gn,351004,grid_a881af875d124648
CESM2,r11i1p1f1,gn,351005,grid_a881af875d124648
CESM2,r11i1p1f1,gn,351006,grid_75b745206e31761f
CESM2,r11i1p1f1,gn,351007,grid_75b745206e31761f
CESM2,r11i1p1f1,gn,351008,grid_a881af875d124648
CESM2,r11i1p1f1,gn,351009,grid_a881af875d124648
CESM2,r11i1p1f1,gn,351010,grid_07764f63e0a851cb
CESM2,r11i1p1f1,gn,351011,grid_a881af875d124648
CESM2,r11i1p1f1,gn,351012,grid_07764f63e0a851cb
CESM2,r11i1p1f1,gn,351201,grid_a881af875d124648
CanESM5,r1i1p1f1,gn,351001,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351002,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351003,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351004,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351005,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351006,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351007,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351008,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351009,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351010,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351011,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351012,grid_a0c557522bffc319
CanESM5,r1i1p1f1,gn,351201,grid_a0c557522bffc319
EC-Earth3,r1i1p1f1,gr,351001,grid_e28e705640008453
EC-Earth3,r1i1p1f1,gr,351002,grid_e28e705640008453
EC-Earth3,r1i1p1f1,gr,351003,grid_9da29437bf4e821a
EC-Earth3,r1i1p1f1,gr,351004,grid_9da29437bf4e821a
EC-Earth3,r1i1p1f1,gr,351005,grid_a66ff45ee66c4de6
EC-Earth3,r1i1p1f1,gr,351006,grid_9da29437bf4e821a
EC-Earth3,r1i1p1f1,gr,351007,grid_dc4d6a079af8a48b
EC-Earth3,r1i1p1f1,gr,351008,grid_9303f05137547d56
