Season,Metric,Phase vs Neutral,Observed response % [95% CI],QDM ensemble response % [95% CI],Raw ensemble response % [95% CI],Observed BH q,QDM BH q,Raw BH q
HOT_DRY,CDD,EL_NINO,"-9.6 [-27.9, 15.5]","13.3 [-2.8, 29.3]","4.8 [-11.2, 25.3]",0.711,0.433,0.711
HOT_DRY,CDD,LA_NINA,"-18.5 [-36.9, 9.2]","0.6 [-14.8, 17.9]","-3.9 [-17.4, 6.2]",0.433,0.980,0.777
HOT_DRY,PRCPTOT,EL_NINO,"-28.7 [-55.5, 6.1]","14.4 [-28.6, 42.9]","-10.4 [-27.8, 7.2]",0.433,0.543,0.471
HOT_DRY,PRCPTOT,LA_NINA,"13.3 [-15.6, 58.0]","20.3 [-16.6, 68.7]","-0.4 [-13.9, 29.4]",0.709,0.437,0.980
HOT_DRY,Rx1day,EL_NINO,"-27.2 [-48.2, 4.2]","-2.1 [-28.5, 62.6]","-17.1 [-27.6, 18.3]",0.433,0.980,0.433
HOT_DRY,Rx1day,LA_NINA,"-12.6 [-29.1, 29.3]","23.0 [-24.3, 80.7]","6.2 [-21.6, 35.0]",0.681,0.433,0.749
HOT_DRY,wet_day_frequency_pct,EL_NINO,"-10.4 [-34.7, 18.1]","-1.7 [-17.6, 11.7]","-4.8 [-14.0, 2.5]",0.711,0.916,0.471
HOT_DRY,wet_day_frequency_pct,LA_NINA,"33.0 [0.0, 53.1]","11.5 [-2.2, 32.3]","4.7 [-6.3, 12.6]",0.433,0.433,0.471
RAINY,CDD,EL_NINO,"17.9 [-6.7, 41.0]","11.9 [-4.1, 25.3]","13.1 [-2.0, 41.0]",0.433,0.433,0.433
RAINY,CDD,LA_NINA,"-5.8 [-19.0, 14.3]","3.4 [-5.1, 21.9]","16.2 [4.0, 45.6]",0.711,0.790,0.433
RAINY,PRCPTOT,EL_NINO,"-7.2 [-18.8, 4.4]","-14.5 [-25.1, -1.4]","-12.2 [-23.8, 1.0]",0.471,0.433,0.433
RAINY,PRCPTOT,LA_NINA,"2.7 [-10.2, 17.3]","-15.0 [-26.3, -1.1]","-10.0 [-20.0, 3.0]",0.790,0.433,0.471
RAINY,Rx1day,EL_NINO,"-24.3 [-40.1, 3.0]","-5.7 [-35.4, 9.7]","-12.7 [-32.3, 2.7]",0.433,0.837,0.471
RAINY,Rx1day,LA_NINA,"0.5 [-26.8, 35.8]","-28.3 [-41.9, 0.5]","-12.9 [-28.2, 4.6]",0.980,0.433,0.471
RAINY,wet_day_frequency_pct,EL_NINO,"-0.1 [-12.3, 2.8]","-7.0 [-12.4, -1.7]","-4.4 [-10.8, 3.2]",0.980,0.433,0.471
RAINY,wet_day_frequency_pct,LA_NINA,"-2.4 [-9.6, 6.3]","-4.7 [-8.2, -0.8]","-6.8 [-11.8, 0.3]",0.647,0.433,0.433
