method,model,station,family,grouping,group,period,usable,note,fallback_used,applied_grouping,applied_group,wet_threshold_obs_mm,wet_threshold_model_mm,n_obs_wet_cal,n_mod_wet_cal,n_input,n_wet_target,n_delta_clipped_low,n_delta_clipped_high,n_output_capped,output_cap_mm,max_output_mm,obs_dist,obs_aic,obs_ks_d,obs_ks_p,obs_n_params,mod_dist,mod_aic,mod_ks_d,mod_ks_p,mod_n_params
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,2.1512224503764545,1625,1625,7305,1625,0,0,0,,130.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,validation,True,,False,annual,all,1.0,2.1512224503764545,1625,1625,5113,1347,0,0,0,,178.70822586042252,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,4.762107460643393,1618,1618,7305,1618,0,0,0,,147.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,validation,True,,False,annual,all,1.0,4.762107460643393,1618,1618,5113,1206,0,0,0,,319.5498824684499,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,1.992,1781,1780,7305,1780,0,0,0,,181.2931741573035,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,validation,True,,False,annual,all,1.0,1.992,1781,1780,5113,1466,0,0,0,,252.46114166116155,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,4.779441615331963,1613,1613,7305,1613,0,0,0,,107.2,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,validation,True,,False,annual,all,1.0,4.779441615331963,1613,1613,5113,1203,0,0,0,,236.14992153369178,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,1.08,4174,4173,7305,4173,0,0,0,,48.299856218547646,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,validation,True,,False,annual,all,1.0,1.08,4174,4173,5113,3018,0,0,0,,104.52298703839197,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,1.055,4240,4237,7305,4237,0,0,0,,46.09904413500089,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,validation,True,,False,annual,all,1.0,1.055,4240,4237,5113,3061,0,0,0,,100.19718032115065,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,0.997,3874,3868,7305,3868,0,0,0,,146.47812823165611,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,validation,True,,False,annual,all,1.0,0.997,3874,3868,5113,2945,0,0,0,,201.39940886451095,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,0.797,4555,4552,7305,4552,0,0,0,,67.99337653779492,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,validation,True,,False,annual,all,1.0,0.797,4555,4552,5113,3415,0,0,0,,91.71590343624186,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,0.854,4333,4329,7305,4329,0,0,0,,48.79796719796848,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,validation,True,,False,annual,all,1.0,0.854,4333,4329,5113,3284,0,0,0,,68.20308831792751,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500201,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,4.272470636550308,1719,1719,7305,1719,0,0,0,,296.9,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500201,nonparametric,annual,all,validation,True,,False,annual,all,1.0,4.272470636550308,1719,1719,5113,1290,0,0,0,,617.5835107666163,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500202,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,2.238,1559,1558,7305,1558,0,0,0,,298.47650834402,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500202,nonparametric,annual,all,validation,True,,False,annual,all,1.0,2.238,1559,1558,5113,1290,0,0,0,,410.8598343730266,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500301,nonparametric,annual,all,calibration,True,,False,annual,all,1.0,1.9412507871321014,1832,1832,7305,1832,0,0,0,,188.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500301,nonparametric,annual,all,validation,True,,False,annual,all,1.0,1.9412507871321014,1832,1832,5113,1508,0,0,0,,264.5442794370816,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=4, model=4",True,annual,all,1.0,4.267006451612904,4,4,620,50,3,0,0,,14.12,,,,,,,,,,
