Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,MK_p_FDR_BH,MK_significant_FDR_BH
1981-2014,Observed,Historical,351001,PRCPTOT,mm,mm year-1,1981,2014,34,-39.0,4550.333333333333,776.895469877409,-0.5633288462840749,0.5732109789122802,No significant trend,False,-1.3633341143628568,0.1727772352115507,No significant trend,False,-0.0695187165775401,-1.80625000000002,-8.86428571428572,5.14,0.1707337491489434,199.14047556197767,33,-0.4146331254255282,-0.2232467610612398,OK,FACTOR_LT_ONE,True,0.8487950565696535,False
1981-2014,Observed,Historical,351002,PRCPTOT,mm,mm year-1,1981,2014,34,77.0,4550.333333333333,2274.8968427909576,1.1266576925681495,0.2598872365092252,No significant trend,False,1.5934290783139975,0.1110639667554249,No significant trend,False,0.1372549019607843,7.224999999999994,-3.166666666666654,16.318181818181827,0.4999407023934418,68.00806543101342,33,-0.2500296488032791,0.2265585367160013,OK,FACTOR_LT_ONE,True,0.6298961834037153,False
1981-2014,Observed,Historical,351003,PRCPTOT,mm,mm year-1,1981,2014,34,133.0,4550.333333333333,191.8488486598638,1.956826518670997,0.0503678681310844,No significant trend,False,9.530031422450016,1.5723562963283734e-21,Increasing,True,0.2370766488413547,8.150000000000015,-0.0555555555555555,15.592307692307696,0.042161493368954,806.4230482176465,33,-0.478919253315523,-0.1426093434490476,OK,FACTOR_LT_ONE,False,0.2323421013788732,False
1981-2014,Observed,Historical,351004,PRCPTOT,mm,mm year-1,1981,2014,34,-97.0,4550.333333333333,1702.9041922837532,-1.4231465590334524,0.1546936737712776,No significant trend,False,-2.326355735243374,0.019999580968056,Decreasing,True,-0.1729055258467023,-5.0,-13.364705882352943,4.0750000000000455,0.3742372409970889,90.85146071890928,33,-0.3128813795014555,0.4550360146341189,OK,FACTOR_LT_ONE,False,0.4808955510715804,False
1981-2014,Observed,Historical,351005,PRCPTOT,mm,mm year-1,1981,2014,34,19.0,4550.333333333333,514.6804158349381,0.2668399798187723,0.7895923705025335,No significant trend,False,0.793420986235625,0.4275325876816844,No significant trend,False,0.0338680926916221,0.6250000000000568,-4.900000000000046,11.135714285714284,0.1131082885872694,300.5968919224438,33,-0.4434458557063653,0.2037672327014716,OK,FACTOR_LT_ONE,True,0.9460017274211586,False
1981-2014,Observed,Historical,351006,PRCPTOT,mm,mm year-1,1981,2014,34,-15.0,4550.333333333333,1096.214303481254,-0.2075422065257118,0.8355864341125854,No significant trend,False,-0.4228441274938314,0.6724089897272721,No significant trend,False,-0.0267379679144385,-1.4777777777777727,-11.371428571428591,6.5499999999999545,0.2409085715657286,141.13237971992857,33,-0.3795457142171357,0.3671459157065562,OK,FACTOR_LT_ONE,True,0.9483242863341247,False
1981-2014,Observed,Historical,351007,PRCPTOT,mm,mm year-1,1981,2014,34,51.0,4550.333333333333,421.24546048957774,0.7412221661632564,0.4585587455246843,No significant trend,False,2.4361408119807466,0.0148449044634619,Increasing,True,0.0909090909090909,1.3789473684210432,-4.683333333333356,7.642857142857175,0.0925746378630674,367.27121795811286,33,-0.4537126810684663,0.1625528116230916,OK,FACTOR_LT_ONE,False,0.8300493748105044,False
1981-2014,Observed,Historical,351008,PRCPTOT,mm,mm year-1,1981,2014,34,-55.0,4550.333333333333,874.7021359851977,-0.8005199394563169,0.4234096156862765,No significant trend,False,-1.8258439899354308,0.0678737649721857,No significant trend,False,-0.0980392156862745,-2.2043478260869587,-9.45999999999999,4.1090909090908925,0.1922281450410661,176.87316283854534,33,-0.4038859274794669,0.1516887490573961,OK,FACTOR_LT_ONE,True,0.8073010005751672,False
1981-2014,Observed,Historical,351009,PRCPTOT,mm,mm year-1,1981,2014,34,-49.0,4550.333333333333,755.0466253918734,-0.7115732795167262,0.4767290582884461,No significant trend,False,-1.746844922796618,0.080664241779332,No significant trend,False,-0.0873440285204991,-1.2375000000000114,-6.261111111111114,3.441666666666663,0.165932157070956,204.90301940365245,33,-0.417033921464522,0.0291494372617307,OK,FACTOR_LT_ONE,True,0.8416327819166393,False
1981-2014,Observed,Historical,351010,PRCPTOT,mm,mm year-1,1981,2014,34,9.0,4550.333333333333,1022.3241673318538,0.118595546586121,0.9055957937612324,No significant trend,False,0.250204820852307,0.8024289573040385,No significant trend,False,0.0160427807486631,0.2400000000000545,-4.212500000000006,4.790909090909096,0.2246701708296506,151.3329512077483,33,-0.3876649145851746,0.1654181882470145,OK,FACTOR_LT_ONE,True,0.959260729687824,False
