n_years,ar1_rho,scenario,replicates,standard_mk_rejection_rate,full_lag_yue_wang_rejection_rate,full_lag_valid_replicates
30,0.0,null,1000,0.05,0.441,1000
30,0.0,positive_trend,1000,0.999,1.0,1000
30,0.0,negative_trend,1000,1.0,1.0,1000
30,0.1,null,1000,0.075,0.466,1000
30,0.1,positive_trend,1000,0.999,1.0,1000
30,0.1,negative_trend,1000,1.0,1.0,1000
30,0.2,null,1000,0.101,0.49,1000
30,0.2,positive_trend,1000,0.997,1.0,1000
30,0.2,negative_trend,1000,0.997,1.0,1000
30,0.3,null,1000,0.139,0.498,1000
30,0.3,positive_trend,1000,0.991,1.0,1000
30,0.3,negative_trend,1000,0.996,1.0,1000
30,0.5,null,1000,0.239,0.52,1000
30,0.5,positive_trend,1000,0.957,0.986,1000
30,0.5,negative_trend,1000,0.957,0.988,1000
34,0.0,null,1000,0.043,0.461,1000
34,0.0,positive_trend,1000,1.0,1.0,1000
34,0.0,negative_trend,1000,1.0,1.0,1000
34,0.1,null,1000,0.048,0.438,1000
34,0.1,positive_trend,1000,1.0,1.0,1000
34,0.1,negative_trend,1000,1.0,1.0,1000
34,0.2,null,1000,0.094,0.489,1000
34,0.2,positive_trend,1000,1.0,1.0,1000
34,0.2,negative_trend,1000,1.0,1.0,1000
34,0.3,null,1000,0.13,0.481,1000
34,0.3,positive_trend,1000,0.998,1.0,1000
34,0.3,negative_trend,1000,0.999,1.0,1000
34,0.5,null,1000,0.203,0.497,1000
34,0.5,positive_trend,1000,0.99,0.996,1000
34,0.5,negative_trend,1000,0.996,0.998,1000
