Dataset,Model,Scenario,Station,Year,n_expected_days,n_observed_records,n_valid,completeness_pct,missing_days,status
Historical,ACCESS-ESM1-5,Historical,351001,1981,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1982,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1983,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1984,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1985,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1986,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1987,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1988,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1989,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1990,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1991,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1992,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1993,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1994,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1995,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1996,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1997,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1998,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,1999,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2000,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2001,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2002,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2003,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2004,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2005,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2006,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2007,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2008,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2009,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2010,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2011,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2012,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2013,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351001,2014,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1981,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1982,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1983,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1984,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1985,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1986,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1987,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1988,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1989,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1990,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1991,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1992,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,1993,365,365,365,100.0,0,OK
