Model,Scenario,Station,Index,Baseline_Period,Future_Period,Baseline_mean,Future_mean,Absolute_change,Relative_change_pct,Unit
ACCESS-ESM1-5,SSP2-4.5,351001,PRCPTOT,1995-2014,2021-2050,1086.7469999999998,1086.4763333333333,-0.2706666666665569,-0.024906134239759296,mm
ACCESS-ESM1-5,SSP2-4.5,351001,SDII,1995-2014,2021-2050,14.136938067066959,14.344255252339254,0.20731718527229503,1.466492845117966,mm day-1
ACCESS-ESM1-5,SSP2-4.5,351001,Rx1day,1995-2014,2021-2050,78.9725,91.47033333333334,12.497833333333347,15.82555108845908,mm
ACCESS-ESM1-5,SSP2-4.5,351001,Rx5day,1995-2014,2021-2050,212.067,222.63966666666667,10.572666666666663,4.985531302214236,mm
ACCESS-ESM1-5,SSP2-4.5,351001,CDD,1995-2014,2021-2050,63.45,62.96666666666667,-0.4833333333333343,-0.7617546624638838,days
ACCESS-ESM1-5,SSP2-4.5,351001,CWD,1995-2014,2021-2050,8.35,8.833333333333334,0.4833333333333343,5.7884231536926265,days
ACCESS-ESM1-5,SSP2-4.5,351001,R10mm,1995-2014,2021-2050,34.8,33.56666666666667,-1.2333333333333272,-3.5440613026819747,days
ACCESS-ESM1-5,SSP2-4.5,351001,R20mm,1995-2014,2021-2050,17.65,16.466666666666665,-1.1833333333333336,-6.704438149197358,days
ACCESS-ESM1-5,SSP2-4.5,351001,R50mm,1995-2014,2021-2050,3.0,3.433333333333333,0.4333333333333331,14.444444444444438,days
ACCESS-ESM1-5,SSP2-4.5,351001,R95p,1995-2014,2021-2050,288.5935,323.233,34.6395,12.00286908748811,mm
ACCESS-ESM1-5,SSP2-4.5,351001,R99p,1995-2014,2021-2050,92.115,135.598,43.48300000000002,47.20512402974545,mm
ACCESS-ESM1-5,SSP2-4.5,351002,PRCPTOT,1995-2014,2021-2050,819.5,802.5306666666667,-16.96933333333334,-2.0706935123042514,mm
ACCESS-ESM1-5,SSP2-4.5,351002,SDII,1995-2014,2021-2050,10.994812242831845,11.06559430504102,0.07078206220917593,0.6437769071984186,mm day-1
ACCESS-ESM1-5,SSP2-4.5,351002,Rx1day,1995-2014,2021-2050,53.408,61.243,7.835000000000001,14.670086878370283,mm
ACCESS-ESM1-5,SSP2-4.5,351002,Rx5day,1995-2014,2021-2050,147.716,153.70566666666667,5.989666666666665,4.0548530062191395,mm
ACCESS-ESM1-5,SSP2-4.5,351002,CDD,1995-2014,2021-2050,76.75,68.26666666666667,-8.483333333333334,-11.053203040173726,days
ACCESS-ESM1-5,SSP2-4.5,351002,CWD,1995-2014,2021-2050,8.25,8.733333333333333,0.4833333333333325,5.858585858585848,days
ACCESS-ESM1-5,SSP2-4.5,351002,R10mm,1995-2014,2021-2050,28.45,26.466666666666665,-1.9833333333333343,-6.971294669009962,days
ACCESS-ESM1-5,SSP2-4.5,351002,R20mm,1995-2014,2021-2050,12.45,11.033333333333333,-1.416666666666666,-11.378848728246314,days
ACCESS-ESM1-5,SSP2-4.5,351002,R50mm,1995-2014,2021-2050,1.1,1.4,0.2999999999999998,27.272727272727256,days
ACCESS-ESM1-5,SSP2-4.5,351002,R95p,1995-2014,2021-2050,116.30199999999999,149.8563333333333,33.55433333333332,28.85103724212251,mm
ACCESS-ESM1-5,SSP2-4.5,351002,R99p,1995-2014,2021-2050,27.75,37.413333333333334,9.663333333333334,34.82282282282282,mm
ACCESS-ESM1-5,SSP2-4.5,351003,PRCPTOT,1995-2014,2021-2050,1012.3855,969.0113333333334,-43.37416666666661,-4.284352814877989,mm
ACCESS-ESM1-5,SSP2-4.5,351003,SDII,1995-2014,2021-2050,14.082413282811308,13.859165212247921,-0.22324807056338614,-1.5852969663649763,mm day-1
ACCESS-ESM1-5,SSP2-4.5,351003,Rx1day,1995-2014,2021-2050,72.2655,92.52466666666666,20.25916666666666,28.034354798163243,mm
ACCESS-ESM1-5,SSP2-4.5,351003,Rx5day,1995-2014,2021-2050,195.494,202.03633333333335,6.542333333333346,3.3465647709563187,mm
ACCESS-ESM1-5,SSP2-4.5,351003,CDD,1995-2014,2021-2050,70.8,66.46666666666667,-4.333333333333329,-6.120527306967978,days
ACCESS-ESM1-5,SSP2-4.5,351003,CWD,1995-2014,2021-2050,8.2,8.433333333333334,0.23333333333333428,2.8455284552845646,days
ACCESS-ESM1-5,SSP2-4.5,351003,R10mm,1995-2014,2021-2050,32.75,29.466666666666665,-3.283333333333335,-10.02544529262087,days
ACCESS-ESM1-5,SSP2-4.5,351003,R20mm,1995-2014,2021-2050,16.75,14.433333333333334,-2.3166666666666664,-13.830845771144276,days
ACCESS-ESM1-5,SSP2-4.5,351003,R50mm,1995-2014,2021-2050,2.8,2.966666666666667,0.16666666666666696,5.952380952380963,days
ACCESS-ESM1-5,SSP2-4.5,351003,R95p,1995-2014,2021-2050,285.744,319.41633333333334,33.67233333333331,11.784091121190055,mm
ACCESS-ESM1-5,SSP2-4.5,351003,R99p,1995-2014,2021-2050,89.1015,137.863,48.7615,54.72579025044471,mm
ACCESS-ESM1-5,SSP2-4.5,351004,PRCPTOT,1995-2014,2021-2050,1023.8534999999999,968.287,-55.566499999999905,-5.427192464546921,mm
ACCESS-ESM1-5,SSP2-4.5,351004,SDII,1995-2014,2021-2050,18.44014118869063,18.225314874661134,-0.21482631402949792,-1.1649927830338482,mm day-1
ACCESS-ESM1-5,SSP2-4.5,351004,Rx1day,1995-2014,2021-2050,82.1315,102.37566666666666,20.244166666666658,24.64848038409947,mm
ACCESS-ESM1-5,SSP2-4.5,351004,Rx5day,1995-2014,2021-2050,214.007,222.58100000000002,8.574000000000012,4.0064110052474975,mm
ACCESS-ESM1-5,SSP2-4.5,351004,CDD,1995-2014,2021-2050,83.15,82.7,-0.45000000000000284,-0.541190619362601,days
ACCESS-ESM1-5,SSP2-4.5,351004,CWD,1995-2014,2021-2050,7.65,7.066666666666666,-0.5833333333333339,-7.625272331154691,days
ACCESS-ESM1-5,SSP2-4.5,351004,R10mm,1995-2014,2021-2050,33.0,29.166666666666668,-3.833333333333332,-11.616161616161612,days
ACCESS-ESM1-5,SSP2-4.5,351004,R20mm,1995-2014,2021-2050,19.2,15.566666666666666,-3.633333333333333,-18.923611111111107,days
ACCESS-ESM1-5,SSP2-4.5,351004,R50mm,1995-2014,2021-2050,3.3,3.7,0.40000000000000036,12.121212121212132,days
ACCESS-ESM1-5,SSP2-4.5,351004,R95p,1995-2014,2021-2050,313.062,362.8693333333333,49.807333333333304,15.909734599962084,mm
