Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,CDD,55.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,CWD,9.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,PRCPTOT,1149.72,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,R10mm,35.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,R20mm,19.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,R50mm,3.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,R95p,325.33000000000004,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,R99p,111.53,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,Rx1day,111.53,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,Rx5day,207.32,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2021,OK,SDII,15.329600000000001,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,CDD,91.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,CWD,7.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,PRCPTOT,1382.1999999999998,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,R10mm,51.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,R20mm,20.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,R50mm,2.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,R95p,243.62,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,Rx1day,50.95,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,Rx5day,153.36,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2022,OK,SDII,14.704255319148935,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,CDD,139.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,CWD,5.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,PRCPTOT,358.71000000000004,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,R10mm,13.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,R20mm,4.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,Rx1day,36.85,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,Rx5day,66.87,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2023,OK,SDII,8.342093023255815,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,CDD,53.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,CWD,11.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,PRCPTOT,1784.23,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,R10mm,49.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,R20mm,24.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,R50mm,8.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,R95p,777.59,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,R99p,457.45000000000005,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,Rx1day,139.27,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,Rx5day,377.42,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2024,OK,SDII,18.394123711340207,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,CDD,35.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,CWD,6.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,PRCPTOT,1104.13,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,R10mm,35.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,R20mm,12.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,R50mm,6.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,R95p,436.96,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,R99p,270.84,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,Rx1day,94.46,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,Rx5day,179.8,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2025,OK,SDII,15.551126760563381,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,CDD,49.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,CWD,8.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,PRCPTOT,791.64,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,R10mm,32.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,R20mm,14.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,Rx1day,38.77,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,Rx5day,102.10000000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2026,OK,SDII,11.47304347826087,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,CDD,63.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,CWD,9.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,PRCPTOT,1160.52,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,R10mm,36.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,R20mm,19.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,R50mm,3.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,R95p,341.14000000000004,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,R99p,196.97,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,Rx1day,118.14,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,Rx5day,175.67000000000002,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2027,OK,SDII,14.327407407407406,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,2028,OK,CDD,103.0,days
