Period,Index,Increasing_MMK,Decreasing_MMK,No_significant_trend_MMK,Median_Sen_slope,Model,Scenario,Median_future_minus_baseline,IQR_low,IQR_high
1981-2014,CDD,3.0,6.0,4.0,-0.06666666666666667,,,,,
1981-2014,CWD,2.0,2.0,9.0,0.0,,,,,
1981-2014,PRCPTOT,2.0,2.0,9.0,-0.6750000000000019,,,,,
1981-2014,R10mm,2.0,3.0,8.0,0.0,,,,,
1981-2014,R20mm,3.0,5.0,5.0,0.0,,,,,
1981-2014,R50mm,6.0,2.0,5.0,0.0,,,,,
1981-2014,R95p,2.0,3.0,8.0,-0.02777777777777699,,,,,
1981-2014,R99p,3.0,1.0,9.0,0.0,,,,,
1981-2014,Rx1day,4.0,1.0,8.0,0.04444444444444442,,,,,
1981-2014,Rx5day,4.0,3.0,6.0,0.04736842105263113,,,,,
1981-2014,SDII,1.0,6.0,6.0,-0.008853139595225754,,,,,
2021-2050,CDD,0.0,9.0,4.0,-0.4,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,CWD,0.0,4.0,9.0,-0.05555555555555555,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,PRCPTOT,0.0,7.0,6.0,-7.5049999999999955,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R10mm,0.0,7.0,6.0,-0.16666666666666666,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R20mm,0.0,7.0,6.0,-0.13636363636363635,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R50mm,0.0,4.0,9.0,0.0,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R95p,0.0,6.0,7.0,-4.855652173913046,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R99p,0.0,5.0,8.0,0.0,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,Rx1day,0.0,7.0,6.0,-0.5742857142857145,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,Rx5day,0.0,5.0,8.0,-1.1287500000000001,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,SDII,0.0,4.0,9.0,-0.04049802695638833,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,CDD,5.0,0.0,8.0,0.18181818181818182,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,CWD,0.0,0.0,13.0,0.0,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,PRCPTOT,0.0,1.0,12.0,-1.2412500000000222,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,R10mm,0.0,1.0,12.0,0.0,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,R20mm,0.0,1.0,12.0,0.0,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,R50mm,0.0,2.0,11.0,0.0,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,R95p,0.0,0.0,13.0,-1.3000000000000018,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,R99p,0.0,0.0,13.0,0.0,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,Rx1day,2.0,2.0,9.0,-0.014782608695652167,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,Rx5day,0.0,0.0,13.0,0.23100000000000023,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,SDII,0.0,6.0,7.0,-0.0370710657666175,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,CDD,1.0,4.0,8.0,-0.07692307692307693,CESM2,SSP2-4.5,,,
2021-2050,CWD,3.0,3.0,7.0,0.0,CESM2,SSP2-4.5,,,
2021-2050,PRCPTOT,3.0,0.0,10.0,2.5782352941176496,CESM2,SSP2-4.5,,,
2021-2050,R10mm,1.0,0.0,12.0,0.043478260869565216,CESM2,SSP2-4.5,,,
2021-2050,R20mm,0.0,0.0,13.0,0.0,CESM2,SSP2-4.5,,,
2021-2050,R50mm,6.0,0.0,7.0,0.0,CESM2,SSP2-4.5,,,
2021-2050,R95p,3.0,0.0,10.0,1.5195454545454554,CESM2,SSP2-4.5,,,
2021-2050,R99p,4.0,0.0,9.0,0.0,CESM2,SSP2-4.5,,,
2021-2050,Rx1day,5.0,0.0,8.0,0.49727272727272714,CESM2,SSP2-4.5,,,
2021-2050,Rx5day,12.0,0.0,1.0,1.5939999999999999,CESM2,SSP2-4.5,,,
2021-2050,SDII,1.0,0.0,12.0,0.013878378378378464,CESM2,SSP2-4.5,,,
2021-2050,CDD,5.0,0.0,8.0,0.10526315789473684,CESM2,SSP5-8.5,,,
2021-2050,CWD,3.0,0.0,10.0,0.0,CESM2,SSP5-8.5,,,
2021-2050,PRCPTOT,0.0,2.0,11.0,-1.4923529411764709,CESM2,SSP5-8.5,,,
2021-2050,R10mm,0.0,6.0,7.0,-0.14285714285714285,CESM2,SSP5-8.5,,,
