Model,Scenario,Index,n_stations,median_sen_slope,median_mmk_z,median_mmk_p_descriptive_only
ACCESS-ESM1-5,SSP2-4.5,CDD,13,-0.4,-2.351282118081764,0.018708842935906786
ACCESS-ESM1-5,SSP2-4.5,CWD,13,-0.05555555555555555,-1.8205429413354672,0.06867636307254125
ACCESS-ESM1-5,SSP2-4.5,PRCPTOT,13,-7.5049999999999955,-2.2931148678307154,0.02184139263255983
ACCESS-ESM1-5,SSP2-4.5,R10mm,13,-0.16666666666666666,-2.0702717442318974,0.03842690404914911
ACCESS-ESM1-5,SSP2-4.5,R20mm,13,-0.13636363636363635,-2.358631000716003,0.018342484482021287
ACCESS-ESM1-5,SSP2-4.5,R50mm,13,0.0,-1.5914106290646395,0.1115171938036281
ACCESS-ESM1-5,SSP2-4.5,R95p,13,-4.855652173913046,-1.9417752412698643,0.052164315407013724
ACCESS-ESM1-5,SSP2-4.5,R99p,13,0.0,-1.4273321292809933,0.15348418379852824
ACCESS-ESM1-5,SSP2-4.5,Rx1day,13,-0.5742857142857145,-2.3493276725830294,0.01880734767077028
ACCESS-ESM1-5,SSP2-4.5,Rx5day,13,-1.1287500000000001,-1.6993909871943578,0.089245539015653
ACCESS-ESM1-5,SSP2-4.5,SDII,13,-0.04049802695638833,-1.3486439968123616,0.17745134171098698
ACCESS-ESM1-5,SSP5-8.5,CDD,13,0.18181818181818182,1.4476256193445087,0.09386330303068524
ACCESS-ESM1-5,SSP5-8.5,CWD,13,0.0,0.0,0.27014252455419163
ACCESS-ESM1-5,SSP5-8.5,PRCPTOT,13,-1.2412500000000222,-0.4656809358265247,0.46044945656108616
ACCESS-ESM1-5,SSP5-8.5,R10mm,13,0.0,-0.04990755403375297,0.7760575270707957
ACCESS-ESM1-5,SSP5-8.5,R20mm,13,0.0,-0.8092094437162762,0.4183946837771114
ACCESS-ESM1-5,SSP5-8.5,R50mm,13,0.0,-1.075920384029086,0.1656419634251579
ACCESS-ESM1-5,SSP5-8.5,R95p,13,-1.3000000000000018,-0.7381464837289796,0.32659079345887276
ACCESS-ESM1-5,SSP5-8.5,R99p,13,0.0,-1.0637213508269394,0.25904749842613395
ACCESS-ESM1-5,SSP5-8.5,Rx1day,13,-0.014782608695652167,-0.049939807830436965,0.46389791359429966
ACCESS-ESM1-5,SSP5-8.5,Rx5day,13,0.23100000000000023,0.348711111009885,0.47997415555214185
ACCESS-ESM1-5,SSP5-8.5,SDII,13,-0.0370710657666175,-1.824570177542172,0.06806591720228193
CESM2,SSP2-4.5,CDD,13,-0.07692307692307693,-0.9513058532800289,0.26205386118706564
CESM2,SSP2-4.5,CWD,13,0.0,-0.8309918841334674,0.202078253009372
CESM2,SSP2-4.5,PRCPTOT,13,2.5782352941176496,1.3070337654226225,0.1912012441860803
