Model,Scenario,Station,Index,Baseline_Period,Future_Period,Baseline_mean,Future_mean,Absolute_change,Relative_change_pct,Unit
ACCESS-ESM1-5,SSP2-4.5,465001,PRCPTOT,1995-2014,2021-2050,1444.986,1400.237,-44.749000000000024,-3.0968466130467713,mm
ACCESS-ESM1-5,SSP2-4.5,465001,SDII,1995-2014,2021-2050,6.7839088157015315,6.770341783094777,-0.013567032606754736,-0.19998842813679174,mm day-1
ACCESS-ESM1-5,SSP2-4.5,465001,Rx1day,1995-2014,2021-2050,33.214,36.05466666666667,2.840666666666671,8.552618373778138,mm
ACCESS-ESM1-5,SSP2-4.5,465001,Rx5day,1995-2014,2021-2050,108.92350000000002,113.04866666666666,4.125166666666644,3.7872145741429932,mm
ACCESS-ESM1-5,SSP2-4.5,465001,CDD,1995-2014,2021-2050,21.85,21.2,-0.6500000000000021,-2.9748283752860507,days
ACCESS-ESM1-5,SSP2-4.5,465001,CWD,1995-2014,2021-2050,26.5,23.166666666666668,-3.333333333333332,-12.578616352201253,days
ACCESS-ESM1-5,SSP2-4.5,465001,R10mm,1995-2014,2021-2050,44.9,42.5,-2.3999999999999986,-5.345211581291757,days
ACCESS-ESM1-5,SSP2-4.5,465001,R20mm,1995-2014,2021-2050,8.15,7.666666666666667,-0.4833333333333334,-5.930470347648263,days
ACCESS-ESM1-5,SSP2-4.5,465001,R50mm,1995-2014,2021-2050,0.05,0.23333333333333334,0.18333333333333335,366.6666666666667,days
ACCESS-ESM1-5,SSP2-4.5,465001,R95p,1995-2014,2021-2050,246.95999999999998,250.23033333333333,3.2703333333333546,1.3242360436238074,mm
ACCESS-ESM1-5,SSP2-4.5,465001,R99p,1995-2014,2021-2050,25.4255,50.23233333333334,24.806833333333337,97.56674729438296,mm
ACCESS-ESM1-5,SSP2-4.5,465002,PRCPTOT,1995-2014,2021-2050,1394.999,1368.7590000000002,-26.23999999999978,-1.8810049326200078,mm
ACCESS-ESM1-5,SSP2-4.5,465002,SDII,1995-2014,2021-2050,6.298918970550396,6.372254003911832,0.07333503336143554,1.1642479241962302,mm day-1
ACCESS-ESM1-5,SSP2-4.5,465002,Rx1day,1995-2014,2021-2050,35.4915,39.93066666666667,4.439166666666665,12.507689634607342,mm
ACCESS-ESM1-5,SSP2-4.5,465002,Rx5day,1995-2014,2021-2050,109.655,120.47066666666666,10.815666666666658,9.863359323940228,mm
ACCESS-ESM1-5,SSP2-4.5,465002,CDD,1995-2014,2021-2050,18.9,19.4,0.5,2.6455026455026456,days
ACCESS-ESM1-5,SSP2-4.5,465002,CWD,1995-2014,2021-2050,29.65,24.966666666666665,-4.683333333333334,-15.795390668915124,days
ACCESS-ESM1-5,SSP2-4.5,465002,R10mm,1995-2014,2021-2050,40.0,37.03333333333333,-2.9666666666666686,-7.416666666666671,days
ACCESS-ESM1-5,SSP2-4.5,465002,R20mm,1995-2014,2021-2050,6.95,7.5,0.5499999999999998,7.913669064748199,days
ACCESS-ESM1-5,SSP2-4.5,465002,R50mm,1995-2014,2021-2050,0.15,0.43333333333333335,0.2833333333333333,188.88888888888889,days
ACCESS-ESM1-5,SSP2-4.5,465002,R95p,1995-2014,2021-2050,272.444,303.89166666666665,31.447666666666635,11.54280023295306,mm
ACCESS-ESM1-5,SSP2-4.5,465002,R99p,1995-2014,2021-2050,38.2255,81.74233333333333,43.51683333333334,113.84241758337586,mm
ACCESS-ESM1-5,SSP2-4.5,465003,PRCPTOT,1995-2014,2021-2050,1541.0040000000001,1654.1160000000002,113.11200000000008,7.340149668657581,mm
ACCESS-ESM1-5,SSP2-4.5,465003,SDII,1995-2014,2021-2050,6.409650803516361,6.971410803546665,0.5617600000303042,8.764284003149132,mm day-1
ACCESS-ESM1-5,SSP2-4.5,465003,Rx1day,1995-2014,2021-2050,32.821000000000005,41.709666666666664,8.888666666666659,27.08225424778848,mm
ACCESS-ESM1-5,SSP2-4.5,465003,Rx5day,1995-2014,2021-2050,99.263,128.96566666666666,29.70266666666666,29.923200655497677,mm
ACCESS-ESM1-5,SSP2-4.5,465003,CDD,1995-2014,2021-2050,18.25,17.366666666666667,-0.8833333333333329,-4.840182648401824,days
ACCESS-ESM1-5,SSP2-4.5,465003,CWD,1995-2014,2021-2050,46.05,41.0,-5.049999999999997,-10.966340933767638,days
ACCESS-ESM1-5,SSP2-4.5,465003,R10mm,1995-2014,2021-2050,44.75,50.733333333333334,5.983333333333334,13.37057728119181,days
ACCESS-ESM1-5,SSP2-4.5,465003,R20mm,1995-2014,2021-2050,6.35,11.2,4.85,76.37795275590551,days
ACCESS-ESM1-5,SSP2-4.5,465003,R50mm,1995-2014,2021-2050,0.05,0.36666666666666664,0.31666666666666665,633.3333333333333,days
ACCESS-ESM1-5,SSP2-4.5,465003,R95p,1995-2014,2021-2050,264.3235,417.83799999999997,153.51449999999994,58.07826394550614,mm
ACCESS-ESM1-5,SSP2-4.5,465003,R99p,1995-2014,2021-2050,23.924500000000002,72.01199999999999,48.087499999999984,200.99688603732565,mm
ACCESS-ESM1-5,SSP2-4.5,465004,PRCPTOT,1995-2014,2021-2050,1860.5915,1891.4246666666666,30.833166666666557,1.657170134694615,mm
ACCESS-ESM1-5,SSP2-4.5,465004,SDII,1995-2014,2021-2050,9.456891170557343,10.004787094565579,0.5478959240082357,5.793615619835301,mm day-1
ACCESS-ESM1-5,SSP2-4.5,465004,Rx1day,1995-2014,2021-2050,96.562,105.756,9.194000000000003,9.52134379983845,mm
ACCESS-ESM1-5,SSP2-4.5,465004,Rx5day,1995-2014,2021-2050,235.425,272.7726666666667,37.34766666666667,15.863934020034689,mm
ACCESS-ESM1-5,SSP2-4.5,465004,CDD,1995-2014,2021-2050,17.9,20.1,2.200000000000003,12.290502793296106,days
ACCESS-ESM1-5,SSP2-4.5,465004,CWD,1995-2014,2021-2050,21.15,18.366666666666667,-2.7833333333333314,-13.159968479117408,days
ACCESS-ESM1-5,SSP2-4.5,465004,R10mm,1995-2014,2021-2050,55.45,51.733333333333334,-3.7166666666666686,-6.702735196874063,days
ACCESS-ESM1-5,SSP2-4.5,465004,R20mm,1995-2014,2021-2050,21.6,20.366666666666667,-1.2333333333333343,-5.70987654320988,days
