Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,CDD,13.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,CWD,16.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,PRCPTOT,1443.27,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,R10mm,42.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,R20mm,16.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,R95p,438.3,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,R99p,39.91,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,Rx1day,39.91,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,Rx5day,143.34,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2021,OK,SDII,7.439536082474227,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,CDD,51.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,CWD,26.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,PRCPTOT,1959.05,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,R10mm,75.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,R20mm,13.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,R95p,436.17,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,R99p,168.83,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,Rx1day,46.09,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,Rx5day,182.57,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2022,OK,SDII,9.027880184331798,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,CDD,17.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,CWD,14.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,PRCPTOT,880.25,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,R10mm,18.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,R20mm,1.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,R95p,59.690000000000005,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,Rx1day,20.25,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,Rx5day,43.68000000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2023,OK,SDII,5.177941176470588,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,CDD,33.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,CWD,45.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,PRCPTOT,2167.7799999999997,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,R10mm,83.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,R20mm,23.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,R95p,753.6599999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,R99p,195.11999999999998,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,Rx1day,43.36,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,Rx5day,154.13,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2024,OK,SDII,10.082697674418604,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,CDD,13.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,CWD,20.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,PRCPTOT,1805.9999999999998,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,R10mm,63.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,R20mm,11.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,R95p,412.88,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,R99p,90.65,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,Rx1day,47.66,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,Rx5day,108.19999999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2025,OK,SDII,8.062499999999998,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,CDD,29.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,CWD,21.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,PRCPTOT,1298.67,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,R10mm,38.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,R20mm,6.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,R95p,154.82999999999998,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,R99p,34.33,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,Rx1day,34.33,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,Rx5day,126.28,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2026,OK,SDII,6.835105263157895,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,CDD,38.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,CWD,21.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,PRCPTOT,1143.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,R10mm,34.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,R20mm,3.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,R95p,84.28999999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,Rx1day,22.91,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,Rx5day,79.99,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2027,OK,SDII,6.314917127071824,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2028,OK,CDD,24.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2028,OK,CWD,20.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2028,OK,PRCPTOT,1017.8000000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2028,OK,R10mm,23.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2028,OK,R20mm,3.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2028,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,2028,OK,R95p,126.65,mm
