Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion
1981-2014,Observed,Historical,465001,PRCPTOT,mm,mm year-1,1981,2014,34,-233.0,4550.333333333333,4985.41319133799,-3.43927085099751,0.0005832833475494989,Decreasing,True,-3.285771858004229,0.0010170334722941503,Decreasing,True,-0.41532976827094475,-24.21481481481481,-35.3421052631579,-12.877777777777762,1.0956149420565504,31.032800571503234,33,0.04780747102827521,0.6846792631549182,OK,OK,True
1981-2014,Observed,Historical,465002,PRCPTOT,mm,mm year-1,1981,2014,34,-151.0,4550.333333333333,4173.565606585879,-2.2236664984897696,0.02617089083788384,Decreasing,True,-2.3218685909107695,0.020240012519327482,Decreasing,True,-0.26916221033868093,-22.75000000000003,-35.43846153846154,-1.25,0.9171999721454575,37.0693425998142,33,-0.04140001392727127,0.640614808960284,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465003,PRCPTOT,mm,mm year-1,1981,2014,34,-133.0,4550.333333333333,2464.387203877393,-1.956826518670997,0.05036786813108444,No significant trend,False,-2.6590068654307957,0.007837136597234909,Decreasing,True,-0.23707664884135474,-13.505000000000006,-22.033333333333303,0.075,0.5415838848166566,62.77882513345108,33,-0.22920805759167168,0.38698549778777974,OK,FACTOR_LT_ONE,False
1981-2014,Observed,Historical,465004,PRCPTOT,mm,mm year-1,1981,2014,34,-99.0,4550.333333333333,4042.5194267606107,-1.4527954456799828,0.14628055684434427,No significant trend,False,-1.5413455676128496,0.12323270417980026,No significant trend,False,-0.17647058823529413,-30.79583333333333,-51.49523809523808,8.266666666666671,0.888400723777147,38.27101789769457,33,-0.05579963811142652,0.609341037226806,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465005,PRCPTOT,mm,mm year-1,1981,2014,34,-207.0,4550.333333333333,4183.521134168914,-3.0538353245926166,0.002259360643567487,Decreasing,True,-3.1849031966077437,0.0014480243742070766,Decreasing,True,-0.3689839572192513,-21.4,-34.76153846153847,-9.831249999999997,0.9193878399023326,36.98112866449468,33,-0.040306080048833674,0.5435547284060673,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465006,PRCPTOT,mm,mm year-1,1981,2014,34,-173.0,4550.333333333333,4320.655407205324,-2.549804251601602,0.010778341787808995,Decreasing,True,-2.616698175465014,0.008878480923709811,Decreasing,True,-0.3083778966131907,-30.242857142857115,-48.10952380952381,-10.961111111111096,0.9495250327167221,35.80737613912222,33,-0.02523748364163898,0.5427175157291848,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465007,PRCPTOT,mm,mm year-1,1981,2014,34,-39.0,4550.333333333333,864.4733600493104,-0.5633288462840749,0.5732109789122802,No significant trend,False,-1.2924322589076052,0.19620749116603353,No significant trend,False,-0.06951871657754011,-2.685185185185185,-12.77368421052633,9.257142857142851,0.18998022710042717,178.9659930347749,33,-0.4050098864497864,-0.0231505030315089,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465008,PRCPTOT,mm,mm year-1,1981,2014,34,-175.0,4550.333333333333,4186.506680955334,-2.5794531382481325,0.009895688391263256,Decreasing,True,-2.689201556680499,0.0071623159010163326,Decreasing,True,-0.31194295900178254,-19.56250000000003,-30.1,-4.736363636363628,0.9200439559641053,36.95475610659463,33,-0.039978022017947354,0.5857535475165021,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465009,PRCPTOT,mm,mm year-1,1981,2014,34,-187.0,4550.333333333333,4175.6414693482975,-2.757346458127314,0.00582725731337702,Decreasing,True,-2.878401307027819,0.003996963233127376,Decreasing,True,-0.3333333333333333,-16.48750000000001,-26.565217391304348,-5.617647058823529,0.9176561722983586,37.050914085657716,33,-0.041171913850820675,0.5333791513208116,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465010,PRCPTOT,mm,mm year-1,1981,2014,34,-161.0,4550.333333333333,3430.9943344616217,-2.3719109317224207,0.017696356070156825,Decreasing,True,-2.731555205787642,0.006303617922258925,Decreasing,True,-0.28698752228163993,-11.284615384615389,-21.071428571428573,-2.0714285714285716,0.7540094501051107,45.09227304148551,33,-0.12299527494744465,0.4842465503975099,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465011,PRCPTOT,mm,mm year-1,1981,2014,34,-175.0,4550.333333333333,3702.6880842080764,-2.5794531382481325,0.009895688391263256,Decreasing,True,-2.859503839717645,0.004243042815715449,Decreasing,True,-0.31194295900178254,-11.810000000000036,-23.096000000000004,-2.84166666666664,0.8137179878854465,41.783517761913416,33,-0.09314100605727675,0.4907847051282423,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465012,PRCPTOT,mm,mm year-1,1981,2014,34,-171.0,4550.333333333333,3363.7052246526296,-2.520155364955072,0.011730304545634554,Decreasing,True,-2.9311629092588696,0.0033769563925412785,Decreasing,True,-0.3048128342245989,-11.433333333333303,-19.906666666666663,-2.4875000000000114,0.7392217181128041,45.9943196566252,33,-0.13038914094359794,0.4140323923628528,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465201,PRCPTOT,mm,mm year-1,1981,2014,34,-39.0,4550.333333333333,776.895469877409,-0.5633288462840749,0.5732109789122802,No significant trend,False,-1.3633341143628568,0.17277723521155075,No significant trend,False,-0.06951871657754011,-1.80625000000002,-8.86428571428572,5.14,0.17073374914894346,199.14047556197767,33,-0.41463312542552827,-0.22324676106123986,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465001,SDII,mm day-1,mm day-1 year-1,1981,2014,34,197.0,4550.333333333333,4211.378194070741,2.9055908913599655,0.0036656037022400672,Increasing,True,3.0202573460251867,0.002525599919472581,Increasing,True,0.3511586452762923,0.12335581814721264,0.03655715724681243,0.19693756656566583,0.9255098221531187,36.736509096037395,33,-0.03724508892344065,0.5852462584576481,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465002,SDII,mm day-1,mm day-1 year-1,1981,2014,33,78.0,4165.333333333333,,1.1930697770699525,0.23284204679391485,No significant trend,False,,,Invalid ESS correction,False,0.14772727272727273,0.02345219332298143,-0.012442867772108837,0.06540819964349374,,,0,,,OK,IRREGULAR_ANNUAL_YEARS,False
1981-2014,Observed,Historical,465003,SDII,mm day-1,mm day-1 year-1,1981,2014,34,43.0,4550.333333333333,3459.599705581451,0.6226266195771354,0.5335299141597474,No significant trend,False,0.7140627278414257,0.4751883921247254,No significant trend,False,0.0766488413547237,0.014812281828714836,-0.024695941764831638,0.05766038003586212,0.7602958843120909,44.71943187061035,33,-0.11985205784395454,0.15478275290352403,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465004,SDII,mm day-1,mm day-1 year-1,1981,2014,34,169.0,4550.333333333333,2115.0591327524644,2.4905064783085415,0.012756117026598124,Increasing,True,3.6529861429963164,0.000259208224543404,Increasing,True,0.30124777183600715,0.08509849562481146,0.017048996688096688,0.1752782608695651,0.4648141087288399,73.14752147472936,33,-0.26759294563558006,0.17856929611128539,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465005,SDII,mm day-1,mm day-1 year-1,1981,2014,34,265.0,4550.333333333333,7572.273508012162,3.913653037341994,9.091023809691494e-05,Increasing,True,3.0338267814295623,0.0024147303355519156,Increasing,True,0.47237076648841353,0.12255266418835209,0.0486913250148544,0.21257275132275133,1.664114022711632,20.431292288852813,33,0.332057011355816,0.4547996388908374,OK,OK,True
1981-2014,Observed,Historical,465006,SDII,mm day-1,mm day-1 year-1,1981,2014,34,-181.0,4550.333333333333,1687.1850517104908,-2.6683997981877234,0.007621350810933115,Decreasing,True,-4.382189416326966,1.1749259007047511e-05,Decreasing,True,-0.3226381461675579,-0.1483374490677861,-0.2229119808067177,-0.04598965356893734,0.3707827379042907,91.69790425566235,33,-0.31460863104785464,0.046958370457334996,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465007,SDII,mm day-1,mm day-1 year-1,1981,2014,34,225.0,4550.333333333333,9105.984357314694,3.320675304411389,0.0008979994318546357,Increasing,True,2.3473863150415712,0.01890564155817166,Increasing,True,0.40106951871657753,0.13946231178638047,0.03934984477486009,0.32378402903811254,2.00116863760487,16.9900723812529,33,0.500584318802435,0.33053836390056984,OK,OK,True
1981-2014,Observed,Historical,465008,SDII,mm day-1,mm day-1 year-1,1981,2014,34,149.0,4550.333333333333,4259.948480771271,2.1940176118432393,0.02823414345038594,Increasing,True,2.2675639399110397,0.023355797633627554,Increasing,True,0.26559714795008915,0.042248951464521234,0.004425024703557268,0.09470377332219433,0.9361838284604653,36.31765361287247,33,-0.031908085769767336,0.23115271790699005,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465009,SDII,mm day-1,mm day-1 year-1,1981,2014,34,219.0,4550.333333333333,12597.129849032532,3.231728644471798,0.0012304384116862172,Increasing,True,1.9423195907523656,0.05209842281186619,No significant trend,False,0.39037433155080214,0.06638444114302477,0.023191380657570537,0.23800478524743224,2.7683971538420336,12.281474842875836,33,0.8841985769210167,0.7300295462374252,OK,OK,False
1981-2014,Observed,Historical,465010,SDII,mm day-1,mm day-1 year-1,1981,2014,34,193.0,4550.333333333333,7600.822236619069,2.846293118066905,0.004423145961631083,Increasing,True,2.202271917549397,0.027646106627922173,Increasing,True,0.34402852049910876,0.06343643907959273,0.016999646983618128,0.15389917014560636,1.670388008926614,20.354552246725174,33,0.335194004463307,0.45355934073271087,OK,OK,True
1981-2014,Observed,Historical,465011,SDII,mm day-1,mm day-1 year-1,1981,2014,34,203.0,4550.333333333333,9662.044282377863,2.994537551299556,0.0027486122017265015,Increasing,True,2.0550238079848646,0.03987670520986168,Increasing,True,0.36185383244206776,0.05383833712227304,0.01910714285714299,0.1651824351670247,2.1233706576172873,16.012277403396286,33,0.5616853288086435,0.5429907019285255,OK,OK,True
1981-2014,Observed,Historical,465012,SDII,mm day-1,mm day-1 year-1,1981,2014,34,189.0,4550.333333333333,12967.615335009756,2.7869953447738443,0.005319924322073581,Increasing,True,1.6509266934621383,0.09875354445139106,No significant trend,False,0.33689839572192515,0.04867363530778172,0.013263856362217006,0.2250592818428184,2.849816570583054,11.930592428636142,33,0.9249082852915269,0.7741784696273326,OK,OK,False
1981-2014,Observed,Historical,465201,SDII,mm day-1,mm day-1 year-1,1981,2014,34,-127.0,4550.333333333333,383.608087077899,-1.8678798587314063,0.06177881890019752,No significant trend,False,-6.433194293040086,1.2494976332763545e-10,Decreasing,True,-0.22638146167557932,-0.054500482625482904,-0.12528397528397525,0.006069958847736423,0.08430329362198352,403.30571368250696,33,-0.45784835318900824,-0.11773152956158552,OK,FACTOR_LT_ONE,False
1981-2014,Observed,Historical,465001,Rx1day,mm,mm year-1,1981,2014,34,162.0,4549.333333333333,2296.74078670851,2.386997677679507,0.016986598579064312,Increasing,True,3.3594631725507287,0.0007809405918181936,Increasing,True,0.2887700534759358,0.8411764705882351,0.1400000000000001,1.5285714285714285,0.504852165894309,67.34644772647744,33,-0.24757391705284545,0.47131279928165726,OK,FACTOR_LT_ONE,True
