Station,P95_threshold_mm,P99_threshold_mm,Wet_day_definition,Baseline_period
465001,18.6,34.0,RR >= 1 mm,1981-2014
465002,16.8,33.27299999999995,RR >= 1 mm,1981-2014
465003,16.8,34.6,RR >= 1 mm,1981-2014
465004,35.5,74.0420000000001,RR >= 1 mm,1981-2014
465005,16.2,29.001999999999953,RR >= 1 mm,1981-2014
465006,33.9,76.44799999999996,RR >= 1 mm,1981-2014
465007,19.4,42.653999999999996,RR >= 1 mm,1981-2014
465008,14.8,26.6,RR >= 1 mm,1981-2014
465009,15.0,30.113000000000014,RR >= 1 mm,1981-2014
465010,14.7,30.270000000000074,RR >= 1 mm,1981-2014
465011,14.5,28.3,RR >= 1 mm,1981-2014
465012,14.7,29.942000000000007,RR >= 1 mm,1981-2014
465201,42.8,74.88199999999998,RR >= 1 mm,1981-2014
