Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465001,PRCPTOT,mm,mm year-1,2021,2050,30,-9.0,3141.6666666666665,624.8580625343642,-0.14272824802801262,0.8865048064138312,No significant trend,False,-0.32003634218130045,0.7489407811213598,No significant trend,False,-0.020689655172413793,-1.6958823529411855,-19.058235294117633,14.681818181818223,0.19889381300828568,150.83425445089253,29,-0.40055309349585716,0.003358443694612312,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465002,PRCPTOT,mm,mm year-1,2021,2050,30,-5.0,3141.6666666666665,727.7010411891283,-0.07136412401400631,0.9431079616717606,No significant trend,False,-0.1482803126852248,0.882121551798815,No significant trend,False,-0.011494252873563218,-0.1769999999999925,-16.045600000000007,14.179230769230763,0.23162897862783927,129.51747306282138,29,-0.38418551068608037,0.047609774147917706,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465003,PRCPTOT,mm,mm year-1,2021,2050,30,-9.0,3141.6666666666665,592.4235748317092,-0.14272824802801262,0.8865048064138312,No significant trend,False,-0.3286804105436164,0.7423972625367323,No significant trend,False,-0.020689655172413793,-0.5333333333333535,-14.470714285714264,12.639285714285702,0.1885698381427191,159.0922508895325,29,-0.40571508092864045,0.019302710741288316,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465004,PRCPTOT,mm,mm year-1,2021,2050,30,27.0,3141.6666666666665,784.8745473290357,0.46386680609104103,0.6427431760684212,No significant trend,False,0.9280539535133296,0.3533795833381711,No significant trend,False,0.06206896551724138,3.714999999999918,-27.103199999999998,26.91999999999996,0.249827442120648,120.08288499192271,29,-0.375086278939676,0.05769155299179269,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465005,PRCPTOT,mm,mm year-1,2021,2050,30,-7.0,3141.6666666666665,642.7771358819145,-0.10704618602100947,0.9147523390847367,No significant trend,False,-0.23665791844771955,0.8129221838107055,No significant trend,False,-0.016091954022988506,-1.0466666666666566,-16.722941176470574,13.781333333333327,0.20459749683243966,146.62935991132514,29,-0.39770125158378017,0.008392039744653851,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465006,PRCPTOT,mm,mm year-1,2021,2050,30,19.0,3141.6666666666665,745.4825440422816,0.3211385580630284,0.7481053914270006,No significant trend,False,0.6592555062306394,0.5097317089012157,No significant trend,False,0.04367816091954023,5.130999999999995,-22.475000000000005,26.820909090909087,0.237288873435209,126.42817830306488,29,-0.3813555632823955,0.030413539751325314,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465007,PRCPTOT,mm,mm year-1,2021,2050,30,-19.0,3141.6666666666665,641.0696114758387,-0.3211385580630284,0.7481053914270006,No significant trend,False,-0.7109186537684967,0.4771346459053877,No significant trend,False,-0.04367816091954023,-1.7511111111111102,-15.626249999999999,13.291666666666705,0.20405398773766747,147.01991533029047,29,-0.39797300613116626,0.01777740819602577,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465008,PRCPTOT,mm,mm year-1,2021,2050,30,1.0,3141.6666666666665,698.907804873527,0.0,1.0,No significant trend,False,0.0,1.0,No significant trend,False,0.0022988505747126436,0.020909090909092563,-15.122352941176466,12.926190476190467,0.22246402277141442,134.85326582818072,29,-0.3887679886142928,0.03505466105108049,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465009,PRCPTOT,mm,mm year-1,2021,2050,30,-5.0,3141.6666666666665,644.5265529355445,-0.07136412401400631,0.9431079616717606,No significant trend,False,-0.1575576825606499,0.8748053513919999,No significant trend,False,-0.011494252873563218,-0.7587500000000205,-15.904117647058817,12.894285714285681,0.20515434045693726,146.23136870115172,29,-0.39742282977153137,0.012716312154306504,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,465010,PRCPTOT,mm,mm year-1,2021,2050,30,-5.0,3141.6666666666665,650.5993310227881,-0.07136412401400631,0.9431079616717606,No significant trend,False,-0.15682062671719751,0.8753862162170937,No significant trend,False,-0.011494252873563218,-1.460000000000008,-15.464799999999995,12.302727272727235,0.20708732021945508,144.8664262409129,29,-0.39645633989027246,0.033620283377341985,OK,FACTOR_LT_ONE,True
