Period,Index,Increasing_MMK,Decreasing_MMK,No_significant_trend_MMK,Median_Sen_slope,Model,Scenario,Median_future_minus_baseline,IQR_low,IQR_high
1981-2014,CDD,12.0,1.0,0.0,0.9230769230769231,,,,,
1981-2014,CWD,2.0,11.0,0.0,-2.7037037037037037,,,,,
1981-2014,PRCPTOT,0.0,10.0,3.0,-16.48750000000001,,,,,
1981-2014,R10mm,2.0,8.0,3.0,-0.3157894736842105,,,,,
1981-2014,R20mm,8.0,2.0,3.0,0.1111111111111111,,,,,
1981-2014,R50mm,5.0,2.0,6.0,0.0,,,,,
1981-2014,R95p,8.0,3.0,2.0,5.153333333333334,,,,,
1981-2014,R99p,10.0,2.0,1.0,3.2095238095238097,,,,,
1981-2014,Rx1day,9.0,2.0,2.0,0.768421052631579,,,,,
1981-2014,Rx5day,3.0,3.0,7.0,0.4538461538461543,,,,,
1981-2014,SDII,7.0,2.0,4.0,0.05383833712227304,,,,,
2021-2050,CDD,0.0,13.0,0.0,-0.3333333333333333,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,CWD,9.0,0.0,4.0,0.15384615384615385,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,PRCPTOT,0.0,0.0,13.0,-0.7587500000000205,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R10mm,0.0,0.0,13.0,-0.16666666666666666,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R20mm,0.0,3.0,10.0,0.0,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R50mm,0.0,1.0,12.0,0.0,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R95p,0.0,4.0,9.0,-2.5018750000000005,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,R99p,0.0,6.0,7.0,0.0,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,Rx1day,1.0,0.0,12.0,-0.08777777777777768,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,Rx5day,0.0,0.0,13.0,-0.5456249999999998,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,SDII,0.0,11.0,2.0,-0.029209807745890732,ACCESS-ESM1-5,SSP2-4.5,,,
2021-2050,CDD,9.0,0.0,4.0,0.23529411764705882,ACCESS-ESM1-5,SSP5-8.5,,,
2021-2050,CWD,4.0,0.0,9.0,0.15,ACCESS-ESM1-5,SSP5-8.5,,,
