Dataset,Model,Scenario,Station,Year,n_expected_days,n_observed_records,n_valid,completeness_pct,missing_days,status
Historical,ACCESS-ESM1-5,Historical,465001,1981,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1982,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1983,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1984,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1985,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1986,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1987,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1988,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1989,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1990,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1991,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1992,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1993,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1994,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1995,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1996,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1997,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1998,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,1999,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2000,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2001,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2002,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2003,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2004,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2005,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2006,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2007,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2008,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2009,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2010,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2011,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2012,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2013,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465001,2014,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1981,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1982,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1983,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1984,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1985,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1986,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1987,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1988,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1989,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1990,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1991,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1992,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1993,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1994,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1995,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1996,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1997,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1998,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,1999,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,465002,2000,366,366,366,100.0,0,OK
