Scenario,Station,Index,n_models_available,n_sig_increasing,n_sig_decreasing,n_non_sig,median_sen_slope,median_Z,median_p_descriptive_only,sign_agreement_pct,sig_agreement_pct
SSP2-4.5,465001,CDD,7,3,2,2,0.0,0.1182756022276116,0.00030558732667420257,42.857142857142854,42.857142857142854
SSP2-4.5,465001,CWD,7,0,3,4,-0.08333333333333333,-1.788257112530778,0.0584757040324093,57.142857142857146,57.142857142857146
SSP2-4.5,465001,PRCPTOT,7,2,3,2,-4.440000000000004,-1.4372889556282178,0.04309223125317572,71.42857142857143,42.857142857142854
SSP2-4.5,465001,R10mm,7,1,3,3,-0.25,-1.0969210760863015,0.015134382004232843,71.42857142857143,42.857142857142854
SSP2-4.5,465001,R20mm,7,1,0,6,0.0,-0.2796115646031102,0.4742734254561858,71.42857142857143,85.71428571428571
SSP2-4.5,465001,R50mm,7,0,1,6,0.0,1.189937768371702,0.20205216685018468,100.0,85.71428571428571
SSP2-4.5,465001,R95p,7,2,0,5,-1.0570588235294125,-0.5736886281810182,0.28930258019233135,71.42857142857143,71.42857142857143
SSP2-4.5,465001,R99p,7,1,1,5,0.0,0.8914506854469811,0.2795522679545682,100.0,71.42857142857143
SSP2-4.5,465001,Rx1day,7,1,1,5,-0.08499999999999967,-0.6924532563815283,0.4266854712656575,71.42857142857143,71.42857142857143
SSP2-4.5,465001,Rx5day,7,1,0,6,0.00800000000000054,0.0,0.2108736923873874,57.142857142857146,85.71428571428571
SSP2-4.5,465001,SDII,7,1,3,3,-0.017070388928656578,-1.3328790693003973,0.01715924338711556,71.42857142857143,42.857142857142854
SSP2-4.5,465002,CDD,7,3,2,2,0.0,0.12001389275972814,0.00737364412351835,42.857142857142854,42.857142857142854
SSP2-4.5,465002,CWD,7,1,3,3,0.0,0.0,0.035359993591472336,42.857142857142854,42.857142857142854
SSP2-4.5,465002,PRCPTOT,7,1,3,3,-4.349999999999996,-1.5800407886059762,0.020317137576831908,71.42857142857143,42.857142857142854
SSP2-4.5,465002,R10mm,7,2,2,3,-0.06666666666666667,-0.8173117778532717,0.04125939730309004,57.142857142857146,42.857142857142854
SSP2-4.5,465002,R20mm,7,1,1,5,0.0,0.14436391933850212,0.09143254343166513,42.857142857142854,71.42857142857143
SSP2-4.5,465002,R50mm,7,1,0,6,0.0,-0.5365486638031556,0.213518957859964,100.0,85.71428571428571
SSP2-4.5,465002,R95p,7,1,0,6,-0.6133333333333321,-0.2877414052970457,0.1448427814643468,57.142857142857146,85.71428571428571
SSP2-4.5,465002,R99p,7,0,0,7,0.0,-0.19243757523845678,0.5428530530638834,85.71428571428571,100.0
SSP2-4.5,465002,Rx1day,7,0,0,7,-0.046875,-0.25818387181218355,0.5224423825590027,71.42857142857143,100.0
SSP2-4.5,465002,Rx5day,7,0,0,7,0.0707692307692309,0.11145141742164565,0.5940879948428657,71.42857142857143,100.0
SSP2-4.5,465002,SDII,7,1,3,3,-0.010280419874927461,-0.9722150342275502,0.03822813995361907,71.42857142857143,42.857142857142854
SSP2-4.5,465003,CDD,7,2,2,3,-0.045454545454545456,-1.7150430363726097,0.007123187014801555,57.142857142857146,42.857142857142854
SSP2-4.5,465003,CWD,7,1,3,3,0.0,-0.10231980938707375,0.015904978042868827,42.857142857142854,42.857142857142854
SSP2-4.5,465003,PRCPTOT,7,2,3,2,-4.680714285714283,-1.5828719603125405,0.04644439545333965,71.42857142857143,42.857142857142854
SSP2-4.5,465003,R10mm,7,1,2,4,-0.17647058823529413,-1.2980784294880048,0.06271717918165862,71.42857142857143,57.142857142857146
SSP2-4.5,465003,R20mm,7,1,1,5,0.0,-0.20628058186045534,0.3089189550249549,57.142857142857146,71.42857142857143
SSP2-4.5,465003,R50mm,7,1,1,5,0.0,0.0,0.3702626043552393,100.0,71.42857142857143
SSP2-4.5,465003,R95p,7,1,2,4,-0.567142857142857,-0.36598974812932517,0.131559941728288,71.42857142857143,57.142857142857146
SSP2-4.5,465003,R99p,7,0,0,7,0.0,0.044848763490990276,0.5914629158543679,85.71428571428571,100.0
SSP2-4.5,465003,Rx1day,7,1,0,6,-0.04750000000000032,-0.8414868049283913,0.29836701316400294,57.142857142857146,85.71428571428571
SSP2-4.5,465003,Rx5day,7,1,0,6,0.1537500000000005,0.8044152376103353,0.2960958952260764,71.42857142857143,85.71428571428571
SSP2-4.5,465003,SDII,7,1,2,4,-0.012050972082197556,-1.5062910559695433,0.06979740427657176,71.42857142857143,57.142857142857146
SSP2-4.5,465004,CDD,7,3,1,3,0.08333333333333333,1.1515657225893732,0.028306750967597695,57.142857142857146,42.857142857142854
SSP2-4.5,465004,CWD,7,0,1,6,0.0,0.5682438185294555,0.2370915191919839,42.857142857142854,85.71428571428571
SSP2-4.5,465004,PRCPTOT,7,1,2,4,-0.5733333333333425,0.0,0.21887540886169543,57.142857142857146,57.142857142857146
SSP2-4.5,465004,R10mm,7,1,2,4,-0.2,-1.037234172042781,0.19162402310987814,57.142857142857146,57.142857142857146
SSP2-4.5,465004,R20mm,7,1,2,4,0.0,-0.3100656357464768,0.3077544608586287,42.857142857142854,57.142857142857146
SSP2-4.5,465004,R50mm,7,0,1,6,0.0,-0.7102285958985624,0.1946181882364123,85.71428571428571,85.71428571428571
SSP2-4.5,465004,R95p,7,1,2,4,-2.372727272727275,-1.201304450432794,0.06557157320239886,57.142857142857146,57.142857142857146
SSP2-4.5,465004,R99p,7,1,1,5,0.0,-1.0667235336397962,0.23889880513817185,100.0,71.42857142857143
SSP2-4.5,465004,Rx1day,7,1,3,3,-0.10200000000000102,-0.42520822131183134,0.02987415462158168,57.142857142857146,42.857142857142854
SSP2-4.5,465004,Rx5day,7,1,1,5,-0.6049999999999986,-0.6739763493072601,0.10871978510318152,71.42857142857143,71.42857142857143
SSP2-4.5,465004,SDII,7,2,3,2,-0.018822177633722677,-0.61073463892059,0.017984381975330328,71.42857142857143,42.857142857142854
SSP2-4.5,465005,CDD,7,3,2,2,0.1,0.8314023415430971,0.0007085917011515873,57.142857142857146,42.857142857142854
SSP2-4.5,465005,CWD,7,0,3,4,-0.037037037037037035,-0.7695226741914877,0.19160560684844596,57.142857142857146,57.142857142857146
SSP2-4.5,465005,PRCPTOT,7,2,3,2,-4.206428571428562,-1.4325686551649714,0.01893963624595695,71.42857142857143,42.857142857142854
SSP2-4.5,465005,R10mm,7,1,3,3,-0.21428571428571427,-1.2096278408372991,0.03461280885106968,71.42857142857143,42.857142857142854
SSP2-4.5,465005,R20mm,7,1,0,6,0.0,0.08908235299841012,0.6618487974745115,85.71428571428571,85.71428571428571
SSP2-4.5,465005,R50mm,7,0,0,7,0.0,0.47409478892577633,0.18165168107701224,100.0,100.0
SSP2-4.5,465005,R95p,7,1,0,6,-0.8603448275862075,-0.7101238728020414,0.252275625137526,71.42857142857143,85.71428571428571
SSP2-4.5,465005,R99p,7,0,0,7,0.0,0.05901124811428178,0.37161217643119104,85.71428571428571,100.0
SSP2-4.5,465005,Rx1day,7,0,0,7,-0.03739130434782606,-0.5085893622620163,0.5610570156882607,71.42857142857143,100.0
SSP2-4.5,465005,Rx5day,7,1,0,6,0.027499999999999858,0.22267136568177132,0.2658271343062786,57.142857142857146,85.71428571428571
SSP2-4.5,465005,SDII,7,1,3,3,-0.01603887099660047,-1.2775104938064852,0.00897106675177502,71.42857142857143,42.857142857142854
SSP2-4.5,465006,CDD,7,3,2,2,-0.07692307692307693,-1.5236727577809048,0.0009133457755531632,57.142857142857146,42.857142857142854
SSP2-4.5,465006,CWD,7,1,1,5,-0.08333333333333333,-0.5789071216172028,0.11355815719342882,57.142857142857146,71.42857142857143
SSP2-4.5,465006,PRCPTOT,7,1,1,5,-0.525,0.0,0.3080559898649793,57.142857142857146,71.42857142857143
SSP2-4.5,465006,R10mm,7,1,1,5,-0.09523809523809523,-1.2723096168241652,0.16054601044577554,57.142857142857146,71.42857142857143
SSP2-4.5,465006,R20mm,7,1,2,4,0.0,-0.35643856135554813,0.18273684438940008,42.857142857142854,57.142857142857146
SSP2-4.5,465006,R50mm,7,0,1,6,0.0,-0.6800603885257311,0.3875798131305054,85.71428571428571,85.71428571428571
SSP2-4.5,465006,R95p,7,1,1,5,-1.0427272727272727,-1.1353437944284308,0.1656285893390781,57.142857142857146,71.42857142857143
SSP2-4.5,465006,R99p,7,2,1,4,0.0,-0.44413275359441234,0.0711790332185715,100.0,57.142857142857146
SSP2-4.5,465006,Rx1day,7,3,2,2,0.02545454545454556,0.08304741639697234,0.02875644768184976,57.142857142857146,42.857142857142854
SSP2-4.5,465006,Rx5day,7,1,1,5,-0.08095238095238041,-0.09146386458119087,0.11411918757997731,57.142857142857146,71.42857142857143
SSP2-4.5,465006,SDII,7,2,1,4,-0.01828501157407414,-1.3138731935770103,0.052293680603200964,71.42857142857143,57.142857142857146
SSP2-4.5,465007,CDD,7,3,2,2,-0.058823529411764705,-0.529170750458497,0.0033882215760851504,57.142857142857146,42.857142857142854
SSP2-4.5,465007,CWD,7,2,3,2,0.0,-0.5534875215704822,0.025335794876880785,42.857142857142854,42.857142857142854
SSP2-4.5,465007,PRCPTOT,7,1,3,3,-3.425833333333344,-0.9311872920446437,0.01196539182100436,71.42857142857143,42.857142857142854
SSP2-4.5,465007,R10mm,7,1,2,4,-0.2,-1.0430079349481893,0.11139125533080564,57.142857142857146,57.142857142857146
SSP2-4.5,465007,R20mm,7,1,2,4,0.0,0.0,0.16645088118269002,42.857142857142854,57.142857142857146
SSP2-4.5,465007,R50mm,7,2,0,5,0.0,-0.8771298449926459,0.06576456715138872,100.0,71.42857142857143
SSP2-4.5,465007,R95p,7,1,1,5,-0.6107142857142865,-0.29091005699455147,0.489696025076758,57.142857142857146,71.42857142857143
SSP2-4.5,465007,R99p,7,0,0,7,0.0,0.2730787060257608,0.5317027440124518,100.0,100.0
SSP2-4.5,465007,Rx1day,7,0,0,7,-0.0611111111111108,-0.14229245560934886,0.3345464477211819,71.42857142857143,100.0
SSP2-4.5,465007,Rx5day,7,0,0,7,-0.012083333333333002,0.0,0.5432225524791803,57.142857142857146,100.0
SSP2-4.5,465007,SDII,7,1,3,3,-0.00307580899284939,-0.2321166565634499,0.013069769894257231,71.42857142857143,42.857142857142854
SSP2-4.5,465008,CDD,7,3,2,2,0.1,0.7824382900950589,0.0027737437241522702,57.142857142857146,42.857142857142854
SSP2-4.5,465008,CWD,7,1,3,3,-0.14285714285714285,-1.9235826912476848,0.012170929148526946,57.142857142857146,42.857142857142854
SSP2-4.5,465008,PRCPTOT,7,2,3,2,-3.9533333333333216,-1.575568678008164,0.014589281945245787,57.142857142857146,42.857142857142854
SSP2-4.5,465008,R10mm,7,2,2,3,-0.2,-1.398864607046132,0.02230079349291983,57.142857142857146,42.857142857142854
SSP2-4.5,465008,R20mm,7,1,0,6,0.0,0.26511102106968887,0.16095109357622817,57.142857142857146,85.71428571428571
SSP2-4.5,465008,R50mm,7,0,0,7,0.0,0.47409478892577633,0.18165168107701224,100.0,100.0
SSP2-4.5,465008,R95p,7,1,0,6,-0.8552173913043479,-0.7501691996080487,0.2235108735628757,71.42857142857143,85.71428571428571
SSP2-4.5,465008,R99p,7,0,0,7,0.0,-0.2657829067882044,0.3651307727883317,85.71428571428571,100.0
SSP2-4.5,465008,Rx1day,7,0,0,7,-0.0699999999999999,-0.7196983552256478,0.47171073917324513,71.42857142857143,100.0
SSP2-4.5,465008,Rx5day,7,0,0,7,0.06913043478260854,0.2839141813667962,0.25331708233381756,71.42857142857143,100.0
SSP2-4.5,465008,SDII,7,1,3,3,-0.0120148538011696,-0.7108097112927794,0.03383972068000966,71.42857142857143,42.857142857142854
SSP2-4.5,465009,CDD,7,3,2,2,0.0,0.0,0.0004857271860531668,42.857142857142854,42.857142857142854
SSP2-4.5,465009,CWD,7,2,3,2,0.0,-0.25778220440082583,0.012835097370583685,42.857142857142854,42.857142857142854
SSP2-4.5,465009,PRCPTOT,7,2,3,2,-3.3242857142856956,-1.1516351744036617,0.00995486628086249,71.42857142857143,42.857142857142854
SSP2-4.5,465009,R10mm,7,1,2,4,-0.16666666666666666,-1.1826129741990945,0.05651556270068,57.142857142857146,57.142857142857146
SSP2-4.5,465009,R20mm,7,1,1,5,0.0,0.33081230952888296,0.3735351779225101,57.142857142857146,71.42857142857143
SSP2-4.5,465009,R50mm,7,0,1,6,0.0,-0.20079203336282592,0.1421732880085806,100.0,85.71428571428571
SSP2-4.5,465009,R95p,7,2,0,5,-0.7342857142857184,-0.4793578366500905,0.15507422904209195,71.42857142857143,71.42857142857143
SSP2-4.5,465009,R99p,7,0,1,6,0.0,-0.16581441198428476,0.20238429194642404,85.71428571428571,85.71428571428571
SSP2-4.5,465009,Rx1day,7,0,2,5,-0.09555555555555549,-0.8279552879642346,0.3497226405467324,85.71428571428571,71.42857142857143
SSP2-4.5,465009,Rx5day,7,0,0,7,0.07919999999999959,0.32892541699027145,0.30578655657233256,57.142857142857146,100.0
SSP2-4.5,465009,SDII,7,1,3,3,-0.0085775728696082,-0.7580580439899749,0.0026084704768018067,71.42857142857143,42.857142857142854
SSP2-4.5,465010,CDD,7,3,4,0,-0.125,-1.9607544832065864,0.001364909846537156,57.142857142857146,57.142857142857146
SSP2-4.5,465010,CWD,7,2,3,2,-0.0625,-0.9525012425738476,0.012234506653008598,57.142857142857146,42.857142857142854
SSP2-4.5,465010,PRCPTOT,7,2,2,3,-2.010909090909091,-0.887661123967989,0.009064688830645406,71.42857142857143,42.857142857142854
SSP2-4.5,465010,R10mm,7,2,2,3,-0.17647058823529413,-1.2439063043136682,0.03220932249775823,57.142857142857146,42.857142857142854
SSP2-4.5,465010,R20mm,7,1,0,6,0.0,0.16044793445102246,0.3096165424062217,85.71428571428571,85.71428571428571
SSP2-4.5,465010,R50mm,7,0,1,6,0.0,-0.7118083804019196,0.21620584946294963,100.0,85.71428571428571
SSP2-4.5,465010,R95p,7,2,1,4,-0.20923076923076478,-0.06843305485132352,0.052698163097311436,57.142857142857146,57.142857142857146
SSP2-4.5,465010,R99p,7,0,2,5,0.0,-0.46053776773572414,0.41441571113794573,85.71428571428571,71.42857142857143
SSP2-4.5,465010,Rx1day,7,0,1,6,-0.08124999999999982,-0.4751024630163235,0.5289425744832092,71.42857142857143,85.71428571428571
SSP2-4.5,465010,Rx5day,7,0,0,7,-0.023809523809524485,-0.12308624123571256,0.38577191585246273,57.142857142857146,100.0
SSP2-4.5,465010,SDII,7,1,3,3,-0.007129928448063134,-0.7357150540098357,0.008324126652614618,71.42857142857143,42.857142857142854
SSP2-4.5,465011,CDD,7,3,2,2,-0.11764705882352941,-1.5913182936653905,0.0015427775095481666,57.142857142857146,42.857142857142854
SSP2-4.5,465011,CWD,7,3,4,0,-0.125,-2.115226662188614,0.0016395629160575683,57.142857142857146,57.142857142857146
SSP2-4.5,465011,PRCPTOT,7,2,3,2,-2.6899999999999977,-1.1357427493182692,0.00843168562149609,71.42857142857143,42.857142857142854
SSP2-4.5,465011,R10mm,7,2,2,3,-0.14285714285714285,-1.0781236982210356,0.022506610452686288,57.142857142857146,42.857142857142854
SSP2-4.5,465011,R20mm,7,1,0,6,0.0,-0.08866825536354457,0.3005661808511547,85.71428571428571,85.71428571428571
SSP2-4.5,465011,R50mm,7,0,0,7,0.0,0.37149085058348574,0.18165168107701224,100.0,100.0
SSP2-4.5,465011,R95p,7,1,0,6,-0.5447619047619047,-0.5728711959473215,0.1831660537347628,71.42857142857143,85.71428571428571
SSP2-4.5,465011,R99p,7,1,2,4,0.0,-0.27801686613166376,0.37390791660216294,85.71428571428571,57.142857142857146
SSP2-4.5,465011,Rx1day,7,0,1,6,-0.08222222222222245,-0.6996252690014342,0.3682802379809549,85.71428571428571,85.71428571428571
SSP2-4.5,465011,Rx5day,7,1,0,6,0.018666666666667216,0.0,0.2179204795546833,57.142857142857146,85.71428571428571
SSP2-4.5,465011,SDII,7,1,3,3,-0.011280073640892318,-0.9375271145406543,0.0025016215902170513,71.42857142857143,42.857142857142854
SSP2-4.5,465012,CDD,7,3,2,2,-0.11764705882352941,-1.5913182936653905,0.0015427775095481666,57.142857142857146,42.857142857142854
SSP2-4.5,465012,CWD,7,2,3,2,-0.08333333333333333,-1.5535215789996384,0.00801407568822583,57.142857142857146,42.857142857142854
SSP2-4.5,465012,PRCPTOT,7,2,3,2,-2.7209523809523857,-1.0539473271661488,0.01053189593814087,71.42857142857143,42.857142857142854
SSP2-4.5,465012,R10mm,7,2,2,3,-0.16,-1.4643243090001812,0.04698236978236637,57.142857142857146,42.857142857142854
SSP2-4.5,465012,R20mm,7,1,0,6,0.0,0.0,0.3796506404141543,85.71428571428571,85.71428571428571
SSP2-4.5,465012,R50mm,7,0,1,6,0.0,0.37619588185324604,0.19813996207615636,100.0,85.71428571428571
SSP2-4.5,465012,R95p,7,2,0,5,-1.2469230769230775,-0.9219642083277357,0.13725174709959934,71.42857142857143,71.42857142857143
SSP2-4.5,465012,R99p,7,0,1,6,0.0,-0.27613476498528033,0.21149001804467493,85.71428571428571,85.71428571428571
SSP2-4.5,465012,Rx1day,7,0,2,5,-0.08833333333333322,-0.8858264891088778,0.3693530294917351,85.71428571428571,71.42857142857143
SSP2-4.5,465012,Rx5day,7,0,0,7,0.02066666666666682,0.24346980888020886,0.23446208311077088,57.142857142857146,100.0
SSP2-4.5,465012,SDII,7,1,3,3,-0.012333126036484177,-1.3847736758503295,0.013181831888135069,71.42857142857143,42.857142857142854
SSP2-4.5,465201,CDD,7,1,2,4,0.0,0.0,0.12696854515335992,42.857142857142854,57.142857142857146
SSP2-4.5,465201,CWD,7,1,0,6,0.0,-0.2786616970948475,0.3910634737835481,71.42857142857143,85.71428571428571
SSP2-4.5,465201,PRCPTOT,7,2,1,4,-5.318636363636363,-1.2624957662210499,0.09321971027387754,57.142857142857146,57.142857142857146
SSP2-4.5,465201,R10mm,7,2,1,4,-0.14285714285714285,-1.1783131063549714,0.17688789702309804,57.142857142857146,57.142857142857146
SSP2-4.5,465201,R20mm,7,2,3,2,-0.08333333333333333,-1.6750318134911752,0.015520287265642195,57.142857142857146,42.857142857142854
SSP2-4.5,465201,R50mm,7,0,1,6,0.0,-0.09071157605341036,0.5001248064839753,85.71428571428571,85.71428571428571
SSP2-4.5,465201,R95p,7,1,1,5,-0.5799999999999983,-0.3949804692621519,0.24195750256519666,57.142857142857146,71.42857142857143
SSP2-4.5,465201,R99p,7,0,2,5,0.0,-0.7179857019525846,0.4307133178125264,100.0,71.42857142857143
SSP2-4.5,465201,Rx1day,7,0,1,6,-0.3026666666666671,-0.8243353583603412,0.409749033201824,71.42857142857143,85.71428571428571
SSP2-4.5,465201,Rx5day,7,0,0,7,-0.10666666666666819,0.0,0.7398624459065424,57.142857142857146,100.0
SSP2-4.5,465201,SDII,7,2,1,4,0.010801466557017747,0.43986169282791454,0.1778802508174988,57.142857142857146,57.142857142857146
SSP5-8.5,465001,CDD,7,2,0,5,0.0,-0.06386737938868123,0.3762560326038419,42.857142857142854,71.42857142857143
SSP5-8.5,465001,CWD,7,2,1,4,0.0,0.05806093997411695,0.18313972901832754,42.857142857142854,57.142857142857146
SSP5-8.5,465001,PRCPTOT,7,0,4,3,-11.611999999999943,-3.747876976479726,0.00017833768258125336,100.0,57.142857142857146
SSP5-8.5,465001,R10mm,7,0,6,1,-0.5384615384615384,-3.4987345107931698,0.00046747179726396764,85.71428571428571,85.71428571428571
SSP5-8.5,465001,R20mm,7,1,4,2,-0.06666666666666667,-2.5446245232102798,0.010939529905340962,57.142857142857146,57.142857142857146
SSP5-8.5,465001,R50mm,7,1,0,6,0.0,-0.967884882418915,0.16007145953478674,100.0,85.71428571428571
SSP5-8.5,465001,R95p,7,0,4,3,-2.6509090909090913,-2.498311901515874,0.012478634669159178,85.71428571428571,57.142857142857146
SSP5-8.5,465001,R99p,7,1,1,5,0.0,0.6958198950113559,0.17671495097100764,100.0,71.42857142857143
SSP5-8.5,465001,Rx1day,7,2,2,3,-0.02733333333333334,-0.39762497904144406,0.01803997824862931,57.142857142857146,42.857142857142854
SSP5-8.5,465001,Rx5day,7,1,3,3,-0.5216000000000003,-1.6132731169353915,0.037171642028490944,71.42857142857143,42.857142857142854
SSP5-8.5,465001,SDII,7,0,6,1,-0.03035214042860086,-3.2073804366647334,0.0013394972760401478,85.71428571428571,85.71428571428571
SSP5-8.5,465002,CDD,7,2,2,3,0.0,-0.7359453805500367,0.006587628889600425,42.857142857142854,42.857142857142854
SSP5-8.5,465002,CWD,7,1,1,5,0.0,0.0,0.10431231308004421,42.857142857142854,71.42857142857143
SSP5-8.5,465002,PRCPTOT,7,0,4,3,-10.462380952380949,-3.6549055112061404,0.0002572767150018932,100.0,57.142857142857146
SSP5-8.5,465002,R10mm,7,0,5,2,-0.4,-2.950604517076183,0.0031715272073318114,100.0,71.42857142857143
SSP5-8.5,465002,R20mm,7,0,3,4,-0.07692307692307693,-1.8569869785446727,0.06331300669127538,57.142857142857146,57.142857142857146
SSP5-8.5,465002,R50mm,7,2,1,4,0.0,0.8800957919310806,0.0803243208708938,100.0,57.142857142857146
SSP5-8.5,465002,R95p,7,0,3,4,-1.7728571428571382,-1.2378341177945869,0.21577757497824845,100.0,57.142857142857146
SSP5-8.5,465002,R99p,7,1,1,5,0.0,-0.617512330293999,0.22054649297003315,85.71428571428571,71.42857142857143
SSP5-8.5,465002,Rx1day,7,1,2,4,-0.06230769230769248,-0.4535735264132209,0.17834448738334996,71.42857142857143,57.142857142857146
SSP5-8.5,465002,Rx5day,7,1,2,4,-0.2599999999999997,-1.1991952537897723,0.07558436143479547,71.42857142857143,57.142857142857146
SSP5-8.5,465002,SDII,7,0,5,2,-0.021686373076559982,-2.872524561009847,0.004072064246578805,85.71428571428571,71.42857142857143
SSP5-8.5,465003,CDD,7,2,1,4,0.04,1.121273698412455,0.20217151720635607,57.142857142857146,57.142857142857146
SSP5-8.5,465003,CWD,7,2,0,5,0.07142857142857142,1.328423198808185,0.18403833978330109,57.142857142857146,71.42857142857143
SSP5-8.5,465003,PRCPTOT,7,0,4,3,-9.092800000000002,-4.049527909939736,5.132105723285439e-05,100.0,57.142857142857146
SSP5-8.5,465003,R10mm,7,0,5,2,-0.4444444444444444,-3.7900095196625423,0.0001506415113912804,85.71428571428571,71.42857142857143
SSP5-8.5,465003,R20mm,7,0,4,3,-0.09523809523809523,-2.070510123377359,0.038404599028373315,71.42857142857143,57.142857142857146
SSP5-8.5,465003,R50mm,7,2,0,5,0.0,1.2166165597961127,0.0709183213994951,100.0,71.42857142857143
SSP5-8.5,465003,R95p,7,0,4,3,-3.3318181818181825,-3.0052331855397902,0.002653773119300653,100.0,57.142857142857146
SSP5-8.5,465003,R99p,7,1,1,5,0.0,-0.9129854341518172,0.22276690341895977,100.0,71.42857142857143
SSP5-8.5,465003,Rx1day,7,2,2,3,-0.047619047619047616,-0.07056617873962762,0.01874394817591723,57.142857142857146,42.857142857142854
SSP5-8.5,465003,Rx5day,7,2,3,2,-0.3640000000000015,-1.7782391224391374,0.04134848765674993,71.42857142857143,42.857142857142854
SSP5-8.5,465003,SDII,7,0,6,1,-0.023873002625263002,-3.1988520218026077,0.0013797597035166596,85.71428571428571,85.71428571428571
SSP5-8.5,465004,CDD,7,1,0,6,0.0,0.5399072603975964,0.35064840034455935,57.142857142857146,85.71428571428571
SSP5-8.5,465004,CWD,7,1,2,4,-0.08333333333333333,-0.9389556987824126,0.17026802344103154,57.142857142857146,57.142857142857146
SSP5-8.5,465004,PRCPTOT,7,0,4,3,-15.746249999999975,-3.002574258259681,0.0026770665241761323,85.71428571428571,57.142857142857146
SSP5-8.5,465004,R10mm,7,0,5,2,-0.5,-2.594698989857143,0.009467379253122027,85.71428571428571,71.42857142857143
SSP5-8.5,465004,R20mm,7,0,4,3,-0.16666666666666666,-2.3560800055981277,0.018468939442764468,85.71428571428571,57.142857142857146
SSP5-8.5,465004,R50mm,7,0,0,7,0.0,-1.5338173829135806,0.12507458532166524,85.71428571428571,100.0
