Model,Scenario,Index,n_stations,median_sen_slope,median_mmk_z,median_mmk_p_descriptive_only
ACCESS-ESM1-5,SSP2-4.5,CDD,13,-0.3333333333333333,-3.3862330867381703,0.0007085917011515873
ACCESS-ESM1-5,SSP2-4.5,CWD,13,0.15384615384615385,2.5071492987006967,0.012170929148526946
ACCESS-ESM1-5,SSP2-4.5,PRCPTOT,13,-0.7587500000000205,-0.1575576825606499,0.7489407811213598
ACCESS-ESM1-5,SSP2-4.5,R10mm,13,-0.16666666666666666,-1.2439063043136682,0.21353404884729998
ACCESS-ESM1-5,SSP2-4.5,R20mm,13,0.0,-0.5978812834506909,0.5499191492838347
ACCESS-ESM1-5,SSP2-4.5,R50mm,13,0.0,0.20797520765849073,0.19813996207615636
ACCESS-ESM1-5,SSP2-4.5,R95p,13,-2.5018750000000005,-1.6341286505605277,0.10223184010302568
ACCESS-ESM1-5,SSP2-4.5,R99p,13,0.0,-1.7312775944875083,0.08340226562522515
ACCESS-ESM1-5,SSP2-4.5,Rx1day,13,-0.08777777777777768,-0.5812721972290961,0.3497226405467324
ACCESS-ESM1-5,SSP2-4.5,Rx5day,13,-0.5456249999999998,-1.251166624035928,0.18842157919664992
ACCESS-ESM1-5,SSP2-4.5,SDII,13,-0.029209807745890732,-3.0104661190504025,0.0026084704768018067
ACCESS-ESM1-5,SSP5-8.5,CDD,13,0.23529411764705882,3.1858577824525316,0.0014432552525968855
ACCESS-ESM1-5,SSP5-8.5,CWD,13,0.15,1.4835539999207763,0.1379272805752522
ACCESS-ESM1-5,SSP5-8.5,PRCPTOT,13,-12.714615384615382,-6.365690883456395,1.9441262352596432e-10
ACCESS-ESM1-5,SSP5-8.5,R10mm,13,-0.5833333333333334,-5.792193039270938,6.947322420342861e-09
ACCESS-ESM1-5,SSP5-8.5,R20mm,13,-0.1111111111111111,-2.4235616582667725,0.015369144006976755
ACCESS-ESM1-5,SSP5-8.5,R50mm,13,0.0,0.0,0.0803243208708938
ACCESS-ESM1-5,SSP5-8.5,R95p,13,-3.9014285714285717,-3.469620518137915,0.0005211941801850352
ACCESS-ESM1-5,SSP5-8.5,R99p,13,0.0,-1.600384750886833,0.10951325588876207
ACCESS-ESM1-5,SSP5-8.5,Rx1day,13,-0.18615384615384628,-2.561517416794436,0.010421601569774926
ACCESS-ESM1-5,SSP5-8.5,Rx5day,13,-1.0733333333333335,-3.940801486046478,8.120981282218032e-05
ACCESS-ESM1-5,SSP5-8.5,SDII,13,-0.045390873015872746,-6.082650231224629,1.1821204385826675e-09
CESM2,SSP2-4.5,CDD,13,0.0,0.0,0.24949957363096775
CESM2,SSP2-4.5,CWD,13,-0.3888888888888889,-2.373735611829089,0.01760915434481075
CESM2,SSP2-4.5,PRCPTOT,13,-5.7564285714285655,-2.2262770577666218,0.02599562921909537
CESM2,SSP2-4.5,R10mm,13,-0.36363636363636365,-2.895213445365127,0.003789007959907692
CESM2,SSP2-4.5,R20mm,13,-0.04,-1.8782125464477213,0.060352094479694134
CESM2,SSP2-4.5,R50mm,13,0.0,1.251354790868158,0.18165168107701224
CESM2,SSP2-4.5,R95p,13,-1.5713333333333366,-1.331069773184037,0.1831660537347628
CESM2,SSP2-4.5,R99p,13,0.0,0.058949599093462826,0.7579369156203347
CESM2,SSP2-4.5,Rx1day,13,-0.0611111111111108,-0.14229245560934886,0.4954647774029418
CESM2,SSP2-4.5,Rx5day,13,-0.0742857142857144,-0.17553924335673457,0.7850835051465979
CESM2,SSP2-4.5,SDII,13,-0.017116154188948258,-2.4818624954777673,0.013069769894257231
CESM2,SSP5-8.5,CDD,13,-0.045454545454545456,-0.4234042618535874,0.3762560326038419
CESM2,SSP5-8.5,CWD,13,-0.4,-7.337723690226332,2.1725710255686507e-13
CESM2,SSP5-8.5,PRCPTOT,13,-10.462380952380949,-4.077003069123744,4.56198908493727e-05
CESM2,SSP5-8.5,R10mm,13,-0.4166666666666667,-3.182471814483841,0.001460237276783333
CESM2,SSP5-8.5,R20mm,13,0.0,-0.4352058327515843,0.4131539368828119
CESM2,SSP5-8.5,R50mm,13,0.0,1.2886196260109266,0.19753035696859733
CESM2,SSP5-8.5,R95p,13,-1.5829166666666659,-2.0263172081855196,0.042732288949156885
CESM2,SSP5-8.5,R99p,13,0.0,1.1919749494860132,0.11712439273177472
CESM2,SSP5-8.5,Rx1day,13,0.09916666666666647,0.18991826510629223,0.1489555617843532
CESM2,SSP5-8.5,Rx5day,13,-0.2599999999999997,-1.1991952537897723,0.23045203235160372
CESM2,SSP5-8.5,SDII,13,-0.019941922645347,-3.0734192842576076,0.0021162092672742435
CanESM5,SSP2-4.5,CDD,13,0.14285714285714285,3.950457841346596,7.800183722658447e-05
CanESM5,SSP2-4.5,CWD,13,-0.16666666666666666,-3.720997832735943,0.00019843714159992058
CanESM5,SSP2-4.5,PRCPTOT,13,-3.9533333333333216,-1.2295239901027333,0.21887540886169543
CanESM5,SSP2-4.5,R10mm,13,0.0,0.038693838761236124,0.6887425745869997
CanESM5,SSP2-4.5,R20mm,13,0.0,0.13695643698825585,0.4247482292924636
CanESM5,SSP2-4.5,R50mm,13,0.0,-1.821965083920632,0.06846028373805295
CanESM5,SSP2-4.5,R95p,13,-0.6133333333333321,-0.5728711959473215,0.5667319087156943
CanESM5,SSP2-4.5,R99p,13,0.0,-0.16581441198428476,0.6451302690199205
CanESM5,SSP2-4.5,Rx1day,13,-0.07631578947368399,-0.7196983552256478,0.47171073917324513
CanESM5,SSP2-4.5,Rx5day,13,0.19624999999999915,0.5329213941419276,0.3964978534544952
CanESM5,SSP2-4.5,SDII,13,-0.0061282855436080915,-0.7108097112927794,0.47720216191176745
CanESM5,SSP5-8.5,CDD,13,0.0,0.5259646855342591,0.397716457692345
CanESM5,SSP5-8.5,CWD,13,-0.06666666666666667,-0.9488254642355917,0.18403833978330109
CanESM5,SSP5-8.5,PRCPTOT,13,-14.016666666666676,-5.600553016088931,2.136690452412822e-08
CanESM5,SSP5-8.5,R10mm,13,-0.4,-3.3103315001759364,0.0009318553826893617
CanESM5,SSP5-8.5,R20mm,13,-0.08333333333333333,-3.8019544288825666,0.00014355913676456303
CanESM5,SSP5-8.5,R50mm,13,0.0,-1.728347520741271,0.08392593812518256
CanESM5,SSP5-8.5,R95p,13,-3.932499999999999,-4.281674544199229,1.8549214259825863e-05
CanESM5,SSP5-8.5,R99p,13,0.0,-2.0302638774107766,0.04232972390934509
CanESM5,SSP5-8.5,Rx1day,13,-0.5479999999999997,-5.176860591025342,2.2565069823039294e-07
CanESM5,SSP5-8.5,Rx5day,13,-1.3864285714285711,-4.535781176107817,5.7390661274881005e-06
CanESM5,SSP5-8.5,SDII,13,-0.04200774754346183,-5.8435780060683244,5.109135684684156e-09
EC-Earth3,SSP2-4.5,CDD,13,-0.1111111111111111,-1.6527195659610292,0.09838795045670846
EC-Earth3,SSP2-4.5,CWD,13,0.07692307692307693,1.3058440198538757,0.19160560684844596
EC-Earth3,SSP2-4.5,PRCPTOT,13,4.261111111111114,2.0598528273625285,0.039412612530706125
EC-Earth3,SSP2-4.5,R10mm,13,0.18181818181818182,1.907038804524886,0.05651556270068
EC-Earth3,SSP2-4.5,R20mm,13,0.0,0.37508584453585936,0.7075966242263542
EC-Earth3,SSP2-4.5,R50mm,13,0.0,1.5238257756854918,0.09634807418906276
EC-Earth3,SSP2-4.5,R95p,13,1.6596428571428572,1.5079788439258117,0.08421226677942413
EC-Earth3,SSP2-4.5,R99p,13,0.0,0.7044691180482188,0.3125012767197667
EC-Earth3,SSP2-4.5,Rx1day,13,0.04636363636363634,0.6296210093894427,0.27277529052773186
EC-Earth3,SSP2-4.5,Rx5day,13,0.11666666666666714,1.1684270446107565,0.16823342131745211
EC-Earth3,SSP2-4.5,SDII,13,0.009741110995406446,1.3408148321381481,0.15225387687475275
EC-Earth3,SSP5-8.5,CDD,13,-0.038461538461538464,-0.8557867170265105,0.38555554031798767
EC-Earth3,SSP5-8.5,CWD,13,0.0,-0.1691210405457793,0.3477534901526633
EC-Earth3,SSP5-8.5,PRCPTOT,13,-2.549999999999977,-0.7927276394856728,0.22017531607964214
EC-Earth3,SSP5-8.5,R10mm,13,-0.2727272727272727,-1.796277711533711,0.07245036079326368
EC-Earth3,SSP5-8.5,R20mm,13,-0.041666666666666664,-1.4167180133995194,0.09598309915580266
EC-Earth3,SSP5-8.5,R50mm,13,0.0,0.16747690449756367,0.29469973960943685
EC-Earth3,SSP5-8.5,R95p,13,-2.6509090909090913,-2.498311901515874,0.012478634669159178
EC-Earth3,SSP5-8.5,R99p,13,0.0,-0.12597888272638916,0.5499305904984217
EC-Earth3,SSP5-8.5,Rx1day,13,-0.03279999999999987,-0.39762497904144406,0.5040070278663931
EC-Earth3,SSP5-8.5,Rx5day,13,-0.8284615384615381,-2.29546761124764,0.021706340506544467
