Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
1981-2014,Observed,Historical,465001,1981,OK,CDD,24.0,days
1981-2014,Observed,Historical,465001,1981,OK,CWD,148.0,days
1981-2014,Observed,Historical,465001,1981,OK,PRCPTOT,1492.0,mm
1981-2014,Observed,Historical,465001,1981,OK,R10mm,32.0,days
1981-2014,Observed,Historical,465001,1981,OK,R20mm,5.0,days
1981-2014,Observed,Historical,465001,1981,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,1981,OK,R95p,147.4,mm
1981-2014,Observed,Historical,465001,1981,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465001,1981,OK,Rx1day,30.5,mm
1981-2014,Observed,Historical,465001,1981,OK,Rx5day,102.7,mm
1981-2014,Observed,Historical,465001,1981,OK,SDII,5.716475095785441,mm day-1
1981-2014,Observed,Historical,465001,1982,OK,CDD,36.0,days
1981-2014,Observed,Historical,465001,1982,OK,CWD,92.0,days
1981-2014,Observed,Historical,465001,1982,OK,PRCPTOT,1572.7,mm
1981-2014,Observed,Historical,465001,1982,OK,R10mm,39.0,days
1981-2014,Observed,Historical,465001,1982,OK,R20mm,6.0,days
1981-2014,Observed,Historical,465001,1982,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,1982,OK,R95p,156.20000000000002,mm
1981-2014,Observed,Historical,465001,1982,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465001,1982,OK,Rx1day,27.3,mm
1981-2014,Observed,Historical,465001,1982,OK,Rx5day,91.6,mm
1981-2014,Observed,Historical,465001,1982,OK,SDII,6.072200772200772,mm day-1
1981-2014,Observed,Historical,465001,1983,OK,CDD,37.0,days
1981-2014,Observed,Historical,465001,1983,OK,CWD,140.0,days
1981-2014,Observed,Historical,465001,1983,OK,PRCPTOT,1777.8999999999999,mm
1981-2014,Observed,Historical,465001,1983,OK,R10mm,67.0,days
1981-2014,Observed,Historical,465001,1983,OK,R20mm,6.0,days
1981-2014,Observed,Historical,465001,1983,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,1983,OK,R95p,243.69999999999996,mm
1981-2014,Observed,Historical,465001,1983,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465001,1983,OK,Rx1day,32.8,mm
1981-2014,Observed,Historical,465001,1983,OK,Rx5day,99.39999999999999,mm
1981-2014,Observed,Historical,465001,1983,OK,SDII,7.533474576271185,mm day-1
1981-2014,Observed,Historical,465001,1984,OK,CDD,9.0,days
1981-2014,Observed,Historical,465001,1984,OK,CWD,90.0,days
1981-2014,Observed,Historical,465001,1984,OK,PRCPTOT,1601.9,mm
1981-2014,Observed,Historical,465001,1984,OK,R10mm,44.0,days
1981-2014,Observed,Historical,465001,1984,OK,R20mm,7.0,days
1981-2014,Observed,Historical,465001,1984,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,1984,OK,R95p,198.60000000000002,mm
1981-2014,Observed,Historical,465001,1984,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465001,1984,OK,Rx1day,33.1,mm
1981-2014,Observed,Historical,465001,1984,OK,Rx5day,88.8,mm
1981-2014,Observed,Historical,465001,1984,OK,SDII,5.999625468164794,mm day-1
1981-2014,Observed,Historical,465001,1985,OK,CDD,22.0,days
1981-2014,Observed,Historical,465001,1985,OK,CWD,123.0,days
1981-2014,Observed,Historical,465001,1985,OK,PRCPTOT,1619.1,mm
1981-2014,Observed,Historical,465001,1985,OK,R10mm,47.0,days
1981-2014,Observed,Historical,465001,1985,OK,R20mm,7.0,days
1981-2014,Observed,Historical,465001,1985,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,1985,OK,R95p,181.2,mm
1981-2014,Observed,Historical,465001,1985,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465001,1985,OK,Rx1day,33.5,mm
1981-2014,Observed,Historical,465001,1985,OK,Rx5day,76.10000000000001,mm
1981-2014,Observed,Historical,465001,1985,OK,SDII,6.018959107806691,mm day-1
1981-2014,Observed,Historical,465001,1986,OK,CDD,67.0,days
1981-2014,Observed,Historical,465001,1986,OK,CWD,85.0,days
1981-2014,Observed,Historical,465001,1986,OK,PRCPTOT,1659.8999999999999,mm
1981-2014,Observed,Historical,465001,1986,OK,R10mm,53.0,days
1981-2014,Observed,Historical,465001,1986,OK,R20mm,11.0,days
1981-2014,Observed,Historical,465001,1986,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,1986,OK,R95p,316.6,mm
1981-2014,Observed,Historical,465001,1986,OK,R99p,40.4,mm
1981-2014,Observed,Historical,465001,1986,OK,Rx1day,40.4,mm
1981-2014,Observed,Historical,465001,1986,OK,Rx5day,123.29999999999998,mm
1981-2014,Observed,Historical,465001,1986,OK,SDII,6.830864197530864,mm day-1
1981-2014,Observed,Historical,465001,1987,OK,CDD,32.0,days
1981-2014,Observed,Historical,465001,1987,OK,CWD,64.0,days
1981-2014,Observed,Historical,465001,1987,OK,PRCPTOT,1543.0,mm
1981-2014,Observed,Historical,465001,1987,OK,R10mm,40.0,days
1981-2014,Observed,Historical,465001,1987,OK,R20mm,9.0,days
1981-2014,Observed,Historical,465001,1987,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465001,1987,OK,R95p,272.4,mm
1981-2014,Observed,Historical,465001,1987,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465001,1987,OK,Rx1day,30.0,mm
1981-2014,Observed,Historical,465001,1987,OK,Rx5day,88.69999999999999,mm
1981-2014,Observed,Historical,465001,1987,OK,SDII,6.050980392156863,mm day-1
1981-2014,Observed,Historical,465001,1988,OK,CDD,11.0,days
1981-2014,Observed,Historical,465001,1988,OK,CWD,88.0,days
1981-2014,Observed,Historical,465001,1988,OK,PRCPTOT,1896.3000000000002,mm
1981-2014,Observed,Historical,465001,1988,OK,R10mm,56.0,days
1981-2014,Observed,Historical,465001,1988,OK,R20mm,10.0,days
1981-2014,Observed,Historical,465001,1988,OK,R50mm,1.0,days
1981-2014,Observed,Historical,465001,1988,OK,R95p,390.49999999999994,mm
1981-2014,Observed,Historical,465001,1988,OK,R99p,134.0,mm
1981-2014,Observed,Historical,465001,1988,OK,Rx1day,58.1,mm
1981-2014,Observed,Historical,465001,1988,OK,Rx5day,174.60000000000002,mm
1981-2014,Observed,Historical,465001,1988,OK,SDII,7.128947368421053,mm day-1
1981-2014,Observed,Historical,465001,1989,OK,CDD,19.0,days
1981-2014,Observed,Historical,465001,1989,OK,CWD,84.0,days
1981-2014,Observed,Historical,465001,1989,OK,PRCPTOT,1410.8999999999999,mm
