Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,PRCPTOT,mm,mm year-1,2021,2050,30,-21.0,3141.6666666666665,511.2649224164416,-0.35682062007003157,0.7212260985001633,No significant trend,False,-0.8845186555581278,0.37641629633061247,No significant trend,False,-0.04827586206896552,-2.6838461538461615,-22.276666666666653,20.5828571428571,0.16273684533149335,184.34669750965307,29,-0.4186315773342533,-0.19404101029072576,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351002,PRCPTOT,mm,mm year-1,2021,2050,30,-23.0,3141.6666666666665,466.7252840783845,-0.3925026820770347,0.6946868300138667,No significant trend,False,-1.0183381556720352,0.30851728153019464,No significant trend,False,-0.052873563218390804,-3.1455172413793075,-18.372000000000014,13.09153846153847,0.1485597721204407,201.93892042105676,29,-0.42572011393977965,-0.22001966214989052,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351003,PRCPTOT,mm,mm year-1,2021,2050,30,-47.0,3141.6666666666665,402.40562517052234,-0.8206874261610726,0.41182433473249114,No significant trend,False,-2.2931148678307154,0.02184139263255983,Decreasing,True,-0.10804597701149425,-9.112777777777776,-25.99599999999996,12.003529411764696,0.12808667114181083,234.21640778520646,29,-0.4359566644290946,-0.19880289826274086,OK,FACTOR_LT_ONE,False
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351004,PRCPTOT,mm,mm year-1,2021,2050,30,-59.0,3141.6666666666665,390.24158830826866,-1.0347797982030915,0.3007717594347785,No significant trend,False,-2.9360349313387517,0.003324368853114832,Decreasing,True,-0.135632183908046,-10.01000000000002,-29.89375000000001,10.52624999999999,0.12421482916974069,241.51705718650328,29,-0.43789258541512965,-0.11879919242157594,OK,FACTOR_LT_ONE,False
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351005,PRCPTOT,mm,mm year-1,2021,2050,30,-23.0,3141.6666666666665,579.6698953681632,-0.3925026820770347,0.6946868300138667,No significant trend,False,-0.9137603468858919,0.36084278659188274,No significant trend,False,-0.052873563218390804,-5.140000000000002,-22.06000000000003,15.917777777777765,0.18451031152302277,162.5925388796315,29,-0.4077448442384886,-0.21996119446556603,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351006,PRCPTOT,mm,mm year-1,2021,2050,30,-63.0,3141.6666666666665,333.5678405468207,-1.106143922217098,0.2686642304239092,No significant trend,False,-3.3946859489662278,0.0006870736448711559,Decreasing,True,-0.14482758620689656,-10.034999999999997,-30.79947368421053,8.818421052631589,0.10617543996185275,282.5512191028222,29,-0.4469122800190736,-0.18230207141374055,OK,FACTOR_LT_ONE,False
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351007,PRCPTOT,mm,mm year-1,2021,2050,30,-67.0,3141.6666666666665,345.9286571362707,-1.177508046231104,0.2389927879015219,No significant trend,False,-3.5485478439280613,0.0003873616192351767,Decreasing,True,-0.15402298850574714,-8.386250000000004,-22.07733333333334,6.029166666666659,0.1101099173908554,272.4550223165592,29,-0.4449450413045723,-0.21471052180388026,OK,FACTOR_LT_ONE,False
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351008,PRCPTOT,mm,mm year-1,2021,2050,30,-59.0,3141.6666666666665,328.29576741436523,-1.0347797982030915,0.3007717594347785,No significant trend,False,-3.2010713304792446,0.0013691763303692885,Decreasing,True,-0.135632183908046,-7.5049999999999955,-19.711666666666662,6.211000000000013,0.10449732649794119,287.0886845185562,29,-0.4477513367510294,-0.20983224208597134,OK,FACTOR_LT_ONE,False
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351009,PRCPTOT,mm,mm year-1,2021,2050,30,-17.0,3141.6666666666665,474.5148685708816,-0.28545649605602524,0.7752944295177846,No significant trend,False,-0.7345055302248217,0.4626406909168894,No significant trend,False,-0.03908045977011494,-2.6405555555555416,-17.016666666666666,12.370000000000017,0.15103921546022758,198.62391305852455,29,-0.4244803922698862,-0.216207048107159,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,PRCPTOT,mm,mm year-1,2021,2050,30,-59.0,3141.6666666666665,327.8726311733283,-1.0347797982030915,0.3007717594347785,No significant trend,False,-3.2031362368389584,0.0013593965587824568,Decreasing,True,-0.135632183908046,-7.559999999999998,-21.04391304347826,7.287999999999999,0.10436264122227956,287.4591870102607,29,-0.4478186793888602,-0.20234114194576683,OK,FACTOR_LT_ONE,False
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,PRCPTOT,mm,mm year-1,2021,2050,30,-15.0,3141.6666666666665,367.8603932029611,-0.24977443404902208,0.802761791874143,No significant trend,False,-0.7299389194459417,0.4654275212172432,No significant trend,False,-0.034482758620689655,-1.5974999999999682,-12.576363636363608,9.930000000000001,0.11709084133781256,256.2113283774996,29,-0.4414545793310937,-0.27433657292597763,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351012,PRCPTOT,mm,mm year-1,2021,2050,30,-75.0,3141.6666666666665,329.80828870266475,-1.3202362942591168,0.18675613776082567,No significant trend,False,-4.074749702239323,4.606386389104396e-05,Decreasing,True,-0.1724137931034483,-14.641428571428605,-36.721818181818186,8.62238095238096,0.10497876563480046,285.7720779873125,29,-0.44751061718259977,-0.23046471834618898,OK,FACTOR_LT_ONE,False
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351201,PRCPTOT,mm,mm year-1,2021,2050,30,-23.0,3141.6666666666665,358.46369806133094,-0.3925026820770347,0.6946868300138667,No significant trend,False,-1.1619838457457643,0.24524202682786245,No significant trend,False,-0.052873563218390804,-4.158124999999998,-27.20454545454546,21.911904761904754,0.11409985084180296,262.92760050663315,29,-0.4429500745790985,-0.22438392430654264,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351001,SDII,mm day-1,mm day-1 year-1,2021,2050,30,-31.0,3141.6666666666665,752.6540626636813,-0.5352309301050473,0.5924901808547871,No significant trend,False,-1.0935119908128506,0.2741690672057363,No significant trend,False,-0.07126436781609195,-0.053453911392666344,-0.16552640128216226,0.13770000381868852,0.23957158493273678,125.22353186594704,29,-0.3802142075336316,-0.1624688903634519,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351002,SDII,mm day-1,mm day-1 year-1,2021,2050,30,-31.0,3141.6666666666665,494.8207034124284,-0.5352309301050473,0.5924901808547871,No significant trend,False,-1.3486439968123616,0.17745134171098698,No significant trend,False,-0.07126436781609195,-0.026217139678713707,-0.13798653084323717,0.09230347156273087,0.1575026111657597,190.47303265612052,29,-0.42124869441712015,-0.2241773946836405,OK,FACTOR_LT_ONE,True
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351003,SDII,mm day-1,mm day-1 year-1,2021,2050,30,-21.0,3141.6666666666665,663.1445069239059,-0.35682062007003157,0.7212260985001633,No significant trend,False,-0.7766510028914962,0.43736470178181763,No significant trend,False,-0.04827586206896552,-0.04049802695638833,-0.18430422647527922,0.15504484678340313,0.21108047965747667,142.12588510638895,29,-0.39445976017126166,-0.06150548873199941,OK,FACTOR_LT_ONE,True
