NO,station,latitude,longitude,elevation (m.MSL.)
1,328001,18.71,99.56,298.24
2,328002,18.13,99.51,248.22
3,328003,18.78,99.97,297.14
4,328004,18.32,99.32,284.02
5,328005,17.61,99.22,165.63
6,328006,18.19,99.40,225.10
7,328007,17.88,99.34,199.60
8,328008,19.15,99.62,419.06
9,328009,17.45,99.11,164.63
10,328010,18.63,99.91,321.88
11,328011,18.34,99.25,357.26
12,328012,18.49,99.65,405.77
13,328013,18.43,99.72,397.58
14,328014,18.27,99.76,324.93
15,328015,18.48,99.55,408.27
16,328201,18.28,99.50,240.61
17,328301,18.33,99.30,301.77
18,303001,20.20,100.42,355.41
19,303002,19.55,99.75,407.64
20,303003,19.28,99.52,550.86
21,303004,20.42,99.90,389.21
22,303005,20.10,99.87,436.16
23,303006,19.67,99.55,461.24
24,303007,19.67,100.20,367.17
25,303008,20.22,100.08,365.12
26,303009,19.53,99.73,404.90
27,303010,20.12,99.87,446.37
28,303011,20.23,99.93,387.67
29,303012,19.80,99.68,447.27
30,303013,20.22,99.77,649.01
31,303014,20.40,99.87,466.00
32,303015,19.92,99.92,386.22
33,303016,19.52,100.00,382.34
34,303017,19.98,100.03,391.78
35,303201,19.96,99.88,389.28
36,303301,19.87,99.78,413.31
37,376001,17.00,99.10,120.61
38,376002,16.95,98.53,185.29
39,376003,17.18,99.07,130.05
40,376004,17.17,98.28,132.00
41,376007,16.92,99.12,134.45
42,376008,17.27,98.87,240.70
43,376009,17.33,98.82,301.09
44,376010,17.35,98.65,316.00
45,376011,16.77,99.03,264.94
46,376012,16.38,98.70,365.62
47,376201,16.88,99.12,110.35
48,376202,16.66,98.55,247.06
49,376203,17.23,99.05,160.14
50,376301,16.75,98.93,858.00
51,376401,16.02,98.87,575.16
52,331002,18.33,100.72,263.30
53,331003,19.18,100.92,254.35
54,331004,18.58,100.75,193.40
55,331005,19.28,100.88,265.31
56,331006,18.70,101.00,271.80
57,331007,18.50,100.52,415.88
58,331008,19.18,100.98,477.00
59,331009,19.35,100.75,803.00
60,331011,19.15,101.16,745.00
61,331201,18.78,100.78,202.02
62,331301,18.87,100.75,301.00
63,331401,19.11,100.80,226.72
64,331402,19.41,100.89,342.87
65,351001,17.23,100.10,54.57
66,351002,17.42,100.13,62.02
67,351003,17.67,100.68,371.77
68,351004,17.65,100.38,115.76
69,351005,17.60,100.05,81.47
70,351006,17.92,100.88,348.79
71,351007,18.02,101.07,427.85
72,351008,17.47,100.37,82.43
73,351009,17.75,100.28,95.27
74,351010,17.90,100.82,214.69
75,351011,17.56,100.11,65.37
76,351012,17.75,100.92,415.07
77,351201,17.62,100.10,67.05
78,378001,16.77,100.45,58.93
79,378002,16.95,100.20,56.49
80,378004,17.03,100.83,213.37
81,378005,17.18,100.63,316.99
82,378006,16.92,100.35,46.81
83,378007,16.53,100.32,37.97
84,378008,16.87,100.75,319.00
85,378009,16.85,100.35,45.53
86,378010,17.33,100.47,214.29
87,378201,16.78,100.27,47.64
88,379003,16.13,100.88,156.96
89,379007,16.75,101.02,701.92
90,379008,16.55,100.97,1188.00
91,379009,16.32,100.82,117.24
92,379024,16.77,101.03,736.74
93,379030,16.65,101.02,924.08
94,380006,16.47,99.65,67.80
95,386001,16.40,100.35,35.15
96,386002,15.98,100.42,31.76
97,386005,16.35,100.60,57.70
98,386006,16.17,100.45,31.99
99,386010,16.49,100.49,42.38
100,400201,15.80,100.17,24.81
101,424004,13.33,99.87,4.94
102,438002,13.38,99.98,4.95
103,465001,13.07,99.97,5.74
104,465002,12.75,99.98,0.00
105,465003,13.22,99.85,2.65
106,465004,13.02,99.95,10.55
107,465005,12.97,99.89,17.28
108,465006,13.22,99.98,1.09
109,465007,13.15,99.70,70.55
110,465008,12.80,99.98,6.58
111,465009,12.78,99.92,30.66
112,465010,12.67,99.90,56.03
113,465011,12.70,99.90,54.55
114,465012,12.72,99.88,63.17
115,465201,13.15,100.07,0.00
116,500001,12.37,99.95,9.13
117,500002,11.18,99.55,0.00
118,500003,12.02,99.90,0.00
119,500004,11.47,99.65,0.00
120,500005,11.60,99.68,5.00
121,500006,11.62,99.67,23.01
122,500007,11.90,99.78,21.28
123,500008,12.53,99.55,130.26
124,500009,12.22,99.87,14.45
125,500201,11.83,99.83,80.00
126,500202,12.59,99.96,0.00
127,500301,12.58,99.73,101.85
128,517008,10.92,99.38,49.97
