station_id,n_valid_days,n00,n01,n10,n11,p00,p01,p10,p11,pi0,pi1,best_order_aic,best_order_bic
353201,21810,11548,2721,2722,4807,0.8093068890602004,0.19069311093979957,0.3615353964669943,0.6384646035330057,0.6546844134590696,0.3453155865409304,2,2
354201,21819,12000,2630,2631,4554,0.8202323991797676,0.1797676008202324,0.3661795407098121,0.6338204592901879,0.6707234324619329,0.32927656753806717,2,2
356201,21817,11623,2559,2560,5070,0.8195600056409533,0.18043999435904667,0.33551769331585846,0.6644823066841415,0.6502814113068544,0.3497185886931457,2,2
357201,21504,10955,2263,2256,5883,0.8287940686942049,0.17120593130579512,0.2771839292296351,0.7228160707703649,0.6181761757472501,0.38182382425274985,2,2
381201,21769,12608,2720,2724,3696,0.8225469728601252,0.17745302713987474,0.42429906542056073,0.5757009345794393,0.7051060904752023,0.29489390952479766,2,2
403201,21815,13047,2635,2636,3490,0.8319729626323173,0.16802703736768268,0.4302970943519425,0.5697029056480575,0.719170549105614,0.2808294508943861,2,2
405201,21382,12183,2566,2552,3852,0.8260221031934368,0.17397789680656317,0.3985009369144285,0.6014990630855716,0.6960972414023703,0.30390275859762983,2,2
407501,21821,12070,2631,2630,4488,0.8210325828174954,0.17896741718250458,0.3694858106209609,0.630514189379039,0.673687001717061,0.32631299828293897,2,2
431201,21802,12371,2877,2878,3667,0.8113195173137461,0.18868048268625393,0.4397249809014515,0.5602750190985485,0.6997472275160763,0.30025277248392374,2,2
432201,21821,11996,2843,2842,4138,0.8084102702338433,0.19158972976615674,0.40716332378223496,0.592836676217765,0.6800187846546452,0.3199812153453549,2,2
