Station_ID,latitude,longitude,Elevation
328001,18.71,99.56,298.24
328002,18.13,99.51,248.22
328003,18.78,99.97,297.14
328004,18.32,99.32,284.02
328005,17.61,99.22,165.63
328006,18.19,99.4,225.10
328007,17.88,99.34,199.60
328008,19.15,99.62,419.06
328009,17.45,99.11,164.63
328010,18.63,99.91,321.88
328011,18.34,99.25,357.26
328012,18.49,99.65,405.77
328013,18.43,99.72,397.58
328014,18.27,99.76,324.93
328015,18.48,99.55,408.27
328201,18.28,99.5,240.61
328301,18.33,99.3,301.77
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
