year,mme_mean,mme_median,q25,q75,mme_min,mme_max,mme_std,scenario,scale
1981,1243.4072448979591,1234.2814285714287,1148.829642857143,1278.6582142857142,1118.5864285714285,1496.0071428571428,129.40013041439852,ssp245,annual
1982,1237.4797959183672,1220.822857142857,1097.4707142857142,1333.4160714285713,948.0671428571429,1631.695,222.85829528613593,ssp245,annual
1983,1381.8742857142856,1434.2649999999999,1114.6753571428571,1530.028214285714,968.8342857142856,1980.6135714285715,348.16115438415704,ssp245,annual
1984,1244.3597959183674,1182.4678571428574,1140.4021428571427,1329.5446428571427,836.1885714285714,1751.9685714285715,279.32731595305256,ssp245,annual
1985,1322.8805102040817,1336.4442857142858,1221.2917857142857,1478.5257142857142,911.2842857142857,1612.7999999999997,243.78926823854388,ssp245,annual
1986,1248.9843877551023,1265.642857142857,1095.2492857142856,1432.2842857142855,935.5178571428571,1486.6628571428575,225.661049985781,ssp245,annual
1987,1414.0324489795917,1343.2671428571427,1199.1785714285716,1533.9360714285713,884.1492857142856,2204.581428571428,419.69960471460377,ssp245,annual
1988,1580.3641836734694,1312.7699999999998,1247.6899999999998,1552.5925,1156.5042857142857,2992.71,648.3852106996153,ssp245,annual
1989,1299.255918367347,1373.327142857143,1267.6385714285714,1409.4357142857143,887.4964285714286,1479.8192857142858,202.57626847000205,ssp245,annual
1990,1183.9058163265306,1318.6935714285714,978.9942857142855,1407.6960714285715,652.2707142857142,1542.9957142857145,320.52900936359936,ssp245,annual
1991,1277.7925510204082,1326.5142857142857,1180.0439285714285,1385.7639285714286,994.8892857142857,1491.5285714285712,173.42510765097194,ssp245,annual
1992,1234.3169387755102,1288.2928571428572,1025.1810714285714,1347.454642857143,909.0535714285714,1697.6007142857145,271.6462162294704,ssp245,annual
1993,1219.9270408163266,1297.152142857143,1117.4832142857144,1342.8039285714285,959.5992857142857,1362.1635714285712,167.17113691591607,ssp245,annual
1994,1411.401530612245,1374.2964285714286,1213.3046428571429,1577.24,1042.91,1881.515,290.1294046860957,ssp245,annual
1995,1481.8358163265307,1515.0035714285716,1234.9099999999999,1736.9357142857143,909.8928571428571,2004.2628571428572,396.4183857379641,ssp245,annual
1996,1154.5052040816329,1068.77,985.6914285714288,1250.272142857143,935.6978571428571,1605.1414285714286,246.75064346376348,ssp245,annual
1997,1297.2189795918368,1404.2992857142858,1062.1517857142856,1505.7789285714287,941.0042857142859,1599.3678571428572,274.97252725878735,ssp245,annual
1998,1747.272244897959,1658.2199999999998,1519.7364285714286,2132.6175,1078.0349999999996,2189.942857142857,426.3269834177036,ssp245,annual
1999,1282.4681632653062,1227.4235714285714,1100.3817857142858,1452.8825000000002,939.6307142857142,1703.6942857142858,269.50264235097836,ssp245,annual
2000,1204.0744897959182,1161.7450000000001,1032.2857142857142,1358.6285714285714,837.1085714285713,1647.8392857142858,283.53057063146554,ssp245,annual
