year,model,scenario,scale,regional_mean
1981.0,Observed,observed,annual,1514.3928571428569
1982.0,Observed,observed,annual,1379.45
1983.0,Observed,observed,annual,1579.3071428571427
1984.0,Observed,observed,annual,1519.2500000000002
1985.0,Observed,observed,annual,1524.5214285714285
1986.0,Observed,observed,annual,1520.742857142857
1987.0,Observed,observed,annual,1453.257142857143
1988.0,Observed,observed,annual,1818.935714285714
1989.0,Observed,observed,annual,1267.55
1990.0,Observed,observed,annual,1417.7142857142858
1991.0,Observed,observed,annual,1379.3928571428573
1992.0,Observed,observed,annual,1317.7285714285715
1993.0,Observed,observed,annual,1517.4499999999996
1994.0,Observed,observed,annual,1560.1142857142859
1995.0,Observed,observed,annual,1662.7928571428572
1996.0,Observed,observed,annual,1683.6714285714286
1997.0,Observed,observed,annual,1337.814285714286
1998.0,Observed,observed,annual,1495.6285714285711
1999.0,Observed,observed,annual,1819.4428571428568
2000.0,Observed,observed,annual,1773.0285714285712
2001.0,Observed,observed,annual,1587.6571428571428
2002.0,Observed,observed,annual,1410.6142857142856
2003.0,Observed,observed,annual,1533.2999999999997
2004.0,Observed,observed,annual,1218.8714285714284
2005.0,Observed,observed,annual,1445.1000000000001
2006.0,Observed,observed,annual,1648.9142857142858
2007.0,Observed,observed,annual,1247.0857142857144
2008.0,Observed,observed,annual,860.3857142857141
2009.0,Observed,observed,annual,694.8642857142858
2010.0,Observed,observed,annual,852.657142857143
2011.0,Observed,observed,annual,791.5857142857143
2012.0,Observed,observed,annual,922.4071428571427
2013.0,Observed,observed,annual,1120.6357142857141
2014.0,Observed,observed,annual,813.2428571428571
1981.0,Observed,observed,wet,1041.814285714286
1982.0,Observed,observed,wet,992.6142857142855
1983.0,Observed,observed,wet,1225.1214285714284
1984.0,Observed,observed,wet,999.1357142857142
1985.0,Observed,observed,wet,1058.65
1986.0,Observed,observed,wet,1192.7357142857143
1987.0,Observed,observed,wet,966.7642857142856
1988.0,Observed,observed,wet,1196.4928571428572
1989.0,Observed,observed,wet,996.9428571428571
