Index,Type,Raw CMIP6,QM/EQM,DetQM,QDM
Wet days,marginal,71.14,0.03,0.46,0.03
PRCPTOT,marginal,40.82,1.19,1.2,1.19
SDII,marginal,45.25,0.01,0.42,0.0
q50,marginal,46.92,0.02,0.63,0.02
q90,marginal,49.93,0.01,0.23,0.01
q95,marginal,48.17,0.02,0.19,0.02
q99,marginal,51.57,0.08,0.15,0.08
Rx1day,marginal,49.11,7.27,7.27,7.27
R10mm,marginal,58.26,1.19,1.24,1.19
R20mm,marginal,74.42,1.38,1.46,1.36
R50mm,marginal,194.93,1.04,1.05,1.04
R95p,marginal,74.96,1.19,1.33,1.19
R99p,marginal,95.37,1.35,1.35,1.35
Rx5day,sequence-dependent,34.52,25.52,25.52,25.52
CDD,sequence-dependent,47.9,42.52,42.21,42.52
CWD,sequence-dependent,89.99,35.05,35.06,35.05
