Scenario,Index,N cells,GCMs,GCM main effect (% of SS),BC-method main effect (% of SS),Residual (% of SS)
SSP2-4.5,CDD,273,7,49.9,0.1,50.0
SSP2-4.5,CWD,273,7,52.9,0.0,47.0
SSP2-4.5,PRCPTOT,273,7,78.3,0.6,21.1
SSP2-4.5,R10mm,273,7,73.5,0.9,25.6
SSP2-4.5,R20mm,273,7,9.5,0.3,90.2
SSP2-4.5,R50mm,214,7,18.5,0.2,81.3
SSP2-4.5,R95p,273,7,66.9,0.1,33.0
SSP2-4.5,R99p,272,7,30.5,1.1,68.4
SSP2-4.5,Rx1day,273,7,82.3,0.1,17.6
SSP2-4.5,Rx5day,273,7,75.6,0.1,24.4
SSP2-4.5,SDII,273,7,63.6,1.6,34.9
SSP2-4.5,q50,273,7,25.4,5.4,69.2
SSP2-4.5,q90,273,7,45.0,0.2,54.8
SSP2-4.5,q95,273,7,67.4,0.0,32.5
SSP2-4.5,q99,273,7,70.6,0.0,29.4
SSP2-4.5,wet_day_pct,273,7,64.0,0.2,35.8
SSP5-8.5,CDD,273,7,58.8,0.0,41.2
SSP5-8.5,CWD,273,7,73.9,0.0,26.1
SSP5-8.5,PRCPTOT,273,7,83.5,0.2,16.3
SSP5-8.5,R10mm,273,7,76.2,0.0,23.8
SSP5-8.5,R20mm,273,7,42.2,0.1,57.8
SSP5-8.5,R50mm,214,7,25.4,0.0,74.5
SSP5-8.5,R95p,273,7,80.2,1.0,18.9
SSP5-8.5,R99p,272,7,74.5,0.1,25.3
SSP5-8.5,Rx1day,273,7,74.9,0.3,24.8
SSP5-8.5,Rx5day,273,7,74.1,0.2,25.7
SSP5-8.5,SDII,273,7,76.8,0.3,22.9
SSP5-8.5,q50,273,7,52.5,0.4,47.0
SSP5-8.5,q90,273,7,72.6,0.0,27.4
SSP5-8.5,q95,273,7,70.6,0.5,29.0
SSP5-8.5,q99,273,7,68.6,0.7,30.7
SSP5-8.5,wet_day_pct,273,7,78.2,0.0,21.8
