model,station,obs_wet_fraction,model_raw_wet_fraction,model_wet_threshold_mm,obs_wet_mean_mm,model_wet_mean_mm,n_obs_cal,n_mod_cal
ACCESS-ESM1-5,351001,0.2142,0.4169,1.9881,12.7264,5.7239,7974,8035
ACCESS-ESM1-5,351002,0.2337,0.4169,1.843,12.1004,5.4092,7699,8035
ACCESS-ESM1-5,351003,0.2308,0.2852,1.233,15.9675,3.963,7915,8035
ACCESS-ESM1-5,351004,0.2475,0.2852,1.155,12.8145,3.7765,8004,8035
ACCESS-ESM1-5,351005,0.2281,0.4169,1.8782,13.4133,5.4924,7824,8035
ACCESS-ESM1-5,351006,0.5754,0.2852,0.315,5.5212,2.0013,8035,8035
ACCESS-ESM1-5,351007,0.5844,0.2852,0.301,5.4705,1.9749,8035,8035
ACCESS-ESM1-5,351008,0.5334,0.2852,0.387,5.7901,2.1311,8035,8035
ACCESS-ESM1-5,351009,0.6266,0.4169,0.498,5.1772,2.6604,8035,8035
ACCESS-ESM1-5,351010,0.5966,0.2852,0.283,5.2672,1.9419,8035,8035
ACCESS-ESM1-5,351011,0.2418,0.4169,1.786,12.3698,5.2871,8035,8035
ACCESS-ESM1-5,351012,0.2154,0.2852,1.3145,12.1679,4.1539,8004,8035
ACCESS-ESM1-5,351201,0.2522,0.4169,1.7167,11.5435,5.1389,8004,8035
CESM2,351001,0.2142,0.6396,3.423,12.7264,8.6312,7974,8030
CESM2,351002,0.2337,0.6396,3.225,12.1004,8.187,7699,8030
CESM2,351003,0.2308,0.6045,2.9547,15.9675,7.5845,7915,8030
CESM2,351004,0.2475,0.6396,3.1031,12.8145,7.9038,8004,8030
CESM2,351005,0.2281,0.6396,3.2735,13.4133,8.3055,7824,8030
CESM2,351006,0.5754,0.5447,0.881,5.5212,4.0209,8035,8030
CESM2,351007,0.5844,0.5447,0.847,5.4705,3.9717,8035,8030
CESM2,351008,0.5334,0.6396,1.415,5.7901,4.8154,8035,8030
CESM2,351009,0.6266,0.6396,1.0458,5.1772,4.2807,8035,8030
CESM2,351010,0.5966,0.6045,1.026,5.2672,4.061,8035,8030
CESM2,351011,0.2418,0.6396,3.142,12.3698,8.0196,8035,8030
CESM2,351012,0.2154,0.6045,3.1156,12.1679,7.9111,8004,8030
CESM2,351201,0.2522,0.6396,3.0504,11.5435,7.8132,8004,8030
CanESM5,351001,0.2142,0.6032,7.7248,12.7264,14.3923,7974,8030
CanESM5,351002,0.2337,0.6032,7.0369,12.1004,13.8016,7699,8030
CanESM5,351003,0.2308,0.6032,7.1004,15.9675,13.8852,7915,8030
CanESM5,351004,0.2475,0.6032,6.5929,12.8145,13.4116,8004,8030
CanESM5,351005,0.2281,0.6032,7.171,13.4133,13.9699,7824,8030
CanESM5,351006,0.5754,0.6032,1.115,5.5212,7.4086,8035,8030
CanESM5,351007,0.5844,0.6032,1.074,5.4705,7.3117,8035,8030
CanESM5,351008,0.5334,0.6032,1.3102,5.7901,7.8951,8035,8030
CanESM5,351009,0.6266,0.6032,0.9248,5.1772,6.8836,8035,8030
CanESM5,351010,0.5966,0.6032,1.023,5.2672,7.1823,8035,8030
CanESM5,351011,0.2418,0.6032,6.7844,12.3698,13.5705,8035,8030
CanESM5,351012,0.2154,0.6032,7.6572,12.1679,14.3535,8004,8030
CanESM5,351201,0.2522,0.6032,6.4317,11.5435,13.2821,8004,8030
EC-Earth3,351001,0.2142,0.3457,1.5339,12.7264,5.0122,7974,7920
EC-Earth3,351002,0.2337,0.3457,1.4176,12.1004,4.7197,7699,7920
EC-Earth3,351003,0.2308,0.2618,1.1364,15.9675,4.513,7915,7727
EC-Earth3,351004,0.2475,0.2618,1.0519,12.8145,4.284,8004,7727
EC-Earth3,351005,0.2281,0.3114,1.3514,13.4133,5.0611,7824,7871
EC-Earth3,351006,0.5754,0.2618,0.3662,5.5212,2.2175,8035,7727
EC-Earth3,351007,0.5844,0.1577,0.164,5.4705,1.5028,8035,7337
EC-Earth3,351008,0.5334,0.3408,0.5617,5.7901,2.6083,8035,7892
EC-Earth3,351009,0.6266,0.2618,0.2926,5.1772,2.0625,8035,7727
EC-Earth3,351010,0.5966,0.2618,0.3397,5.2672,2.1504,8035,7727
EC-Earth3,351011,0.2418,0.3114,1.2908,12.3698,4.8525,8035,7871
EC-Earth3,351012,0.2154,0.1577,0.7477,12.1679,3.3899,8004,7337
EC-Earth3,351201,0.2522,0.3114,1.23,11.5435,4.7005,8004,7871
FGOALS-g3,351001,0.2142,0.1272,0.4214,12.7264,3.518,7974,8030
FGOALS-g3,351002,0.2337,0.1272,0.3632,12.1004,3.2567,7699,8030
FGOALS-g3,351003,0.2308,0.1272,0.373,15.9675,3.2925,7915,8030
FGOALS-g3,351004,0.2475,0.1272,0.3221,12.8145,3.0939,8004,8030
FGOALS-g3,351005,0.2281,0.1272,0.3814,13.4133,3.3275,7824,8030
FGOALS-g3,351006,0.5754,0.1272,0.0401,5.5212,1.407,8035,8030
FGOALS-g3,351007,0.5844,0.1508,0.0502,5.4705,1.5835,8035,8030
FGOALS-g3,351008,0.5334,0.1272,0.0517,5.7901,1.5141,8035,8030
FGOALS-g3,351009,0.6266,0.1272,0.0289,5.1772,1.2946,8035,8030
