model,station,scenario,window,index,raw_change_pct,method,bc_change_pct,S_mod,S_bc,PE_pct
ACCESS-ESM1-5,351001,ssp245,Near,CDD,4.561,qm,-7.119,1.046,0.929,-11.171
ACCESS-ESM1-5,351001,ssp245,Near,CWD,7.451,qm,18.841,1.075,1.188,10.6
ACCESS-ESM1-5,351001,ssp245,Near,PRCPTOT,12.83,qm,12.764,1.128,1.128,-0.058
ACCESS-ESM1-5,351001,ssp245,Near,PRCPTOT_dry,16.119,qm,25.729,1.161,1.257,8.276
ACCESS-ESM1-5,351001,ssp245,Near,PRCPTOT_wet,9.918,qm,6.341,1.099,1.063,-3.254
ACCESS-ESM1-5,351001,ssp245,Near,R10mm,18.121,qm,3.902,1.181,1.039,-12.038
ACCESS-ESM1-5,351001,ssp245,Near,R20mm,43.089,qm,10.843,1.431,1.108,-22.536
ACCESS-ESM1-5,351001,ssp245,Near,R50mm,283.333,qm,36.054,3.833,1.361,-64.508
ACCESS-ESM1-5,351001,ssp245,Near,R95p,242.162,qm,55.692,3.422,1.557,-54.498
ACCESS-ESM1-5,351001,ssp245,Near,R99p,184.143,qm,125.238,2.841,2.252,-20.731
ACCESS-ESM1-5,351001,ssp245,Near,Rx1day,76.22,qm,53.131,1.762,1.531,-13.102
ACCESS-ESM1-5,351001,ssp245,Near,Rx5day,41.821,qm,26.911,1.418,1.269,-10.513
ACCESS-ESM1-5,351001,ssp245,Near,SDII,11.101,qm,10.111,1.111,1.101,-0.891
ACCESS-ESM1-5,351001,ssp245,Near,q50,1.837,qm,0.395,1.018,1.004,-1.416
ACCESS-ESM1-5,351001,ssp245,Near,q90,4.856,qm,11.299,1.049,1.113,6.145
ACCESS-ESM1-5,351001,ssp245,Near,q95,13.15,qm,15.385,1.131,1.154,1.976
ACCESS-ESM1-5,351001,ssp245,Near,q99,49.529,qm,28.182,1.495,1.282,-14.276
ACCESS-ESM1-5,351001,ssp245,Near,wet_day_pct,3.038,qm,6.065,1.03,1.061,2.939
ACCESS-ESM1-5,351001,ssp585,Near,CDD,-4.912,qm,-5.009,0.951,0.95,-0.102
ACCESS-ESM1-5,351001,ssp585,Near,CWD,15.033,qm,20.911,1.15,1.209,5.11
ACCESS-ESM1-5,351001,ssp585,Near,PRCPTOT,13.923,qm,17.945,1.139,1.179,3.53
ACCESS-ESM1-5,351001,ssp585,Near,PRCPTOT_dry,30.061,qm,50.526,1.301,1.505,15.735
ACCESS-ESM1-5,351001,ssp585,Near,PRCPTOT_wet,5.426,qm,4.943,1.054,1.049,-0.458
ACCESS-ESM1-5,351001,ssp585,Near,R10mm,22.595,qm,20.401,1.226,1.204,-1.789
ACCESS-ESM1-5,351001,ssp585,Near,R20mm,20.325,qm,19.277,1.203,1.193,-0.871
ACCESS-ESM1-5,351001,ssp585,Near,R50mm,83.333,qm,21.088,1.833,1.211,-33.952
ACCESS-ESM1-5,351001,ssp585,Near,R95p,39.706,qm,14.218,1.397,1.142,-18.244
ACCESS-ESM1-5,351001,ssp585,Near,R99p,-33.235,qm,-12.182,0.668,0.878,31.532
ACCESS-ESM1-5,351001,ssp585,Near,Rx1day,13.722,qm,8.971,1.137,1.09,-4.178
ACCESS-ESM1-5,351001,ssp585,Near,Rx5day,1.89,qm,0.647,1.019,1.006,-1.219
ACCESS-ESM1-5,351001,ssp585,Near,SDII,7.216,qm,9.822,1.072,1.098,2.43
ACCESS-ESM1-5,351001,ssp585,Near,q50,3.499,qm,12.73,1.035,1.127,8.919
ACCESS-ESM1-5,351001,ssp585,Near,q90,8.37,qm,11.937,1.084,1.119,3.291
ACCESS-ESM1-5,351001,ssp585,Near,q95,12.714,qm,12.757,1.127,1.128,0.038
ACCESS-ESM1-5,351001,ssp585,Near,q99,9.894,qm,4.295,1.099,1.043,-5.095
ACCESS-ESM1-5,351001,ssp585,Near,wet_day_pct,8.535,qm,12.639,1.085,1.126,3.781
ACCESS-ESM1-5,351002,ssp245,Near,CDD,4.561,qm,-2.423,1.046,0.976,-6.679
ACCESS-ESM1-5,351002,ssp245,Near,CWD,7.451,qm,16.567,1.075,1.166,8.484
ACCESS-ESM1-5,351002,ssp245,Near,PRCPTOT,12.83,qm,9.776,1.128,1.098,-2.707
ACCESS-ESM1-5,351002,ssp245,Near,PRCPTOT_dry,16.119,qm,24.418,1.161,1.244,7.147
ACCESS-ESM1-5,351002,ssp245,Near,PRCPTOT_wet,9.918,qm,2.437,1.099,1.024,-6.806
ACCESS-ESM1-5,351002,ssp245,Near,R10mm,18.121,qm,6.585,1.181,1.066,-9.766
ACCESS-ESM1-5,351002,ssp245,Near,R20mm,43.089,qm,10.448,1.431,1.104,-22.812
ACCESS-ESM1-5,351002,ssp245,Near,R50mm,283.333,qm,39.007,3.833,1.39,-63.737
ACCESS-ESM1-5,351002,ssp245,Near,R95p,182.053,qm,40.296,2.821,1.403,-50.259
ACCESS-ESM1-5,351002,ssp245,Near,R99p,205.101,qm,84.035,3.051,1.84,-39.681
ACCESS-ESM1-5,351002,ssp245,Near,Rx1day,76.22,qm,26.543,1.762,1.265,-28.19
ACCESS-ESM1-5,351002,ssp245,Near,Rx5day,41.821,qm,14.715,1.418,1.147,-19.113
ACCESS-ESM1-5,351002,ssp245,Near,SDII,11.101,qm,8.373,1.111,1.084,-2.456
ACCESS-ESM1-5,351002,ssp245,Near,q50,1.837,qm,1.052,1.018,1.011,-0.771
ACCESS-ESM1-5,351002,ssp245,Near,q90,4.856,qm,8.855,1.049,1.089,3.814
ACCESS-ESM1-5,351002,ssp245,Near,q95,13.15,qm,15.791,1.131,1.158,2.335
ACCESS-ESM1-5,351002,ssp245,Near,q99,49.529,qm,17.785,1.495,1.178,-21.23
ACCESS-ESM1-5,351002,ssp245,Near,wet_day_pct,3.038,qm,4.72,1.03,1.047,1.633
ACCESS-ESM1-5,351002,ssp585,Near,CDD,-4.912,qm,-15.038,0.951,0.85,-10.648
ACCESS-ESM1-5,351002,ssp585,Near,CWD,15.033,qm,17.764,1.15,1.178,2.375
ACCESS-ESM1-5,351002,ssp585,Near,PRCPTOT,13.923,qm,17.601,1.139,1.176,3.229
ACCESS-ESM1-5,351002,ssp585,Near,PRCPTOT_dry,30.061,qm,47.439,1.301,1.474,13.361
ACCESS-ESM1-5,351002,ssp585,Near,PRCPTOT_wet,5.426,qm,5.059,1.054,1.051,-0.347
ACCESS-ESM1-5,351002,ssp585,Near,R10mm,22.595,qm,22.92,1.226,1.229,0.265
ACCESS-ESM1-5,351002,ssp585,Near,R20mm,20.325,qm,19.204,1.203,1.192,-0.932
ACCESS-ESM1-5,351002,ssp585,Near,R50mm,83.333,qm,16.312,1.833,1.163,-36.557
ACCESS-ESM1-5,351002,ssp585,Near,R95p,15.163,qm,16.377,1.152,1.164,1.054
ACCESS-ESM1-5,351002,ssp585,Near,R99p,-12.12,qm,4.094,0.879,1.041,18.45
ACCESS-ESM1-5,351002,ssp585,Near,Rx1day,13.722,qm,8.749,1.137,1.087,-4.373
ACCESS-ESM1-5,351002,ssp585,Near,Rx5day,1.89,qm,1.023,1.019,1.01,-0.851
ACCESS-ESM1-5,351002,ssp585,Near,SDII,7.216,qm,9.3,1.072,1.093,1.944
ACCESS-ESM1-5,351002,ssp585,Near,q50,3.499,qm,10.086,1.035,1.101,6.364
ACCESS-ESM1-5,351002,ssp585,Near,q90,8.37,qm,10.364,1.084,1.104,1.839
ACCESS-ESM1-5,351002,ssp585,Near,q95,12.714,qm,13.462,1.127,1.135,0.663
ACCESS-ESM1-5,351002,ssp585,Near,q99,9.894,qm,3.963,1.099,1.04,-5.397
ACCESS-ESM1-5,351002,ssp585,Near,wet_day_pct,8.535,qm,12.024,1.085,1.12,3.214
ACCESS-ESM1-5,351003,ssp245,Near,CDD,1.365,qm,8.148,1.014,1.081,6.692
ACCESS-ESM1-5,351003,ssp245,Near,CWD,6.806,qm,7.602,1.068,1.076,0.745
ACCESS-ESM1-5,351003,ssp245,Near,PRCPTOT,5.727,qm,1.403,1.057,1.014,-4.09
ACCESS-ESM1-5,351003,ssp245,Near,PRCPTOT_dry,8.833,qm,7.414,1.088,1.074,-1.304
ACCESS-ESM1-5,351003,ssp245,Near,PRCPTOT_wet,3.939,qm,-2.192,1.039,0.978,-5.898
ACCESS-ESM1-5,351003,ssp245,Near,R10mm,-3.704,qm,-1.155,0.963,0.988,2.647
ACCESS-ESM1-5,351003,ssp245,Near,R20mm,40.476,qm,-3.467,1.405,0.965,-31.281
ACCESS-ESM1-5,351003,ssp245,Near,R50mm,216.667,qm,-2.31,3.167,0.977,-69.151
ACCESS-ESM1-5,351003,ssp245,Near,R95p,150.071,qm,7.409,2.501,1.074,-57.049
ACCESS-ESM1-5,351003,ssp245,Near,R99p,94.646,qm,41.237,1.946,1.412,-27.439
ACCESS-ESM1-5,351003,ssp245,Near,Rx1day,32.916,qm,16.26,1.329,1.163,-12.531
ACCESS-ESM1-5,351003,ssp245,Near,Rx5day,26.64,qm,7.964,1.266,1.08,-14.747
ACCESS-ESM1-5,351003,ssp245,Near,SDII,10.252,qm,4.122,1.103,1.041,-5.56
ACCESS-ESM1-5,351003,ssp245,Near,q50,3.068,qm,-3.183,1.031,0.968,-6.066
ACCESS-ESM1-5,351003,ssp245,Near,q90,4.214,qm,1.534,1.042,1.015,-2.571
ACCESS-ESM1-5,351003,ssp245,Near,q95,7.132,qm,4.502,1.071,1.045,-2.455
ACCESS-ESM1-5,351003,ssp245,Near,q99,49.495,qm,19.634,1.495,1.196,-19.974
ACCESS-ESM1-5,351003,ssp245,Near,wet_day_pct,-1.388,qm,0.457,0.986,1.005,1.871
ACCESS-ESM1-5,351003,ssp585,Near,CDD,3.184,qm,7.725,1.032,1.077,4.401
ACCESS-ESM1-5,351003,ssp585,Near,CWD,4.014,qm,6.823,1.04,1.068,2.7
ACCESS-ESM1-5,351003,ssp585,Near,PRCPTOT,4.368,qm,7.81,1.044,1.078,3.297
ACCESS-ESM1-5,351003,ssp585,Near,PRCPTOT_dry,28.412,qm,30.342,1.284,1.303,1.503
ACCESS-ESM1-5,351003,ssp585,Near,PRCPTOT_wet,-8.969,qm,-5.308,0.91,0.947,4.022
ACCESS-ESM1-5,351003,ssp585,Near,R10mm,-5.983,qm,14.319,0.94,1.143,21.594
ACCESS-ESM1-5,351003,ssp585,Near,R20mm,-9.524,qm,6.8,0.905,1.068,18.042
ACCESS-ESM1-5,351003,ssp585,Near,R50mm,-16.667,qm,-8.251,0.833,0.917,10.099
ACCESS-ESM1-5,351003,ssp585,Near,R95p,-21.381,qm,-11.363,0.786,0.886,12.741
ACCESS-ESM1-5,351003,ssp585,Near,R99p,-35.068,qm,-39.493,0.649,0.605,-6.815
ACCESS-ESM1-5,351003,ssp585,Near,Rx1day,-8.188,qm,-5.833,0.918,0.942,2.565
ACCESS-ESM1-5,351003,ssp585,Near,Rx5day,-11.673,qm,-10.002,0.883,0.9,1.892
ACCESS-ESM1-5,351003,ssp585,Near,SDII,1.796,qm,3.291,1.018,1.033,1.469
ACCESS-ESM1-5,351003,ssp585,Near,q50,7.698,qm,9.563,1.077,1.096,1.732
ACCESS-ESM1-5,351003,ssp585,Near,q90,2.386,qm,-1.376,1.024,0.986,-3.674
ACCESS-ESM1-5,351003,ssp585,Near,q95,-6.193,qm,-2.549,0.938,0.975,3.885
ACCESS-ESM1-5,351003,ssp585,Near,q99,-4.964,qm,-3.661,0.95,0.963,1.37
ACCESS-ESM1-5,351003,ssp585,Near,wet_day_pct,6.072,qm,7.917,1.061,1.079,1.739
ACCESS-ESM1-5,351004,ssp245,Near,CDD,1.365,qm,4.202,1.014,1.042,2.799
ACCESS-ESM1-5,351004,ssp245,Near,CWD,6.806,qm,10.212,1.068,1.102,3.189
ACCESS-ESM1-5,351004,ssp245,Near,PRCPTOT,5.727,qm,2.241,1.057,1.022,-3.297
ACCESS-ESM1-5,351004,ssp245,Near,PRCPTOT_dry,8.833,qm,7.835,1.088,1.078,-0.917
ACCESS-ESM1-5,351004,ssp245,Near,PRCPTOT_wet,3.939,qm,-1.033,1.039,0.99,-4.784
ACCESS-ESM1-5,351004,ssp245,Near,R10mm,-3.704,qm,-3.565,0.963,0.964,0.144
ACCESS-ESM1-5,351004,ssp245,Near,R20mm,40.476,qm,-1.399,1.405,0.986,-29.81
ACCESS-ESM1-5,351004,ssp245,Near,R50mm,216.667,qm,21.739,3.167,1.217,-61.556
ACCESS-ESM1-5,351004,ssp245,Near,R95p,159.494,qm,11.332,2.595,1.113,-57.097
ACCESS-ESM1-5,351004,ssp245,Near,R99p,163.819,qm,48.341,2.638,1.483,-43.772
ACCESS-ESM1-5,351004,ssp245,Near,Rx1day,32.916,qm,23.185,1.329,1.232,-7.321
ACCESS-ESM1-5,351004,ssp245,Near,Rx5day,26.64,qm,11.503,1.266,1.115,-11.953
ACCESS-ESM1-5,351004,ssp245,Near,SDII,10.252,qm,4.707,1.103,1.047,-5.03
ACCESS-ESM1-5,351004,ssp245,Near,q50,3.068,qm,0.116,1.031,1.001,-2.864
ACCESS-ESM1-5,351004,ssp245,Near,q90,4.214,qm,0.672,1.042,1.007,-3.399
ACCESS-ESM1-5,351004,ssp245,Near,q95,7.132,qm,4.718,1.071,1.047,-2.252
ACCESS-ESM1-5,351004,ssp245,Near,q99,49.495,qm,24.259,1.495,1.243,-16.881
ACCESS-ESM1-5,351004,ssp245,Near,wet_day_pct,-1.388,qm,0.662,0.986,1.007,2.078
ACCESS-ESM1-5,351004,ssp585,Near,CDD,3.184,qm,5.546,1.032,1.055,2.289
ACCESS-ESM1-5,351004,ssp585,Near,CWD,4.014,qm,10.212,1.04,1.102,5.959
ACCESS-ESM1-5,351004,ssp585,Near,PRCPTOT,4.368,qm,7.5,1.044,1.075,3.001
ACCESS-ESM1-5,351004,ssp585,Near,PRCPTOT_dry,28.412,qm,30.075,1.284,1.301,1.295
ACCESS-ESM1-5,351004,ssp585,Near,PRCPTOT_wet,-8.969,qm,-5.592,0.91,0.944,3.71
ACCESS-ESM1-5,351004,ssp585,Near,R10mm,-5.983,qm,11.943,0.94,1.119,19.067
ACCESS-ESM1-5,351004,ssp585,Near,R20mm,-9.524,qm,5.514,0.905,1.055,16.621
ACCESS-ESM1-5,351004,ssp585,Near,R50mm,-16.667,qm,-2.899,0.833,0.971,16.522
ACCESS-ESM1-5,351004,ssp585,Near,R95p,-1.622,qm,-10.181,0.984,0.898,-8.7
ACCESS-ESM1-5,351004,ssp585,Near,R99p,-10.498,qm,-38.795,0.895,0.612,-31.616
ACCESS-ESM1-5,351004,ssp585,Near,Rx1day,-8.188,qm,-5.023,0.918,0.95,3.447
ACCESS-ESM1-5,351004,ssp585,Near,Rx5day,-11.673,qm,-10.292,0.883,0.897,1.563
ACCESS-ESM1-5,351004,ssp585,Near,SDII,1.796,qm,3.153,1.018,1.032,1.333
