line,reported_value,sentence,status,source_table,index,method,scenario,estimator,source_value
3,71.14,"over calibration, empirical and delta mapping reduced the mean absolute bias in wet-day frequency from 71.14% to 0.03% and detrended mapping to 0.46%.",resolved,Table 2,wet_day_pct,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,71.1377
3,0.03,"over calibration, empirical and delta mapping reduced the mean absolute bias in wet-day frequency from 71.14% to 0.03% and detrended mapping to 0.46%.",resolved,Table 2,wet_day_pct,QM/EQM,,mean_absolute_bias_over_gauges_and_models,0.0265
3,0.46,"over calibration, empirical and delta mapping reduced the mean absolute bias in wet-day frequency from 71.14% to 0.03% and detrended mapping to 0.46%.",resolved,Table 2,wet_day_pct,DetQM,,mean_absolute_bias_over_gauges_and_models,0.4610
3,28.65,"out of sample all three converged, to 28.65%, 28.76% and 28.65% against 67.22% for the raw models, and none improved maximum consecutive dry days.",resolved,Table 3,wet_day_pct,QM/EQM,,mean_absolute_bias_over_gauges_and_models,28.6493
3,28.76,"out of sample all three converged, to 28.65%, 28.76% and 28.65% against 67.22% for the raw models, and none improved maximum consecutive dry days.",resolved,Table 3,wet_day_pct,DetQM,,mean_absolute_bias_over_gauges_and_models,28.7584
3,28.65,"out of sample all three converged, to 28.65%, 28.76% and 28.65% against 67.22% for the raw models, and none improved maximum consecutive dry days.",resolved,Table 3,wet_day_pct,QM/EQM,,mean_absolute_bias_over_gauges_and_models,28.6493
3,67.22,"out of sample all three converged, to 28.65%, 28.76% and 28.65% against 67.22% for the raw models, and none improved maximum consecutive dry days.",resolved,Table 3,wet_day_pct,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,67.2157
3,4.18,"for 2021–2050 the median signal-preservation error stayed within 4.18% for bulk statistics and wet-day quantiles under every method, but reached 15.54% for the ",resolved,Table 4/5,wet-day quantiles,,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,4.1774
3,15.54,"for 2021–2050 the median signal-preservation error stayed within 4.18% for bulk statistics and wet-day quantiles under every method, but reached 15.54% for the ",resolved,Table 4/5,R50mm,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,15.5375
3,5.4,a descriptive two-factor sum-of-squares partition assigned at most 5.4% of the total to the additive method component.,resolved,Table 6,all indices,,SSP2-4.5,two_factor_sum_of_squares,5.4412
31,0.810,"of 5,304 station-months, 43 were flagged, corresponding to 1,308 daily values or 0.810% of the record, which were set to missing;",design constant,Methods,,,,,0.810
51,0.41,extrapolation affected 0.41% of wet days on average.,design constant,Methods,,,,,0.41
99,71.14,mean absolute bias in wet-day frequency fell from 71.14% in the raw models to 0.03% under qm and qdm and 0.46% under detqm;,resolved,Table 2,wet_day_pct,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,71.1377
99,0.03,mean absolute bias in wet-day frequency fell from 71.14% in the raw models to 0.03% under qm and qdm and 0.46% under detqm;,resolved,Table 2,wet_day_pct,QM/EQM,,mean_absolute_bias_over_gauges_and_models,0.0265
99,0.46,mean absolute bias in wet-day frequency fell from 71.14% in the raw models to 0.03% under qm and qdm and 0.46% under detqm;,resolved,Table 2,wet_day_pct,DetQM,,mean_absolute_bias_over_gauges_and_models,0.4610
99,45.25,"sdii fell from 45.25% to 0.01% and 0.42%, and q95 from 48.17% to 0.02% and 0.19%.",resolved,Table 2,SDII,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,45.2502
99,0.01,"sdii fell from 45.25% to 0.01% and 0.42%, and q95 from 48.17% to 0.02% and 0.19%.",resolved,Table 2,SDII,QM/EQM,,mean_absolute_bias_over_gauges_and_models,0.0118
99,0.42,"sdii fell from 45.25% to 0.01% and 0.42%, and q95 from 48.17% to 0.02% and 0.19%.",resolved,Table 2,SDII,DetQM,,mean_absolute_bias_over_gauges_and_models,0.4165
99,48.17,"sdii fell from 45.25% to 0.01% and 0.42%, and q95 from 48.17% to 0.02% and 0.19%.",resolved,Table 2,q95,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,48.1714
99,0.02,"sdii fell from 45.25% to 0.01% and 0.42%, and q95 from 48.17% to 0.02% and 0.19%.",resolved,Table 2,SDII,QM/EQM,,mean_absolute_bias_over_gauges_and_models,0.0118
99,0.19,"sdii fell from 45.25% to 0.01% and 0.42%, and q95 from 48.17% to 0.02% and 0.19%.",resolved,Table 2,q95,DetQM,,mean_absolute_bias_over_gauges_and_models,0.1855
101,194.93,"the largest reduction in mean absolute bias was for the frequency of days above 50 mm, where the raw bias of 194.93% fell to 1.04–1.05% under all three methods.",resolved,Table 2,R50mm,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,194.9321
101,1.05,"the largest reduction in mean absolute bias was for the frequency of days above 50 mm, where the raw bias of 194.93% fell to 1.04–1.05% under all three methods.",resolved,Table 2,R50mm,QM/EQM,,mean_absolute_bias_over_gauges_and_models,1.0427
101,34.52,"sequence-dependent indices behaved differently and the three methods were nearly indistinguishable: rx5day improved only from 34.52% to 25.52%, cdd from 47.90% ",resolved,Table 2,Rx5day,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,34.5207
101,25.52,"sequence-dependent indices behaved differently and the three methods were nearly indistinguishable: rx5day improved only from 34.52% to 25.52%, cdd from 47.90% ",resolved,Table 2,Rx5day,QM/EQM,,mean_absolute_bias_over_gauges_and_models,25.5236
101,47.90,"sequence-dependent indices behaved differently and the three methods were nearly indistinguishable: rx5day improved only from 34.52% to 25.52%, cdd from 47.90% ",resolved,Table 2,CDD,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,47.8995
101,42.52,"sequence-dependent indices behaved differently and the three methods were nearly indistinguishable: rx5day improved only from 34.52% to 25.52%, cdd from 47.90% ",resolved,Table 2,CDD,QM/EQM,,mean_absolute_bias_over_gauges_and_models,42.5158
