period,method,index,MAB_pct
calibration,raw,wet_day_pct,71.1377
calibration,qm,wet_day_pct,0.0265
calibration,detqm,wet_day_pct,0.461
calibration,qdm,wet_day_pct,0.0265
calibration,raw,PRCPTOT,40.8213
calibration,qm,PRCPTOT,1.1862
calibration,detqm,PRCPTOT,1.1971
calibration,qdm,PRCPTOT,1.1871
calibration,raw,SDII,45.2502
calibration,qm,SDII,0.0118
calibration,detqm,SDII,0.4165
calibration,qdm,SDII,0.0019
calibration,raw,q50,46.9213
calibration,qm,q50,0.0183
calibration,detqm,q50,0.627
calibration,qdm,q50,0.0182
calibration,raw,q90,49.9329
calibration,qm,q90,0.0086
calibration,detqm,q90,0.2349
calibration,qdm,q90,0.0098
calibration,raw,q95,48.1714
calibration,qm,q95,0.0242
calibration,detqm,q95,0.1855
calibration,qdm,q95,0.0237
calibration,raw,q99,51.5677
calibration,qm,q99,0.0837
calibration,detqm,q99,0.1539
calibration,qdm,q99,0.0837
calibration,raw,Rx1day,49.1128
calibration,qm,Rx1day,7.2681
calibration,detqm,Rx1day,7.2681
calibration,qdm,Rx1day,7.2681
calibration,raw,R10mm,58.2629
calibration,qm,R10mm,1.1927
calibration,detqm,R10mm,1.2368
calibration,qdm,R10mm,1.1927
calibration,raw,R20mm,74.423
calibration,qm,R20mm,1.3769
calibration,detqm,R20mm,1.4593
calibration,qdm,R20mm,1.3645
calibration,raw,R50mm,194.9321
calibration,qm,R50mm,1.0427
calibration,detqm,R50mm,1.0456
calibration,qdm,R50mm,1.0427
calibration,raw,R95p,74.9556
calibration,qm,R95p,1.1855
calibration,detqm,R95p,1.326
calibration,qdm,R95p,1.1858
calibration,raw,R99p,95.3671
calibration,qm,R99p,1.3471
calibration,detqm,R99p,1.3471
calibration,qdm,R99p,1.3471
calibration,raw,Rx5day,34.5207
calibration,qm,Rx5day,25.5236
calibration,detqm,Rx5day,25.5232
calibration,qdm,Rx5day,25.5219
calibration,raw,CDD,47.8995
calibration,qm,CDD,42.5158
calibration,detqm,CDD,42.2146
calibration,qdm,CDD,42.5158
calibration,raw,CWD,89.9889
calibration,qm,CWD,35.0474
calibration,detqm,CWD,35.0636
calibration,qdm,CWD,35.0474
validation,raw,wet_day_pct,67.2157
validation,qm,wet_day_pct,28.6493
validation,detqm,wet_day_pct,28.7584
validation,qdm,wet_day_pct,28.6455
validation,raw,PRCPTOT,38.4493
validation,qm,PRCPTOT,15.8985
validation,detqm,PRCPTOT,15.0987
validation,qdm,PRCPTOT,15.8207
validation,raw,SDII,44.0778
validation,qm,SDII,26.908
validation,detqm,SDII,26.9662
validation,qdm,SDII,27.3682
validation,raw,q50,43.2016
validation,qm,q50,24.175
validation,detqm,q50,26.3051
validation,qdm,q50,26.5204
validation,raw,q90,47.2379
validation,qm,q90,32.3067
validation,detqm,q90,32.8563
validation,qdm,q90,33.3586
validation,raw,q95,47.9542
validation,qm,q95,31.1652
validation,detqm,q95,31.9317
validation,qdm,q95,33.6887
validation,raw,q99,54.8054
validation,qm,q99,28.7954
validation,detqm,q99,27.3917
validation,qdm,q99,27.6146
validation,raw,Rx1day,47.3816
validation,qm,Rx1day,30.9583
validation,detqm,Rx1day,29.9768
validation,qdm,Rx1day,26.8459
validation,raw,R10mm,53.3891
validation,qm,R10mm,17.7949
validation,detqm,R10mm,17.4749
validation,qdm,R10mm,18.7481
validation,raw,R20mm,70.2468
validation,qm,R20mm,35.9534
validation,detqm,R20mm,36.123
validation,qdm,R20mm,37.2711
validation,raw,R50mm,124.8403
validation,qm,R50mm,60.7074
validation,detqm,R50mm,61.4805
validation,qdm,R50mm,61.4588
validation,raw,R95p,74.1556
validation,qm,R95p,41.8133
validation,detqm,R95p,43.508
validation,qdm,R95p,45.4816
validation,raw,R99p,88.6366
validation,qm,R99p,58.7369
validation,detqm,R99p,60.5943
validation,qdm,R99p,60.763
validation,raw,Rx5day,35.6328
validation,qm,Rx5day,33.5925
validation,detqm,Rx5day,33.0803
validation,qdm,Rx5day,31.5177
validation,raw,CDD,48.4172
validation,qm,CDD,51.7758
validation,detqm,CDD,51.9758
validation,qdm,CDD,51.4724
validation,raw,CWD,83.1859
validation,qm,CWD,38.4024
validation,detqm,CWD,38.4824
validation,qdm,CWD,38.7337
