Scenario,Index,DetQM − QM/EQM median (%),n paired GCMs,QDM − QM/EQM median (%)
SSP2-4.5,Wet days,0.01,7,-0.28
SSP2-4.5,PRCPTOT,-1.11,7,-0.65
SSP2-4.5,SDII,-1.54,7,-0.66
SSP2-4.5,q50,-2.69,7,-0.53
SSP2-4.5,q90,-0.29,7,0.08
SSP2-4.5,q95,-0.2,7,-0.45
SSP2-4.5,q99,-0.25,7,-0.95
SSP2-4.5,Rx1day,-0.41,7,-0.21
SSP2-4.5,R10mm,-1.63,7,-0.99
SSP2-4.5,R20mm,0.49,7,0.08
SSP2-4.5,R50mm,-4.24,6,-2.11
SSP2-4.5,R95p,-1.44,7,-1.04
SSP2-4.5,R99p,0.35,7,-1.22
SSP2-4.5,Rx5day,-0.79,7,-0.98
SSP2-4.5,CDD,-0.06,7,0.75
SSP2-4.5,CWD,0.0,7,0.21
SSP5-8.5,Wet days,0.01,7,0.06
SSP5-8.5,PRCPTOT,-0.21,7,-0.71
SSP5-8.5,SDII,-0.29,7,-0.34
SSP5-8.5,q50,-1.28,7,-0.48
SSP5-8.5,q90,0.21,7,0.37
SSP5-8.5,q95,-0.36,7,-0.27
SSP5-8.5,q99,-0.12,7,-1.28
SSP5-8.5,Rx1day,0.39,7,-1.39
SSP5-8.5,R10mm,0.27,7,-0.72
SSP5-8.5,R20mm,1.39,7,0.12
SSP5-8.5,R50mm,-0.19,6,-3.21
SSP5-8.5,R95p,0.3,7,-1.59
SSP5-8.5,R99p,-2.07,7,3.11
SSP5-8.5,Rx5day,-0.28,7,-0.89
SSP5-8.5,CDD,0.03,7,0.22
SSP5-8.5,CWD,0.0,7,0.05
