model,station,method,period,n_values,n_wet_after_occurrence,n_dry_after_occurrence,n_extrapolated,pct_extrapolated,extrapolation_rule
ACCESS-ESM1-5,351001,qm,calibration,8035,1721,6314,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351001,detqm,calibration,8035,1721,6314,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351001,qdm,calibration,8035,1721,6314,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351001,qm,validation,4383,1070,3313,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351001,detqm,validation,4383,1070,3313,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351001,qdm,validation,4383,1070,3313,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351002,qm,calibration,8035,1876,6159,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351002,detqm,calibration,8035,1876,6159,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351002,qdm,calibration,8035,1876,6159,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351002,qm,validation,4383,1160,3223,1,0.086,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351002,detqm,validation,4383,1160,3223,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351002,qdm,validation,4383,1160,3223,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351003,qm,calibration,8035,1854,6181,1,0.054,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351003,detqm,calibration,8035,1854,6181,1,0.054,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351003,qdm,calibration,8035,1854,6181,1,0.054,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351003,qm,validation,4383,1170,3213,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351003,detqm,validation,4383,1170,3213,67,5.726,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351003,qdm,validation,4383,1170,3213,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351004,qm,calibration,8035,1988,6047,1,0.05,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351004,detqm,calibration,8035,1988,6047,1,0.05,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351004,qdm,calibration,8035,1988,6047,1,0.05,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351004,qm,validation,4383,1244,3139,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351004,detqm,validation,4383,1244,3139,70,5.627,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351004,qdm,validation,4383,1244,3139,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351005,qm,calibration,8035,1833,6202,2,0.109,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351005,detqm,calibration,8035,1833,6202,2,0.109,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351005,qdm,calibration,8035,1833,6202,2,0.109,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351005,qm,validation,4383,1133,3250,1,0.088,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351005,detqm,validation,4383,1133,3250,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351005,qdm,validation,4383,1133,3250,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351006,qm,calibration,8035,4620,3415,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351006,detqm,calibration,8035,4620,3415,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351006,qdm,calibration,8035,4620,3415,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351006,qm,validation,4383,2601,1782,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351006,detqm,validation,4383,2601,1782,127,4.883,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351006,qdm,validation,4383,2601,1782,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351007,qm,calibration,8035,4693,3342,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351007,detqm,calibration,8035,4693,3342,3,0.064,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351007,qdm,calibration,8035,4693,3342,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351007,qm,validation,4383,2637,1746,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351007,detqm,validation,4383,2637,1746,118,4.475,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351007,qdm,validation,4383,2637,1746,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351008,qm,calibration,8035,4283,3752,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351008,detqm,calibration,8035,4283,3752,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351008,qdm,calibration,8035,4283,3752,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351008,qm,validation,4383,2407,1976,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351008,detqm,validation,4383,2407,1976,126,5.235,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351008,qdm,validation,4383,2407,1976,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351009,qm,calibration,8035,5031,3004,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351009,detqm,calibration,8035,5031,3004,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351009,qdm,calibration,8035,5031,3004,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351009,qm,validation,4383,2802,1581,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351009,detqm,validation,4383,2802,1581,47,1.677,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351009,qdm,validation,4383,2802,1581,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351010,qm,calibration,8035,4787,3248,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351010,detqm,calibration,8035,4787,3248,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351010,qdm,calibration,8035,4787,3248,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351010,qm,validation,4383,2683,1700,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351010,detqm,validation,4383,2683,1700,106,3.951,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351010,qdm,validation,4383,2683,1700,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351011,qm,calibration,8035,1942,6093,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351011,detqm,calibration,8035,1942,6093,1,0.051,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351011,qdm,calibration,8035,1942,6093,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351011,qm,validation,4383,1199,3184,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351011,detqm,validation,4383,1199,3184,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351011,qdm,validation,4383,1199,3184,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351012,qm,calibration,8035,1731,6304,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351012,detqm,calibration,8035,1731,6304,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351012,qdm,calibration,8035,1731,6304,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351012,qm,validation,4383,1100,3283,2,0.182,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351012,detqm,validation,4383,1100,3283,57,5.182,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351012,qdm,validation,4383,1100,3283,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351201,qm,calibration,8035,2027,6008,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351201,detqm,calibration,8035,2027,6008,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351201,qdm,calibration,8035,2027,6008,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351201,qm,validation,4383,1242,3141,3,0.242,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351201,detqm,validation,4383,1242,3141,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
ACCESS-ESM1-5,351201,qdm,validation,4383,1242,3141,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351001,qm,calibration,8030,1719,6311,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351001,detqm,calibration,8030,1719,6311,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351001,qdm,calibration,8030,1719,6311,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351001,qm,validation,4380,1046,3334,2,0.191,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351001,detqm,validation,4380,1046,3334,1,0.096,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351001,qdm,validation,4380,1046,3334,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351002,qm,calibration,8030,1876,6154,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351002,detqm,calibration,8030,1876,6154,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351002,qdm,calibration,8030,1876,6154,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351002,qm,validation,4380,1138,3242,2,0.176,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351002,detqm,validation,4380,1138,3242,1,0.088,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351002,qdm,validation,4380,1138,3242,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351003,qm,calibration,8030,1854,6176,2,0.108,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351003,detqm,calibration,8030,1854,6176,2,0.108,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351003,qdm,calibration,8030,1854,6176,2,0.108,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351003,qm,validation,4380,1101,3279,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351003,detqm,validation,4380,1101,3279,25,2.271,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351003,qdm,validation,4380,1101,3279,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351004,qm,calibration,8030,1988,6042,1,0.05,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351004,detqm,calibration,8030,1988,6042,1,0.05,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351004,qdm,calibration,8030,1988,6042,1,0.05,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351004,qm,validation,4380,1179,3201,1,0.085,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351004,detqm,validation,4380,1179,3201,8,0.679,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351004,qdm,validation,4380,1179,3201,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351005,qm,calibration,8030,1832,6198,1,0.055,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351005,detqm,calibration,8030,1832,6198,1,0.055,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351005,qdm,calibration,8030,1832,6198,1,0.055,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351005,qm,validation,4380,1127,3253,2,0.177,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351005,detqm,validation,4380,1127,3253,1,0.089,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351005,qdm,validation,4380,1127,3253,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351006,qm,calibration,8030,4619,3411,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351006,detqm,calibration,8030,4619,3411,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351006,qdm,calibration,8030,4619,3411,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351006,qm,validation,4380,2668,1712,2,0.075,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351006,detqm,validation,4380,2668,1712,66,2.474,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351006,qdm,validation,4380,2668,1712,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351007,qm,calibration,8030,4692,3338,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351007,detqm,calibration,8030,4692,3338,4,0.085,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351007,qdm,calibration,8030,4692,3338,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351007,qm,validation,4380,2705,1675,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351007,detqm,validation,4380,2705,1675,55,2.033,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351007,qdm,validation,4380,2705,1675,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351008,qm,calibration,8030,4282,3748,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351008,detqm,calibration,8030,4282,3748,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351008,qdm,calibration,8030,4282,3748,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351008,qm,validation,4380,2509,1871,1,0.04,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351008,detqm,validation,4380,2509,1871,29,1.156,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351008,qdm,validation,4380,2509,1871,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351009,qm,calibration,8030,5032,2998,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351009,detqm,calibration,8030,5032,2998,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351009,qdm,calibration,8030,5032,2998,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351009,qm,validation,4380,2881,1499,1,0.035,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351009,detqm,validation,4380,2881,1499,41,1.423,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351009,qdm,validation,4380,2881,1499,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351010,qm,calibration,8030,4788,3242,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351010,detqm,calibration,8030,4788,3242,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351010,qdm,calibration,8030,4788,3242,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351010,qm,validation,4380,2716,1664,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351010,detqm,validation,4380,2716,1664,63,2.32,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351010,qdm,validation,4380,2716,1664,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351011,qm,calibration,8030,1941,6089,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351011,detqm,calibration,8030,1941,6089,2,0.103,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351011,qdm,calibration,8030,1941,6089,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351011,qm,validation,4380,1166,3214,1,0.086,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351011,detqm,validation,4380,1166,3214,1,0.086,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351011,qdm,validation,4380,1166,3214,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351012,qm,calibration,8030,1730,6300,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351012,detqm,calibration,8030,1730,6300,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351012,qdm,calibration,8030,1730,6300,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351012,qm,validation,4380,1043,3337,1,0.096,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351012,detqm,validation,4380,1043,3337,17,1.63,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351012,qdm,validation,4380,1043,3337,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351201,qm,calibration,8030,2026,6004,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351201,detqm,calibration,8030,2026,6004,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351201,qdm,calibration,8030,2026,6004,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351201,qm,validation,4380,1213,3167,2,0.165,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351201,detqm,validation,4380,1213,3167,2,0.165,constant correction ratio at the nearest calibration quantile; no clipping
CESM2,351201,qdm,validation,4380,1213,3167,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351001,qm,calibration,8030,1720,6310,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351001,detqm,calibration,8030,1720,6310,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351001,qdm,calibration,8030,1720,6310,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351001,qm,validation,4380,767,3613,1,0.13,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351001,detqm,validation,4380,767,3613,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351001,qdm,validation,4380,767,3613,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351002,qm,calibration,8030,1877,6153,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351002,detqm,calibration,8030,1877,6153,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351002,qdm,calibration,8030,1877,6153,2,0.107,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351002,qm,validation,4380,843,3537,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351002,detqm,validation,4380,843,3537,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351002,qdm,validation,4380,843,3537,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351003,qm,calibration,8030,1854,6176,2,0.108,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351003,detqm,calibration,8030,1854,6176,2,0.108,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351003,qdm,calibration,8030,1854,6176,2,0.108,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351003,qm,validation,4380,836,3544,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351003,detqm,validation,4380,836,3544,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351003,qdm,validation,4380,836,3544,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351004,qm,calibration,8030,1988,6042,2,0.101,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351004,detqm,calibration,8030,1988,6042,2,0.101,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351004,qdm,calibration,8030,1988,6042,2,0.101,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351004,qm,validation,4380,906,3474,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351004,detqm,validation,4380,906,3474,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351004,qdm,validation,4380,906,3474,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351005,qm,calibration,8030,1831,6199,2,0.109,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351005,detqm,calibration,8030,1831,6199,2,0.109,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351005,qdm,calibration,8030,1831,6199,2,0.109,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351005,qm,validation,4380,828,3552,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351005,detqm,validation,4380,828,3552,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351005,qdm,validation,4380,828,3552,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351006,qm,calibration,8030,4619,3411,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351006,detqm,calibration,8030,4619,3411,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351006,qdm,calibration,8030,4619,3411,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351006,qm,validation,4380,2363,2017,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351006,detqm,validation,4380,2363,2017,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351006,qdm,validation,4380,2363,2017,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351007,qm,calibration,8030,4691,3339,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351007,detqm,calibration,8030,4691,3339,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351007,qdm,calibration,8030,4691,3339,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351007,qm,validation,4380,2408,1972,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351007,detqm,validation,4380,2408,1972,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351007,qdm,validation,4380,2408,1972,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351008,qm,calibration,8030,4283,3747,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351008,detqm,calibration,8030,4283,3747,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351008,qdm,calibration,8030,4283,3747,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351008,qm,validation,4380,2166,2214,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351008,detqm,validation,4380,2166,2214,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351008,qdm,validation,4380,2166,2214,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351009,qm,calibration,8030,5032,2998,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351009,detqm,calibration,8030,5032,2998,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351009,qdm,calibration,8030,5032,2998,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351009,qm,validation,4380,2588,1792,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351009,detqm,validation,4380,2588,1792,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351009,qdm,validation,4380,2588,1792,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,qm,calibration,8030,4790,3240,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,detqm,calibration,8030,4790,3240,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,qdm,calibration,8030,4790,3240,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,qm,validation,4380,2481,1899,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,detqm,validation,4380,2481,1899,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
