Index	Type	SSP2-4.5 median (%)	SSP2-4.5 IQR (%)	SSP2-4.5 agreement	SSP2-4.5 robust	SSP5-8.5 median (%)	SSP5-8.5 IQR (%)	SSP5-8.5 agreement	SSP5-8.5 robust
PRCPTOT	projection	0.1	-1.5 to 8.2	0.57	no	0.7	-7.0 to 6.2	0.57	no
Wet-day frequency	projection	0.5	-2.2 to 2.9	0.57	no	2.4	-3.9 to 3.2	0.57	no
SDII	projection	2.1	0.5 to 5.8	0.86	yes	-1.3	-2.3 to 4.5	0.57	no
Rx1day	projection	8.3	-2.8 to 12.4	0.71	no	-3.8	-11.1 to 4.8	0.71	no
Rx5day	diagnostic	7.6	-0.1 to 14.7	0.71	no	-1.9	-6.6 to 14.5	0.57	no
R20mm	projection	6.7	-2.5 to 16.2	0.71	no	-7.5	-10.4 to 10.2	0.57	no
R50mm	projection	27.0	6.7 to 38.5	0.71	no	0.8	-22.4 to 18.0	0.57	no
R95p	projection	14.9	0.2 to 20.8	0.71	no	-4.9	-21.9 to 12.4	0.57	no
R99p	projection	29.5	-7.3 to 45.3	0.71	no	16.3	-31.5 to 45.9	0.57	no
CDD	diagnostic	-2.1	-4.4 to 7.2	0.57	no	0.4	-3.4 to 10.9	0.57	no
CWD	diagnostic	6.6	2.1 to 11.5	0.86	yes	4.5	3.1 to 12.4	0.86	yes
