Index	Type	Scenario	QM/EQM	DetQM	QDM	GCMs
Rx1day	derived extreme	SSP2-4.5	+1.63 [+0.34, +1.97]	+0.81 [-0.57, +1.21]	+0.59 [-0.48, +1.13]	7
Rx1day	derived extreme	SSP5-8.5	+0.82 [+0.64, +3.13]	+1.34 [+0.58, +3.15]	+0.03 [-0.71, +1.10]	7
R10mm	derived threshold	SSP2-4.5	-0.80 [-2.34, +4.77]	-2.44 [-3.05, +1.56]	-2.03 [-2.42, +1.62]	7
R10mm	derived threshold	SSP5-8.5	+3.71 [-0.56, +6.88]	+4.26 [-1.42, +8.18]	+0.48 [-0.04, +6.51]	7
R20mm	derived threshold	SSP2-4.5	+1.00 [-1.72, +4.86]	+0.52 [+0.14, +3.12]	+2.11 [-0.77, +6.09]	7
R20mm	derived threshold	SSP5-8.5	+6.53 [+4.40, +10.37]	+5.24 [+2.22, +7.93]	+5.73 [-1.03, +9.46]	7
R50mm	derived threshold	SSP2-4.5	+15.54 [-4.83, +25.34]	+6.60 [+1.90, +23.87]	+14.76 [+10.55, +18.52]	6
R50mm	derived threshold	SSP5-8.5	+5.29 [+4.03, +13.12]	+9.67 [-0.79, +20.26]	+8.38 [-10.86, +18.38]	6
R95p	derived tail	SSP2-4.5	-1.49 [-3.43, +2.32]	-2.59 [-4.10, +0.81]	-1.45 [-3.95, +0.08]	7
R95p	derived tail	SSP5-8.5	-2.85 [-6.95, +6.04]	-1.74 [-4.06, +6.80]	-6.21 [-8.23, -3.05]	7
R99p	derived tail	SSP2-4.5	-9.21 [-19.36, +3.38]	-5.76 [-9.09, -0.23]	-5.95 [-14.19, +18.91]	7
R99p	derived tail	SSP5-8.5	+13.86 [-18.45, +17.46]	+4.75 [-14.57, +24.42]	-5.98 [-15.71, +21.18]	7
Rx5day	sequence-dependent	SSP2-4.5	+0.83 [+0.31, +1.71]	+1.09 [-1.41, +1.38]	-0.15 [-1.51, +0.66]	7
Rx5day	sequence-dependent	SSP5-8.5	+1.02 [-0.19, +4.74]	+1.36 [-0.42, +3.17]	-0.30 [-0.65, +1.35]	7
CDD	sequence-dependent	SSP2-4.5	-2.41 [-5.73, +0.30]	-3.10 [-6.23, +0.69]	-3.32 [-5.44, +1.26]	7
CDD	sequence-dependent	SSP5-8.5	+2.59 [-3.68, +7.09]	+2.61 [-3.29, +6.82]	+2.25 [-3.03, +6.77]	7
CWD	sequence-dependent	SSP2-4.5	+2.80 [-1.96, +6.70]	+2.79 [-2.11, +6.71]	+1.73 [-1.89, +7.08]	7
CWD	sequence-dependent	SSP5-8.5	-1.97 [-4.50, +3.64]	-1.61 [-4.60, +3.79]	-1.57 [-4.18, +3.52]	7
