Index	Type	Scenario	QM/EQM	DetQM	QDM	GCMs
Wet days	occurrence	SSP2-4.5	+0.29 [-2.02, +2.22]	+0.84 [-1.77, +2.35]	-0.09 [-2.18, +2.49]	7
Wet days	occurrence	SSP5-8.5	-0.97 [-1.75, -0.11]	-1.25 [-1.62, -0.07]	-1.48 [-1.74, -0.11]	7
PRCPTOT	accumulation	SSP2-4.5	+1.27 [+0.30, +3.78]	+0.81 [-0.23, +2.25]	+0.73 [-0.18, +2.12]	7
PRCPTOT	accumulation	SSP5-8.5	+1.01 [-0.23, +2.05]	+1.19 [-0.05, +1.72]	-0.07 [-0.36, +0.64]	7
SDII	intensity	SSP2-4.5	+0.94 [+0.32, +2.76]	-0.09 [-1.34, +1.64]	+0.69 [-1.04, +2.13]	7
SDII	intensity	SSP5-8.5	+1.46 [+0.08, +3.06]	+1.17 [+0.22, +2.17]	+1.12 [+0.09, +1.86]	7
q50	direct quantile	SSP2-4.5	+4.18 [+0.72, +7.36]	+0.88 [-1.36, +5.77]	+1.22 [+0.89, +6.34]	7
q50	direct quantile	SSP5-8.5	+2.33 [+2.16, +3.79]	+1.88 [+0.81, +4.05]	+1.84 [+0.43, +3.63]	7
q90	direct quantile	SSP2-4.5	+0.15 [-0.12, +3.48]	+1.03 [-0.81, +3.34]	+0.43 [-0.78, +3.63]	7
q90	direct quantile	SSP5-8.5	+1.21 [-2.05, +4.03]	+1.46 [-0.80, +4.21]	+1.70 [-0.72, +3.97]	7
q95	direct quantile	SSP2-4.5	+0.09 [-1.80, +2.03]	-0.02 [-1.43, +1.63]	-0.05 [-1.03, +1.29]	7
q95	direct quantile	SSP5-8.5	+2.72 [+1.79, +5.13]	+2.78 [+1.72, +3.17]	+0.76 [+0.51, +2.69]	7
q99	direct quantile	SSP2-4.5	+1.95 [-0.83, +2.93]	+1.46 [-1.29, +2.11]	+0.26 [-2.21, +2.08]	7
q99	direct quantile	SSP5-8.5	+3.60 [-1.32, +7.53]	+3.71 [-1.19, +6.65]	+0.03 [-1.72, +2.99]	7
